From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.33 MFlops  0.000003000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :      169.00 MFlops  0.000001000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :         inf MFlops  0.000000000 sec
     18 :         inf MFlops  0.000000000 sec
     19 :         inf MFlops  0.000000000 sec
     20 :      400.00 MFlops  0.000001000 sec
     21 :      441.00 MFlops  0.000001000 sec
     22 :         inf MFlops  0.000000000 sec
     23 :         inf MFlops  0.000000000 sec
     24 :      576.00 MFlops  0.000001000 sec
     25 :      625.00 MFlops  0.000001000 sec
     26 :         inf MFlops  0.000000000 sec
     27 :         inf MFlops  0.000000000 sec
     28 :         inf MFlops  0.000000000 sec
     29 :         inf MFlops  0.000000000 sec
     30 :         inf MFlops  0.000000000 sec
     31 :         inf MFlops  0.000000000 sec
     32 :         inf MFlops  0.000000000 sec
     33 :     1089.00 MFlops  0.000001000 sec
     34 :     1156.00 MFlops  0.000001000 sec
     35 :     1225.00 MFlops  0.000001000 sec
     36 :     1296.00 MFlops  0.000001000 sec
     37 :     1369.00 MFlops  0.000001000 sec
     38 :     1444.00 MFlops  0.000001000 sec
     39 :     1521.00 MFlops  0.000001000 sec
     40 :     1600.00 MFlops  0.000001000 sec
     41 :     1681.00 MFlops  0.000001000 sec
     42 :     1764.00 MFlops  0.000001000 sec
     43 :     1849.00 MFlops  0.000001000 sec
     44 :     1936.00 MFlops  0.000001000 sec
     45 :     2025.00 MFlops  0.000001000 sec
     46 :     2116.00 MFlops  0.000001000 sec
     47 :     2209.00 MFlops  0.000001000 sec
     48 :     2304.00 MFlops  0.000001000 sec
     49 :     2401.00 MFlops  0.000001000 sec
     50 :     2500.00 MFlops  0.000001000 sec
     51 :     2601.00 MFlops  0.000001000 sec
     52 :     1352.00 MFlops  0.000002000 sec
     53 :     2809.00 MFlops  0.000001000 sec
     54 :     2916.00 MFlops  0.000001000 sec
     55 :     3025.00 MFlops  0.000001000 sec
     56 :     1568.00 MFlops  0.000002000 sec
     57 :     1624.50 MFlops  0.000002000 sec
     58 :     3364.00 MFlops  0.000001000 sec
     59 :     1740.50 MFlops  0.000002000 sec
     60 :     1800.00 MFlops  0.000002000 sec
     61 :      132.89 MFlops  0.000028000 sec
     62 :     1922.00 MFlops  0.000002000 sec
     63 :     3969.00 MFlops  0.000001000 sec
     64 :     4096.00 MFlops  0.000001000 sec
     65 :     4225.00 MFlops  0.000001000 sec
     66 :     2178.00 MFlops  0.000002000 sec
     67 :     2244.50 MFlops  0.000002000 sec
     68 :     2312.00 MFlops  0.000002000 sec
     69 :     2380.50 MFlops  0.000002000 sec
     70 :     2450.00 MFlops  0.000002000 sec
     71 :     2520.50 MFlops  0.000002000 sec
     72 :     2592.00 MFlops  0.000002000 sec
     73 :     5329.00 MFlops  0.000001000 sec
     74 :     2738.00 MFlops  0.000002000 sec
     75 :     5625.00 MFlops  0.000001000 sec
     76 :     2888.00 MFlops  0.000002000 sec
     77 :     2964.50 MFlops  0.000002000 sec
     78 :     6084.00 MFlops  0.000001000 sec
     79 :     3120.50 MFlops  0.000002000 sec
     80 :     3200.00 MFlops  0.000002000 sec
     81 :     3280.50 MFlops  0.000002000 sec
     82 :     3362.00 MFlops  0.000002000 sec
     83 :     6889.00 MFlops  0.000001000 sec
     84 :     7056.00 MFlops  0.000001000 sec
     85 :     7225.00 MFlops  0.000001000 sec
     86 :     3698.00 MFlops  0.000002000 sec
     87 :     3784.50 MFlops  0.000002000 sec
     88 :     3872.00 MFlops  0.000002000 sec
     89 :     3960.50 MFlops  0.000002000 sec
     90 :     4050.00 MFlops  0.000002000 sec
     91 :     8281.00 MFlops  0.000001000 sec
     92 :     4232.00 MFlops  0.000002000 sec
     93 :     4324.50 MFlops  0.000002000 sec
     94 :     8836.00 MFlops  0.000001000 sec
     95 :     9025.00 MFlops  0.000001000 sec
     96 :     4608.00 MFlops  0.000002000 sec
     97 :     4704.50 MFlops  0.000002000 sec
     98 :     9604.00 MFlops  0.000001000 sec
     99 :     4900.50 MFlops  0.000002000 sec
    100 :     5000.00 MFlops  0.000002000 sec
    101 :     5100.50 MFlops  0.000002000 sec
    102 :     5202.00 MFlops  0.000002000 sec
    103 :     5304.50 MFlops  0.000002000 sec
    104 :     5408.00 MFlops  0.000002000 sec
    105 :     5512.50 MFlops  0.000002000 sec
    106 :    11236.00 MFlops  0.000001000 sec
    107 :     5724.50 MFlops  0.000002000 sec
    108 :     5832.00 MFlops  0.000002000 sec
    109 :     5940.50 MFlops  0.000002000 sec
    110 :     6050.00 MFlops  0.000002000 sec
    111 :     6160.50 MFlops  0.000002000 sec
    112 :     6272.00 MFlops  0.000002000 sec
    113 :     6384.50 MFlops  0.000002000 sec
    114 :     6498.00 MFlops  0.000002000 sec
    115 :     6612.50 MFlops  0.000002000 sec
    116 :     6728.00 MFlops  0.000002000 sec
    117 :     6844.50 MFlops  0.000002000 sec
    118 :     6962.00 MFlops  0.000002000 sec
    119 :     7080.50 MFlops  0.000002000 sec
    120 :     7200.00 MFlops  0.000002000 sec
    121 :     7320.50 MFlops  0.000002000 sec
    122 :     7442.00 MFlops  0.000002000 sec
    123 :     7564.50 MFlops  0.000002000 sec
    124 :     5125.33 MFlops  0.000003000 sec
    125 :     7812.50 MFlops  0.000002000 sec
    126 :     7938.00 MFlops  0.000002000 sec
    127 :     8064.50 MFlops  0.000002000 sec
    128 :     5461.33 MFlops  0.000003000 sec
    129 :     8320.50 MFlops  0.000002000 sec
    130 :     8450.00 MFlops  0.000002000 sec
    131 :     8580.50 MFlops  0.000002000 sec
    132 :     8712.00 MFlops  0.000002000 sec
    133 :     5896.33 MFlops  0.000003000 sec
    134 :      164.73 MFlops  0.000109000 sec
    135 :     9112.50 MFlops  0.000002000 sec
    136 :     6165.33 MFlops  0.000003000 sec
    137 :     9384.50 MFlops  0.000002000 sec
    138 :     9522.00 MFlops  0.000002000 sec
    139 :     6440.33 MFlops  0.000003000 sec
    140 :     9800.00 MFlops  0.000002000 sec
    141 :     9940.50 MFlops  0.000002000 sec
    142 :    10082.00 MFlops  0.000002000 sec
    143 :     6816.33 MFlops  0.000003000 sec
    144 :     6912.00 MFlops  0.000003000 sec
    145 :     7008.33 MFlops  0.000003000 sec
    146 :    10658.00 MFlops  0.000002000 sec
    147 :     7203.00 MFlops  0.000003000 sec
    148 :    10952.00 MFlops  0.000002000 sec
    149 :     7400.33 MFlops  0.000003000 sec
    150 :    11250.00 MFlops  0.000002000 sec
    151 :    11400.50 MFlops  0.000002000 sec
    152 :     7701.33 MFlops  0.000003000 sec
    153 :    11704.50 MFlops  0.000002000 sec
    154 :     7905.33 MFlops  0.000003000 sec
    155 :     8008.33 MFlops  0.000003000 sec
    156 :     8112.00 MFlops  0.000003000 sec
    157 :    12324.50 MFlops  0.000002000 sec
    158 :    12482.00 MFlops  0.000002000 sec
    159 :     8427.00 MFlops  0.000003000 sec
    160 :     8533.33 MFlops  0.000003000 sec
    161 :     8640.33 MFlops  0.000003000 sec
    162 :     8748.00 MFlops  0.000003000 sec
    163 :     4428.17 MFlops  0.000006000 sec
    164 :     6724.00 MFlops  0.000004000 sec
    165 :     9075.00 MFlops  0.000003000 sec
    166 :     9185.33 MFlops  0.000003000 sec
    167 :     6972.25 MFlops  0.000004000 sec
    168 :     9408.00 MFlops  0.000003000 sec
    169 :     9520.33 MFlops  0.000003000 sec
    170 :     9633.33 MFlops  0.000003000 sec
    171 :     9747.00 MFlops  0.000003000 sec
    172 :     9861.33 MFlops  0.000003000 sec
    173 :     9976.33 MFlops  0.000003000 sec
    174 :    10092.00 MFlops  0.000003000 sec
    175 :     7656.25 MFlops  0.000004000 sec
    176 :    10325.33 MFlops  0.000003000 sec
    177 :    10443.00 MFlops  0.000003000 sec
    178 :    10561.33 MFlops  0.000003000 sec
    179 :    10680.33 MFlops  0.000003000 sec
    180 :    10800.00 MFlops  0.000003000 sec
    181 :    10920.33 MFlops  0.000003000 sec
    182 :     8281.00 MFlops  0.000004000 sec
    183 :    11163.00 MFlops  0.000003000 sec
    184 :     8464.00 MFlops  0.000004000 sec
    185 :     8556.25 MFlops  0.000004000 sec
    186 :        9.34 MFlops  0.003704000 sec
    187 :       21.77 MFlops  0.001606000 sec
    188 :       16.69 MFlops  0.002118000 sec
    189 :     8930.25 MFlops  0.000004000 sec
    190 :    12033.33 MFlops  0.000003000 sec
    191 :    12160.33 MFlops  0.000003000 sec
    192 :     9216.00 MFlops  0.000004000 sec
    193 :     9312.25 MFlops  0.000004000 sec
    194 :    12545.33 MFlops  0.000003000 sec
    195 :     9506.25 MFlops  0.000004000 sec
    196 :     9604.00 MFlops  0.000004000 sec
    197 :     9702.25 MFlops  0.000004000 sec
    198 :     9801.00 MFlops  0.000004000 sec
    199 :     9900.25 MFlops  0.000004000 sec
    200 :    10000.00 MFlops  0.000004000 sec
