From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.00 MFlops    0.003314 sec
      2 :        8.00 MFlops    0.000001 sec
      3 :       27.00 MFlops    0.000001 sec
      4 :         inf MFlops    0.000000 sec
      5 :      125.00 MFlops    0.000001 sec
      6 :      216.00 MFlops    0.000001 sec
      7 :      343.00 MFlops    0.000001 sec
      8 :      512.00 MFlops    0.000001 sec
      9 :         inf MFlops    0.000000 sec
     10 :         inf MFlops    0.000000 sec
     11 :     1331.00 MFlops    0.000001 sec
     12 :     1728.00 MFlops    0.000001 sec
     13 :     2197.00 MFlops    0.000001 sec
     14 :     2744.00 MFlops    0.000001 sec
     15 :     1687.50 MFlops    0.000002 sec
     16 :     4096.00 MFlops    0.000001 sec
     17 :     4913.00 MFlops    0.000001 sec
     18 :     5832.00 MFlops    0.000001 sec
     19 :     3429.50 MFlops    0.000002 sec
     20 :     8000.00 MFlops    0.000001 sec
     21 :     4630.50 MFlops    0.000002 sec
     22 :     5324.00 MFlops    0.000002 sec
     23 :     6083.50 MFlops    0.000002 sec
     24 :     6912.00 MFlops    0.000002 sec
     25 :     7812.50 MFlops    0.000002 sec
     26 :     8788.00 MFlops    0.000002 sec
     27 :     9841.50 MFlops    0.000002 sec
     28 :     7317.33 MFlops    0.000003 sec
     29 :    12194.50 MFlops    0.000002 sec
     30 :     9000.00 MFlops    0.000003 sec
     31 :     9930.33 MFlops    0.000003 sec
     32 :       43.34 MFlops    0.000756 sec
     33 :     2994.75 MFlops    0.000012 sec
     34 :    13101.33 MFlops    0.000003 sec
     35 :    14291.67 MFlops    0.000003 sec
     36 :    15552.00 MFlops    0.000003 sec
     37 :    25326.50 MFlops    0.000002 sec
     38 :    18290.67 MFlops    0.000003 sec
     39 :    19773.00 MFlops    0.000003 sec
     40 :    21333.33 MFlops    0.000003 sec
     41 :    22973.67 MFlops    0.000003 sec
     42 :    24696.00 MFlops    0.000003 sec
     43 :    26502.33 MFlops    0.000003 sec
     44 :    21296.00 MFlops    0.000004 sec
     45 :    30375.00 MFlops    0.000003 sec
     46 :    24334.00 MFlops    0.000004 sec
     47 :    34607.67 MFlops    0.000003 sec
     48 :    36864.00 MFlops    0.000003 sec
     49 :    29412.25 MFlops    0.000004 sec
     50 :    41666.67 MFlops    0.000003 sec
     51 :    33162.75 MFlops    0.000004 sec
     52 :    35152.00 MFlops    0.000004 sec
     53 :    37219.25 MFlops    0.000004 sec
     54 :    39366.00 MFlops    0.000004 sec
     55 :    33275.00 MFlops    0.000005 sec
     56 :    35123.20 MFlops    0.000005 sec
     57 :     7407.72 MFlops    0.000025 sec
     58 :    39022.40 MFlops    0.000005 sec
     59 :    41075.80 MFlops    0.000005 sec
