From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.17 MFlops    0.000006 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :         inf MFlops    0.000000 sec
      6 :         inf MFlops    0.000000 sec
      7 :         inf MFlops    0.000000 sec
      8 :         inf MFlops    0.000000 sec
      9 :         inf MFlops    0.000000 sec
     10 :     1000.00 MFlops    0.000001 sec
     11 :         inf MFlops    0.000000 sec
     12 :         inf MFlops    0.000000 sec
     13 :         inf MFlops    0.000000 sec
     14 :         inf MFlops    0.000000 sec
     15 :         inf MFlops    0.000000 sec
     16 :     4096.00 MFlops    0.000001 sec
     17 :     4913.00 MFlops    0.000001 sec
     18 :         inf MFlops    0.000000 sec
     19 :     6859.00 MFlops    0.000001 sec
     20 :         inf MFlops    0.000000 sec
     21 :         inf MFlops    0.000000 sec
     22 :    10648.00 MFlops    0.000001 sec
     23 :         inf MFlops    0.000000 sec
     24 :         inf MFlops    0.000000 sec
     25 :         inf MFlops    0.000000 sec
     26 :    17576.00 MFlops    0.000001 sec
     27 :    19683.00 MFlops    0.000001 sec
     28 :    21952.00 MFlops    0.000001 sec
     29 :         inf MFlops    0.000000 sec
     30 :         inf MFlops    0.000000 sec
     31 :    29791.00 MFlops    0.000001 sec
     32 :    32768.00 MFlops    0.000001 sec
     33 :    35937.00 MFlops    0.000001 sec
     34 :         inf MFlops    0.000000 sec
     35 :         inf MFlops    0.000000 sec
     36 :    46656.00 MFlops    0.000001 sec
     37 :    50653.00 MFlops    0.000001 sec
     38 :    54872.00 MFlops    0.000001 sec
     39 :    59319.00 MFlops    0.000001 sec
     40 :    64000.00 MFlops    0.000001 sec
     41 :    68921.00 MFlops    0.000001 sec
     42 :    37044.00 MFlops    0.000002 sec
     43 :    79507.00 MFlops    0.000001 sec
     44 :    85184.00 MFlops    0.000001 sec
     45 :    45562.50 MFlops    0.000002 sec
     46 :    97336.00 MFlops    0.000001 sec
     47 :    51911.50 MFlops    0.000002 sec
     48 :    13824.00 MFlops    0.000008 sec
     49 :    58824.50 MFlops    0.000002 sec
     50 :    62500.00 MFlops    0.000002 sec
     51 :   132651.00 MFlops    0.000001 sec
     52 :    70304.00 MFlops    0.000002 sec
     53 :    74438.50 MFlops    0.000002 sec
     54 :    78732.00 MFlops    0.000002 sec
     55 :   166375.00 MFlops    0.000001 sec
     56 :    87808.00 MFlops    0.000002 sec
     57 :    92596.50 MFlops    0.000002 sec
     58 :    97556.00 MFlops    0.000002 sec
     59 :   205379.00 MFlops    0.000001 sec
     60 :   216000.00 MFlops    0.000001 sec
     61 :   113490.50 MFlops    0.000002 sec
     62 :   119164.00 MFlops    0.000002 sec
     63 :   125023.50 MFlops    0.000002 sec
     64 :   262144.00 MFlops    0.000001 sec
     65 :    68656.25 MFlops    0.000004 sec
     66 :    95832.00 MFlops    0.000003 sec
     67 :   100254.33 MFlops    0.000003 sec
     68 :   104810.67 MFlops    0.000003 sec
     69 :   164254.50 MFlops    0.000002 sec
     70 :   114333.33 MFlops    0.000003 sec
     71 :   119303.67 MFlops    0.000003 sec
     72 :   124416.00 MFlops    0.000003 sec
     73 :   129672.33 MFlops    0.000003 sec
     74 :   135074.67 MFlops    0.000003 sec
     75 :   140625.00 MFlops    0.000003 sec
     76 :   146325.33 MFlops    0.000003 sec
     77 :   152177.67 MFlops    0.000003 sec
     78 :   118638.00 MFlops    0.000004 sec
     79 :    98607.80 MFlops    0.000005 sec
     80 :   170666.67 MFlops    0.000003 sec
     81 :   132860.25 MFlops    0.000004 sec
     82 :   137842.00 MFlops    0.000004 sec
     83 :   142946.75 MFlops    0.000004 sec
     84 :   197568.00 MFlops    0.000003 sec
     85 :   153531.25 MFlops    0.000004 sec
     86 :   212018.67 MFlops    0.000003 sec
     87 :   164625.75 MFlops    0.000004 sec
     88 :   227157.33 MFlops    0.000003 sec
     89 :   176242.25 MFlops    0.000004 sec
     90 :   182250.00 MFlops    0.000004 sec
     91 :   188392.75 MFlops    0.000004 sec
     92 :   194672.00 MFlops    0.000004 sec
     93 :   134059.50 MFlops    0.000006 sec
     94 :   166116.80 MFlops    0.000005 sec
     95 :   171475.00 MFlops    0.000005 sec
     96 :   442368.00 MFlops    0.000002 sec
     97 :    82970.27 MFlops    0.000011 sec
     98 :    94119.20 MFlops    0.000010 sec
     99 :   121287.37 MFlops    0.000008 sec
    100 :   200000.00 MFlops    0.000005 sec
    101 :   114477.89 MFlops    0.000009 sec
    102 :   151601.14 MFlops    0.000007 sec
    103 :   156103.86 MFlops    0.000007 sec
    104 :   224972.80 MFlops    0.000005 sec
    105 :   165375.00 MFlops    0.000007 sec
    106 :   198502.67 MFlops    0.000006 sec
    107 :   175006.14 MFlops    0.000007 sec
    108 :   209952.00 MFlops    0.000006 sec
    109 :   185004.14 MFlops    0.000007 sec
    110 :   221833.33 MFlops    0.000006 sec
    111 :   195375.86 MFlops    0.000007 sec
    112 :   280985.60 MFlops    0.000005 sec
    113 :   180362.12 MFlops    0.000008 sec
    114 :   185193.00 MFlops    0.000008 sec
    115 :   190109.37 MFlops    0.000008 sec
    116 :   222985.14 MFlops    0.000007 sec
    117 :   200201.62 MFlops    0.000008 sec
    118 :   205379.00 MFlops    0.000008 sec
    119 :   210644.87 MFlops    0.000008 sec
    120 :   288000.00 MFlops    0.000006 sec
    121 :   221445.12 MFlops    0.000008 sec
    122 :   259406.86 MFlops    0.000007 sec
    123 :   232608.37 MFlops    0.000008 sec
    124 :   272374.86 MFlops    0.000007 sec
    125 :   244140.62 MFlops    0.000008 sec
    126 :   250047.00 MFlops    0.000008 sec
    127 :   256047.87 MFlops    0.000008 sec
    128 :   524288.00 MFlops    0.000004 sec
    129 :   238521.00 MFlops    0.000009 sec
    130 :   244111.11 MFlops    0.000009 sec
    131 :   132240.65 MFlops    0.000017 sec
    132 :   287496.00 MFlops    0.000008 sec
    133 :   213876.09 MFlops    0.000011 sec
    134 :   218736.73 MFlops    0.000011 sec
    135 :   246037.50 MFlops    0.000010 sec
    136 :   359350.86 MFlops    0.000007 sec
    137 :   257135.30 MFlops    0.000010 sec
    138 :   262807.20 MFlops    0.000010 sec
    139 :   268561.90 MFlops    0.000010 sec
    140 :   274400.00 MFlops    0.000010 sec
    141 :   254838.27 MFlops    0.000011 sec
    142 :   260298.91 MFlops    0.000011 sec
    143 :   265837.00 MFlops    0.000011 sec
    144 :   426569.14 MFlops    0.000007 sec
    145 :   254052.08 MFlops    0.000012 sec
    146 :   259344.67 MFlops    0.000012 sec
    147 :   264710.25 MFlops    0.000012 sec
    148 :   324179.20 MFlops    0.000010 sec
    149 :   275662.42 MFlops    0.000012 sec
    150 :   281250.00 MFlops    0.000012 sec
    151 :   286912.58 MFlops    0.000012 sec
    152 :   351180.80 MFlops    0.000010 sec
    153 :   275505.92 MFlops    0.000013 sec
    154 :   304355.33 MFlops    0.000012 sec
    155 :   310322.92 MFlops    0.000012 sec
    156 :   345128.73 MFlops    0.000011 sec
    157 :   241868.31 MFlops    0.000016 sec
    158 :   246519.50 MFlops    0.000016 sec
    159 :   287119.93 MFlops    0.000014 sec
    160 :   512000.00 MFlops    0.000008 sec
    161 :   260830.06 MFlops    0.000016 sec
    162 :   283435.20 MFlops    0.000015 sec
    163 :   270671.69 MFlops    0.000016 sec
    164 :   339303.38 MFlops    0.000013 sec
    165 :   280757.81 MFlops    0.000016 sec
    166 :   304953.07 MFlops    0.000015 sec
    167 :   291091.44 MFlops    0.000016 sec
    168 :   395136.00 MFlops    0.000012 sec
    169 :   254042.58 MFlops    0.000019 sec
    170 :   245650.00 MFlops    0.000020 sec
    171 :   227282.32 MFlops    0.000022 sec
    172 :   282691.56 MFlops    0.000018 sec
    173 :   272511.42 MFlops    0.000019 sec
    174 :   292668.00 MFlops    0.000018 sec
    175 :   315257.35 MFlops    0.000017 sec
    176 :   495616.00 MFlops    0.000011 sec
    177 :   308068.50 MFlops    0.000018 sec
    178 :   331750.12 MFlops    0.000017 sec
    179 :   318629.94 MFlops    0.000018 sec
    180 :   388800.00 MFlops    0.000015 sec
    181 :   312091.63 MFlops    0.000019 sec
    182 :   200952.27 MFlops    0.000030 sec
    183 :   340471.50 MFlops    0.000018 sec
    184 :   444964.57 MFlops    0.000014 sec
    185 :   275288.04 MFlops    0.000023 sec
    186 :   292493.45 MFlops    0.000022 sec
    187 :   297236.50 MFlops    0.000022 sec
    188 :   390863.06 MFlops    0.000017 sec
    189 :   355329.95 MFlops    0.000019 sec
    190 :   381055.56 MFlops    0.000018 sec
    191 :   387103.94 MFlops    0.000018 sec
    192 :   589824.00 MFlops    0.000012 sec
    193 :   359452.85 MFlops    0.000020 sec
    194 :   365069.20 MFlops    0.000020 sec
    195 :   337039.77 MFlops    0.000022 sec
    196 :   396291.37 MFlops    0.000019 sec
    197 :   231677.97 MFlops    0.000033 sec
    198 :   369637.71 MFlops    0.000021 sec
    199 :   375266.62 MFlops    0.000021 sec
    200 :   380952.38 MFlops    0.000021 sec
