From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.17 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :     2197.00 MFlops
     14 :     2744.00 MFlops
     15 :         inf MFlops
     16 :     4096.00 MFlops
     17 :     4913.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :    10648.00 MFlops
     23 :    12167.00 MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :    17576.00 MFlops
     27 :    19683.00 MFlops
     28 :         inf MFlops
     29 :    24389.00 MFlops
     30 :         inf MFlops
     31 :    29791.00 MFlops
     32 :    32768.00 MFlops
     33 :    17968.50 MFlops
     34 :    39304.00 MFlops
     35 :    42875.00 MFlops
     36 :    46656.00 MFlops
     37 :    25326.50 MFlops
     38 :    27436.00 MFlops
     39 :    59319.00 MFlops
     40 :    32000.00 MFlops
     41 :    34460.50 MFlops
     42 :    24696.00 MFlops
     43 :    39753.50 MFlops
     44 :    28394.67 MFlops
     45 :    45562.50 MFlops
     46 :    48668.00 MFlops
     47 :    34607.67 MFlops
     48 :    27648.00 MFlops
     49 :    58824.50 MFlops
     50 :   125000.00 MFlops
     51 :    66325.50 MFlops
     52 :   140608.00 MFlops
     53 :   148877.00 MFlops
     54 :   157464.00 MFlops
     55 :   166375.00 MFlops
     56 :   175616.00 MFlops
     57 :    92596.50 MFlops
     58 :    97556.00 MFlops
     59 :   102689.50 MFlops
     60 :   216000.00 MFlops
     61 :   226981.00 MFlops
     62 :   119164.00 MFlops
     63 :   250047.00 MFlops
     64 :   131072.00 MFlops
     65 :    45770.83 MFlops
     66 :    71874.00 MFlops
     67 :    75190.75 MFlops
     68 :   104810.67 MFlops
     69 :    82127.25 MFlops
     70 :    85750.00 MFlops
     71 :    89477.75 MFlops
     72 :   124416.00 MFlops
     73 :    97254.25 MFlops
     74 :   101306.00 MFlops
     75 :   105468.75 MFlops
     76 :   109744.00 MFlops
     77 :    91306.60 MFlops
     78 :   118638.00 MFlops
     79 :    82173.17 MFlops
     80 :   170666.67 MFlops
     81 :   106288.20 MFlops
     82 :   110273.60 MFlops
     83 :   142946.75 MFlops
     84 :   118540.80 MFlops
     85 :   153531.25 MFlops
     86 :   127211.20 MFlops
     87 :   131700.60 MFlops
     88 :   170368.00 MFlops
     89 :   140993.80 MFlops
     90 :   145800.00 MFlops
     91 :   150714.20 MFlops
     92 :   155737.60 MFlops
     93 :   114908.14 MFlops
     94 :   138430.67 MFlops
     95 :   142895.83 MFlops
     96 :   176947.20 MFlops
     97 :    82970.27 MFlops
     98 :    78432.67 MFlops
     99 :   121287.37 MFlops
    100 :   200000.00 MFlops
    101 :   103030.10 MFlops
    102 :   151601.14 MFlops
    103 :   156103.86 MFlops
    104 :   224972.80 MFlops
    105 :   165375.00 MFlops
    106 :   170145.14 MFlops
    107 :   175006.14 MFlops
    108 :   209952.00 MFlops
    109 :   185004.14 MFlops
    110 :   190142.86 MFlops
    111 :   195375.86 MFlops
    112 :   280985.60 MFlops
    113 :   180362.12 MFlops
    114 :   185193.00 MFlops
    115 :   190109.37 MFlops
    116 :   195112.00 MFlops
    117 :   200201.62 MFlops
    118 :   205379.00 MFlops
    119 :   210644.87 MFlops
    120 :   288000.00 MFlops
    121 :   221445.12 MFlops
    122 :   226981.00 MFlops
    123 :   232608.37 MFlops
    124 :   238328.00 MFlops
    125 :   217013.89 MFlops
    126 :   250047.00 MFlops
    127 :   256047.87 MFlops
    128 :   349525.33 MFlops
    129 :   153334.93 MFlops
    130 :   137312.50 MFlops
    131 :   140505.69 MFlops
    132 :   176920.62 MFlops
    133 :   156842.47 MFlops
    134 :   160406.93 MFlops
    135 :   164025.00 MFlops
    136 :   209621.33 MFlops
    137 :   160709.56 MFlops
    138 :   175204.80 MFlops
    139 :   167851.19 MFlops
    140 :   182933.33 MFlops
    141 :   175201.31 MFlops
    142 :   190885.87 MFlops
    143 :   172012.18 MFlops
    144 :   298598.40 MFlops
    145 :   169368.06 MFlops
    146 :   172896.44 MFlops
    147 :   176473.50 MFlops
    148 :   216119.47 MFlops
    149 :   183774.94 MFlops
    150 :   198529.41 MFlops
    151 :   191275.06 MFlops
    152 :   250843.43 MFlops
    153 :   210681.00 MFlops
    154 :   214839.06 MFlops
    155 :   206881.94 MFlops
    156 :   223318.59 MFlops
    157 :   184280.62 MFlops
    158 :   179286.91 MFlops
    159 :   200983.95 MFlops
    160 :   372363.64 MFlops
    161 :   198727.67 MFlops
    162 :   212576.40 MFlops
    163 :   216537.35 MFlops
    164 :   245052.44 MFlops
    165 :   236427.63 MFlops
    166 :   228714.80 MFlops
    167 :   211702.86 MFlops
    168 :   278919.53 MFlops
    169 :   201117.04 MFlops
    170 :   196520.00 MFlops
    171 :   192315.81 MFlops
    172 :   231293.09 MFlops
    173 :   225118.13 MFlops
    174 :   239455.64 MFlops
    175 :   243607.95 MFlops
    176 :   419367.38 MFlops
    177 :   241097.09 MFlops
    178 :   256352.36 MFlops
    179 :   249362.57 MFlops
    180 :   277714.29 MFlops
    181 :   247072.54 MFlops
    182 :   262111.65 MFlops
    183 :   266455.96 MFlops
    184 :   346083.56 MFlops
    185 :   243524.04 MFlops
    186 :   221891.59 MFlops
    187 :   233542.96 MFlops
    188 :   288898.78 MFlops
    189 :   293533.43 MFlops
    190 :   285791.67 MFlops
    191 :   290327.96 MFlops
    192 :   505563.43 MFlops
    193 :   211442.85 MFlops
