From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.94 MFlops :       0.00 Sec : 130
      2 :       22.77 MFlops :       0.00 Sec : 260
      3 :      218.74 MFlops :       0.00 Sec : 390
      4 :      337.02 MFlops :       0.00 Sec : 520
      5 :      470.18 MFlops :       0.00 Sec : 650
      6 :      614.84 MFlops :       0.00 Sec : 780
      7 :      752.60 MFlops :       0.00 Sec : 910
      8 :      804.83 MFlops :       0.00 Sec : 1040
      9 :      947.88 MFlops :       0.00 Sec : 1170
     10 :     1170.22 MFlops :       0.00 Sec : 1300
     11 :     1158.52 MFlops :       0.00 Sec : 1430
     12 :     1246.53 MFlops :       0.00 Sec : 4259
     13 :     1211.46 MFlops :       0.00 Sec : 4259
     14 :     1497.40 MFlops :       0.00 Sec : 4259
     15 :     1579.80 MFlops :       0.00 Sec : 4259
     16 :     1646.53 MFlops :       0.00 Sec : 4259
     17 :     1748.10 MFlops :       0.00 Sec : 4259
     18 :     1566.90 MFlops :       0.00 Sec : 4259
     19 :     1842.83 MFlops :       0.00 Sec : 4259
     20 :     2001.33 MFlops :       0.00 Sec : 4259
     21 :     2088.58 MFlops :       0.00 Sec : 4259
     22 :     2169.14 MFlops :       0.00 Sec : 4259
     23 :     2313.05 MFlops :       0.00 Sec : 4259
     24 :     2260.78 MFlops :       0.00 Sec : 4259
     25 :     4688.39 MFlops :       0.00 Sec : 4259
     26 :     5444.42 MFlops :       0.00 Sec : 4259
     27 :     5301.82 MFlops :       0.00 Sec : 4259
     28 :     5694.54 MFlops :       0.00 Sec : 4259
     29 :     3777.43 MFlops :       0.00 Sec : 4259
     30 :     5768.03 MFlops :       0.00 Sec : 4325
     31 :     5020.14 MFlops :       0.00 Sec : 4325
     32 :     3691.04 MFlops :       0.00 Sec : 4325
     33 :     3628.84 MFlops :       0.00 Sec : 4325
     34 :     5060.51 MFlops :       0.00 Sec : 4420
     35 :     4778.41 MFlops :       0.00 Sec : 4550
     36 :     3812.11 MFlops :       0.00 Sec : 4680
     37 :     4999.79 MFlops :       0.00 Sec : 4810
     38 :     5411.16 MFlops :       0.00 Sec : 4940
     39 :     4449.77 MFlops :       0.00 Sec : 5070
     40 :     3307.40 MFlops :       0.00 Sec : 5200
     41 :     3124.74 MFlops :       0.00 Sec : 5330
     42 :     2785.77 MFlops :       0.00 Sec : 5460
     43 :     2845.29 MFlops :       0.00 Sec : 5590
     44 :     3989.14 MFlops :       0.00 Sec : 5720
     45 :     5281.94 MFlops :       0.00 Sec : 5850
     46 :     5949.75 MFlops :       0.00 Sec : 5980
     47 :     5825.59 MFlops :       0.00 Sec : 6110
     48 :     5948.70 MFlops :       0.00 Sec : 6240
     49 :     5825.48 MFlops :       0.00 Sec : 6370
     50 :     3217.25 MFlops :       0.00 Sec : 6500
     51 :     3596.09 MFlops :       0.00 Sec : 6630
     52 :     5294.54 MFlops :       0.00 Sec : 6760
     53 :     7272.60 MFlops :       0.00 Sec : 6890
     54 :     7709.95 MFlops :       0.00 Sec : 7020
     55 :     7729.43 MFlops :       0.00 Sec : 7150
     56 :     8610.74 MFlops :       0.00 Sec : 7280
     57 :     3100.39 MFlops :       0.01 Sec : 7410
     58 :     4277.52 MFlops :       0.00 Sec : 7540
     59 :     8872.24 MFlops :       0.00 Sec : 7670
     60 :     9759.38 MFlops :       0.00 Sec : 7800
     61 :     9973.15 MFlops :       0.00 Sec : 7930
     62 :     6837.57 MFlops :       0.00 Sec : 8060
     63 :     3549.66 MFlops :       0.01 Sec : 8190
     64 :     8163.51 MFlops :       0.00 Sec : 8320
     65 :    10434.16 MFlops :       0.00 Sec : 8450
     66 :     9780.06 MFlops :       0.00 Sec : 8580
     67 :     4500.12 MFlops :       0.01 Sec : 8710
     68 :     5386.46 MFlops :       0.01 Sec : 8840
     69 :     8993.65 MFlops :       0.00 Sec : 8970
     70 :     9044.76 MFlops :       0.00 Sec : 9100
     71 :     3464.95 MFlops :       0.01 Sec : 9230
     72 :     8658.70 MFlops :       0.00 Sec : 9360
     73 :     8937.89 MFlops :       0.00 Sec : 9490
     74 :     3709.86 MFlops :       0.01 Sec : 9620
     75 :     8829.86 MFlops :       0.01 Sec : 9750
     76 :     7391.36 MFlops :       0.01 Sec : 9880
     77 :     5256.02 MFlops :       0.01 Sec : 10010
     78 :     8977.87 MFlops :       0.01 Sec : 10140
     79 :     4565.00 MFlops :       0.01 Sec : 10270
     80 :    10004.42 MFlops :       0.01 Sec : 10400
     81 :     8935.40 MFlops :       0.01 Sec : 10530
     82 :     5091.63 MFlops :       0.01 Sec : 10660
     83 :     8863.79 MFlops :       0.01 Sec : 10790
     84 :     4682.94 MFlops :       0.01 Sec : 10920
     85 :     7990.07 MFlops :       0.01 Sec : 11050
     86 :     5129.36 MFlops :       0.01 Sec : 11180
     87 :     8486.73 MFlops :       0.01 Sec : 11310
     88 :     5724.86 MFlops :       0.01 Sec : 11440
     89 :     6900.95 MFlops :       0.01 Sec : 11570
     90 :     4417.11 MFlops :       0.02 Sec : 11700
     91 :     8924.56 MFlops :       0.01 Sec : 11830
     92 :     6098.86 MFlops :       0.01 Sec : 11960
     93 :     5771.95 MFlops :       0.01 Sec : 12090
     94 :    10817.00 MFlops :       0.01 Sec : 12220
     95 :     5236.83 MFlops :       0.02 Sec : 12350
     96 :     5240.15 MFlops :       0.02 Sec : 12480
     97 :     6563.07 MFlops :       0.01 Sec : 12610
     98 :     9453.21 MFlops :       0.01 Sec : 12740
     99 :     5934.14 MFlops :       0.02 Sec : 12870
    100 :     6156.18 MFlops :       0.02 Sec : 13000
    101 :     8401.31 MFlops :       0.01 Sec : 13130
    102 :     8772.87 MFlops :       0.01 Sec : 13260
    103 :     5999.06 MFlops :       0.02 Sec : 13390
    104 :     6170.99 MFlops :       0.02 Sec : 13520
    105 :     6455.97 MFlops :       0.02 Sec : 13650
    106 :     7504.95 MFlops :       0.02 Sec : 13780
    107 :     7107.84 MFlops :       0.02 Sec : 13910
    108 :    11399.97 MFlops :       0.01 Sec : 14040
    109 :     8845.74 MFlops :       0.02 Sec : 14170
    110 :     7155.37 MFlops :       0.02 Sec : 14300
    111 :     7058.31 MFlops :       0.02 Sec : 14430
    112 :     7165.82 MFlops :       0.02 Sec : 14560
    113 :     7794.72 MFlops :       0.02 Sec : 14690
    114 :     7683.86 MFlops :       0.02 Sec : 14820
    115 :     7738.84 MFlops :       0.02 Sec : 14950
    116 :     8021.55 MFlops :       0.02 Sec : 15080
    117 :     8323.39 MFlops :       0.02 Sec : 15210
    118 :     8329.04 MFlops :       0.02 Sec : 15340
    119 :     8863.41 MFlops :       0.02 Sec : 15470
    120 :     9173.96 MFlops :       0.02 Sec : 15600
    121 :     9053.37 MFlops :       0.02 Sec : 15730
    122 :     9318.57 MFlops :       0.02 Sec : 15860
    123 :     9446.50 MFlops :       0.02 Sec : 15990
    124 :     9576.77 MFlops :       0.02 Sec : 16120
    125 :    10163.70 MFlops :       0.02 Sec : 16250
    126 :    10279.06 MFlops :       0.02 Sec : 16380
    127 :    10904.00 MFlops :       0.02 Sec : 16510
    128 :    10911.57 MFlops :       0.02 Sec : 16640
    129 :    11041.67 MFlops :       0.02 Sec : 16770
    130 :     8321.51 MFlops :       0.03 Sec : 16900
    131 :    10264.40 MFlops :       0.02 Sec : 17030
    132 :    11605.63 MFlops :       0.02 Sec : 17160
    133 :    11107.21 MFlops :       0.02 Sec : 17290
    134 :    11544.39 MFlops :       0.02 Sec : 17420
    135 :    11282.57 MFlops :       0.02 Sec : 17550
    136 :    12623.43 MFlops :       0.02 Sec : 17680
    137 :    12831.18 MFlops :       0.02 Sec : 17810
    138 :    11579.17 MFlops :       0.02 Sec : 17940
    139 :     9554.11 MFlops :       0.03 Sec : 18070
    140 :    10360.21 MFlops :       0.03 Sec : 18200
    141 :     6036.42 MFlops :       0.05 Sec : 18330
    142 :     9958.11 MFlops :       0.03 Sec : 18460
    143 :     8948.41 MFlops :       0.03 Sec : 18590
    144 :     9588.80 MFlops :       0.03 Sec : 18720
    145 :    10561.53 MFlops :       0.03 Sec : 18850
    146 :    10768.81 MFlops :       0.03 Sec : 18980
    147 :    11360.37 MFlops :       0.03 Sec : 19110
    148 :    10293.51 MFlops :       0.03 Sec : 19240
    149 :    10947.15 MFlops :       0.03 Sec : 19370
    150 :     8951.95 MFlops :       0.04 Sec : 19500
    151 :    10861.19 MFlops :       0.03 Sec : 19630
    152 :     9503.66 MFlops :       0.04 Sec : 19760
    153 :     9855.30 MFlops :       0.04 Sec : 19890
    154 :    10988.61 MFlops :       0.04 Sec : 20020
    155 :    10939.99 MFlops :       0.04 Sec : 20150
    156 :    10493.35 MFlops :       0.04 Sec : 20280
    157 :    10730.23 MFlops :       0.04 Sec : 20410
    158 :    10215.29 MFlops :       0.04 Sec : 20540
    159 :    11954.39 MFlops :       0.04 Sec : 20670
    160 :    11342.24 MFlops :       0.04 Sec : 20800
    161 :    10328.76 MFlops :       0.04 Sec : 20930
    162 :    10101.31 MFlops :       0.04 Sec : 21060
    163 :    10791.52 MFlops :       0.04 Sec : 21190
    164 :    11247.90 MFlops :       0.04 Sec : 21320
    165 :    11687.23 MFlops :       0.04 Sec : 21450
    166 :    11905.13 MFlops :       0.04 Sec : 21580
    167 :     7956.85 MFlops :       0.06 Sec : 21710
    168 :    10702.49 MFlops :       0.05 Sec : 21840
    169 :     9487.15 MFlops :       0.05 Sec : 21970
    170 :    12580.83 MFlops :       0.04 Sec : 22100
    171 :    12417.41 MFlops :       0.04 Sec : 22230
