From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :       15.05 MFlops :       0.00 Sec : 33
      2 :       56.17 MFlops :       0.00 Sec : 66
      3 :      406.23 MFlops :       0.00 Sec : 99
      4 :      674.05 MFlops :       0.00 Sec : 132
      5 :      877.67 MFlops :       0.00 Sec : 165
      6 :     1263.84 MFlops :       0.00 Sec : 198
      7 :     1642.03 MFlops :       0.00 Sec : 231
      8 :     2073.99 MFlops :       0.00 Sec : 264
      9 :     2193.67 MFlops :       0.00 Sec : 297
     10 :     2340.44 MFlops :       0.00 Sec : 330
     11 :     2748.65 MFlops :       0.00 Sec : 363
     12 :     3033.22 MFlops :       0.00 Sec : 396
     13 :     3126.87 MFlops :       0.00 Sec : 429
     14 :     3481.90 MFlops :       0.00 Sec : 462
     15 :     3627.09 MFlops :       0.00 Sec : 495
     16 :     3851.70 MFlops :       0.00 Sec : 528
     17 :     4206.81 MFlops :       0.00 Sec : 561
     18 :     4450.91 MFlops :       0.00 Sec : 594
     19 :     4325.69 MFlops :       0.00 Sec : 627
     20 :     4434.53 MFlops :       0.00 Sec : 660
     21 :     4876.84 MFlops :       0.00 Sec : 693
     22 :     4751.90 MFlops :       0.00 Sec : 726
     23 :     5044.99 MFlops :       0.00 Sec : 759
     24 :     5199.80 MFlops :       0.00 Sec : 792
     25 :     5431.11 MFlops :       0.00 Sec : 825
     26 :     5492.89 MFlops :       0.00 Sec : 858
     27 :     5710.78 MFlops :       0.00 Sec : 891
     28 :     6052.32 MFlops :       0.00 Sec : 924
     29 :     6159.83 MFlops :       0.00 Sec : 957
     30 :     6628.53 MFlops :       0.00 Sec : 990
     31 :     5931.17 MFlops :       0.00 Sec : 1023
     32 :     6332.34 MFlops :       0.00 Sec : 1056
     33 :     6469.89 MFlops :       0.00 Sec : 1089
     34 :     6224.81 MFlops :       0.00 Sec : 1122
     35 :     6368.96 MFlops :       0.00 Sec : 1155
     36 :     6595.72 MFlops :       0.00 Sec : 1188
     37 :     6167.37 MFlops :       0.00 Sec : 1221
     38 :     6392.83 MFlops :       0.00 Sec : 1254
     39 :     6732.20 MFlops :       0.00 Sec : 1287
     40 :     7240.04 MFlops :       0.00 Sec : 1320
     41 :     6702.46 MFlops :       0.00 Sec : 1353
     42 :     6868.79 MFlops :       0.00 Sec : 1386
     43 :     6989.71 MFlops :       0.00 Sec : 1419
     44 :     7371.88 MFlops :       0.00 Sec : 1452
     45 :     6969.71 MFlops :       0.00 Sec : 1485
     46 :     7616.22 MFlops :       0.00 Sec : 1518
     47 :     7398.27 MFlops :       0.00 Sec : 1551
     48 :     6510.65 MFlops :       0.00 Sec : 1584
     49 :     7036.23 MFlops :       0.00 Sec : 1617
     50 :     6976.68 MFlops :       0.00 Sec : 1650
     51 :     7197.73 MFlops :       0.00 Sec : 1683
     52 :     7411.83 MFlops :       0.00 Sec : 1716
     53 :     7330.40 MFlops :       0.00 Sec : 1749
     54 :     7660.10 MFlops :       0.00 Sec : 1782
     55 :     8340.13 MFlops :       0.00 Sec : 1815
     56 :     7996.49 MFlops :       0.00 Sec : 1848
     57 :     7490.22 MFlops :       0.00 Sec : 1881
     58 :     7445.36 MFlops :       0.00 Sec : 1914
     59 :     7786.36 MFlops :       0.00 Sec : 1947
