From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.89 MFlops   0.000009 sec
      2x2 :       32.00 MFlops   0.000001 sec
      3x3 :       72.00 MFlops   0.000001 sec
      4x4 :         inf MFlops   0.000000 sec
      5x5 :      200.00 MFlops   0.000001 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :         inf MFlops   0.000000 sec
      8x8 :      512.00 MFlops   0.000001 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :      968.00 MFlops   0.000001 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :         inf MFlops   0.000000 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :         inf MFlops   0.000000 sec
     17x17 :     2312.00 MFlops   0.000001 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :     2888.00 MFlops   0.000001 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :     3528.00 MFlops   0.000001 sec
     22x22 :         inf MFlops   0.000000 sec
     23x23 :     4232.00 MFlops   0.000001 sec
     24x24 :         inf MFlops   0.000000 sec
     25x25 :     5000.00 MFlops   0.000001 sec
     26x26 :         inf MFlops   0.000000 sec
     27x27 :     5832.00 MFlops   0.000001 sec
     28x28 :         inf MFlops   0.000000 sec
     29x29 :         inf MFlops   0.000000 sec
     30x30 :     7200.00 MFlops   0.000001 sec
     31x31 :         inf MFlops   0.000000 sec
     32x32 :     8192.00 MFlops   0.000001 sec
     33x33 :     8712.00 MFlops   0.000001 sec
     34x34 :     9248.00 MFlops   0.000001 sec
     35x35 :         inf MFlops   0.000000 sec
     36x36 :    10368.00 MFlops   0.000001 sec
     37x37 :         inf MFlops   0.000000 sec
     38x38 :    11552.00 MFlops   0.000001 sec
     39x39 :    12168.00 MFlops   0.000001 sec
     40x40 :    12800.00 MFlops   0.000001 sec
     41x41 :    13448.00 MFlops   0.000001 sec
     42x42 :         inf MFlops   0.000000 sec
     43x43 :    14792.00 MFlops   0.000001 sec
     44x44 :    15488.00 MFlops   0.000001 sec
     45x45 :    16200.00 MFlops   0.000001 sec
     46x46 :     4232.00 MFlops   0.000004 sec
     47x47 :    17672.00 MFlops   0.000001 sec
     48x48 :    18432.00 MFlops   0.000001 sec
     49x49 :    19208.00 MFlops   0.000001 sec
     50x50 :    20000.00 MFlops   0.000001 sec
     51x51 :    20808.00 MFlops   0.000001 sec
     52x52 :    21632.00 MFlops   0.000001 sec
     53x53 :    22472.00 MFlops   0.000001 sec
     54x54 :    23328.00 MFlops   0.000001 sec
     55x55 :    24200.00 MFlops   0.000001 sec
     56x56 :    25088.00 MFlops   0.000001 sec
     57x57 :    12996.00 MFlops   0.000002 sec
     58x58 :    26912.00 MFlops   0.000001 sec
     59x59 :    13924.00 MFlops   0.000002 sec
     60x60 :    14400.00 MFlops   0.000002 sec
     61x61 :    29768.00 MFlops   0.000001 sec
     62x62 :    15376.00 MFlops   0.000002 sec
     63x63 :    15876.00 MFlops   0.000002 sec
     64x64 :    10922.67 MFlops   0.000003 sec
     65x65 :    16900.00 MFlops   0.000002 sec
     66x66 :    17424.00 MFlops   0.000002 sec
     67x67 :    35912.00 MFlops   0.000001 sec
     68x68 :    18496.00 MFlops   0.000002 sec
     69x69 :    19044.00 MFlops   0.000002 sec
     70x70 :    19600.00 MFlops   0.000002 sec
     71x71 :    20164.00 MFlops   0.000002 sec
     72x72 :    13824.00 MFlops   0.000003 sec
     73x73 :    14210.67 MFlops   0.000003 sec
     74x74 :    14602.67 MFlops   0.000003 sec
     75x75 :    15000.00 MFlops   0.000003 sec
     76x76 :    15402.67 MFlops   0.000003 sec
     77x77 :    15810.67 MFlops   0.000003 sec
     78x78 :    24336.00 MFlops   0.000002 sec
     79x79 :    24964.00 MFlops   0.000002 sec
     80x80 :    17066.67 MFlops   0.000003 sec
     81x81 :    17496.00 MFlops   0.000003 sec
     82x82 :    26896.00 MFlops   0.000002 sec
     83x83 :    18370.67 MFlops   0.000003 sec
     84x84 :    18816.00 MFlops   0.000003 sec
     85x85 :    14450.00 MFlops   0.000004 sec
     86x86 :    19722.67 MFlops   0.000003 sec
     87x87 :    15138.00 MFlops   0.000004 sec
     88x88 :    15488.00 MFlops   0.000004 sec
     89x89 :    15842.00 MFlops   0.000004 sec
     90x90 :    16200.00 MFlops   0.000004 sec
     91x91 :    16562.00 MFlops   0.000004 sec
     92x92 :    16928.00 MFlops   0.000004 sec
     93x93 :    17298.00 MFlops   0.000004 sec
     94x94 :    14137.60 MFlops   0.000005 sec
     95x95 :    14440.00 MFlops   0.000005 sec
     96x96 :    14745.60 MFlops   0.000005 sec
     97x97 :    15054.40 MFlops   0.000005 sec
     98x98 :    12805.33 MFlops   0.000006 sec
     99x99 :    13068.00 MFlops   0.000006 sec
    100x100 :    16000.00 MFlops   0.000005 sec
    101x101 :    16321.60 MFlops   0.000005 sec
    102x102 :    13872.00 MFlops   0.000006 sec
    103x103 :    16974.40 MFlops   0.000005 sec
    104x104 :    14421.33 MFlops   0.000006 sec
    105x105 :    14700.00 MFlops   0.000006 sec
    106x106 :    14981.33 MFlops   0.000006 sec
    107x107 :    15265.33 MFlops   0.000006 sec
    108x108 :    13330.29 MFlops   0.000007 sec
    109x109 :    13578.29 MFlops   0.000007 sec
    110x110 :    13828.57 MFlops   0.000007 sec
    111x111 :     3650.67 MFlops   0.000027 sec
    112x112 :     8362.67 MFlops   0.000012 sec
    113x113 :    11350.22 MFlops   0.000009 sec
    114x114 :    12996.00 MFlops   0.000008 sec
    115x115 :    11755.56 MFlops   0.000009 sec
    116x116 :    11960.89 MFlops   0.000009 sec
    117x117 :    12168.00 MFlops   0.000009 sec
    118x118 :    12376.89 MFlops   0.000009 sec
    119x119 :    12587.56 MFlops   0.000009 sec
    120x120 :    11520.00 MFlops   0.000010 sec
    121x121 :    11712.80 MFlops   0.000010 sec
    122x122 :    13230.22 MFlops   0.000009 sec
    123x123 :    12103.20 MFlops   0.000010 sec
    124x124 :     9462.15 MFlops   0.000013 sec
    125x125 :    12500.00 MFlops   0.000010 sec
    126x126 :    12700.80 MFlops   0.000010 sec
    127x127 :    11730.18 MFlops   0.000011 sec
    128x128 :     7710.12 MFlops   0.000017 sec
    129x129 :    11094.00 MFlops   0.000012 sec
    130x130 :    10400.00 MFlops   0.000013 sec
