From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        1.14 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :      968.00 MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :     1800.00 MFlops
     16x16 :     2048.00 MFlops
     17x17 :         inf MFlops
     18x18 :     2592.00 MFlops
     19x19 :         inf MFlops
     20x20 :     3200.00 MFlops
     21x21 :         inf MFlops
     22x22 :     3872.00 MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :         inf MFlops
     26x26 :         inf MFlops
     27x27 :     5832.00 MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :         inf MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :         inf MFlops
     36x36 :    10368.00 MFlops
     37x37 :    10952.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :     7396.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :    16200.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :     8836.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :    19208.00 MFlops
     50x50 :    20000.00 MFlops
     51x51 :    10404.00 MFlops
     52x52 :    21632.00 MFlops
     53x53 :    22472.00 MFlops
     54x54 :    23328.00 MFlops
     55x55 :    12100.00 MFlops
     56x56 :    12544.00 MFlops
     57x57 :    25992.00 MFlops
     58x58 :    13456.00 MFlops
     59x59 :    13924.00 MFlops
     60x60 :    14400.00 MFlops
     61x61 :    14884.00 MFlops
     62x62 :    15376.00 MFlops
     63x63 :    15876.00 MFlops
     64x64 :    16384.00 MFlops
     65x65 :    11266.67 MFlops
     66x66 :    17424.00 MFlops
     67x67 :    17956.00 MFlops
     68x68 :    12330.67 MFlops
     69x69 :    19044.00 MFlops
     70x70 :    13066.67 MFlops
     71x71 :    20164.00 MFlops
     72x72 :    20736.00 MFlops
     73x73 :    21316.00 MFlops
     74x74 :    14602.67 MFlops
     75x75 :    15000.00 MFlops
     76x76 :    15402.67 MFlops
     77x77 :    15810.67 MFlops
     78x78 :    16224.00 MFlops
     79x79 :    16642.67 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    17930.67 MFlops
     83x83 :    18370.67 MFlops
     84x84 :    18816.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :    12390.40 MFlops
     89x89 :    15842.00 MFlops
     90x90 :    16200.00 MFlops
     91x91 :    13249.60 MFlops
     92x92 :    13542.40 MFlops
     93x93 :    13838.40 MFlops
     94x94 :    14137.60 MFlops
     95x95 :    10314.29 MFlops
     96x96 :    12288.00 MFlops
     97x97 :    10753.14 MFlops
     98x98 :    12805.33 MFlops
     99x99 :    11201.14 MFlops
    100x100 :    11428.57 MFlops
    101x101 :    11658.29 MFlops
    102x102 :    11890.29 MFlops
    103x103 :    10609.00 MFlops
    104x104 :    10816.00 MFlops
    105x105 :    11025.00 MFlops
    106x106 :    12841.14 MFlops
    107x107 :    11449.00 MFlops
    108x108 :    11664.00 MFlops
    109x109 :    11881.00 MFlops
    110x110 :    10755.56 MFlops
    111x111 :    12321.00 MFlops
    112x112 :    11150.22 MFlops
    113x113 :    12769.00 MFlops
    114x114 :    11552.00 MFlops
