From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.43 MFlops   0.000025 s
 2x2 :       7.76 MFlops   0.000011 s
 3x3 :      32.00 MFlops   0.000009 s
 4x4 :      45.51 MFlops   0.000015 s
 5x5 :       0.17 MFlops   0.007821 s
 6x6 :     109.71 MFlops   0.000021 s
 7x7 :       1.35 MFlops   0.002706 s
 8x8 :      41.06 MFlops   0.000133 s
 9x9 :     324.00 MFlops   0.000024 s
 10x10 :     226.95 MFlops   0.000047 s
 11x11 :    1183.11 MFlops   0.000012 s
 12x12 :    1417.85 MFlops   0.000013 s
 13x13 :    1673.90 MFlops   0.000014 s
 14x14 :    1951.29 MFlops   0.000015 s
 15x15 :    2000.00 MFlops   0.000018 s
 16x16 :    2427.26 MFlops   0.000018 s
 17x17 :    2495.49 MFlops   0.000021 s
 18x18 :    2592.00 MFlops   0.000024 s
 19x19 :    2813.95 MFlops   0.000026 s
 20x20 :    3282.05 MFlops   0.000026 s
 21x21 :    3406.34 MFlops   0.000029 s
 22x22 :    3663.83 MFlops   0.000031 s
 23x23 :    3932.77 MFlops   0.000033 s
 24x24 :    4213.03 MFlops   0.000035 s
 25x25 :    4166.67 MFlops   0.000040 s
 26x26 :    4572.62 MFlops   0.000041 s
 27x27 :    4771.64 MFlops   0.000044 s
 28x28 :    5321.70 MFlops   0.000044 s
 29x29 :    5419.78 MFlops   0.000048 s
 30x30 :    5538.46 MFlops   0.000052 s
 31x31 :    5674.48 MFlops   0.000056 s
 32x32 :    6472.69 MFlops   0.000054 s
 33x33 :    5721.31 MFlops   0.000067 s
 34x34 :    6449.89 MFlops   0.000065 s
 35x35 :    6825.87 MFlops   0.000067 s
 36x36 :    5995.95 MFlops   0.000083 s
 37x37 :   10005.53 MFlops   0.000054 s
 38x38 :   10641.84 MFlops   0.000055 s
 39x39 :   11100.63 MFlops   0.000057 s
 40x40 :   11570.62 MFlops   0.000059 s
 41x41 :   11486.83 MFlops   0.000064 s
 42x42 :   12746.32 MFlops   0.000062 s
 43x43 :   13251.17 MFlops   0.000064 s
 44x44 :   13561.63 MFlops   0.000067 s
 45x45 :   13690.14 MFlops   0.000071 s
 46x46 :   13483.77 MFlops   0.000077 s
 47x47 :   14382.41 MFlops   0.000077 s
 48x48 :   15320.10 MFlops   0.000077 s
 49x49 :   15303.93 MFlops   0.000082 s
 50x50 :   14981.27 MFlops   0.000089 s
 51x51 :   15214.45 MFlops   0.000093 s
