From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       1.52 MFlops   0.000007 s
 2x2 :      14.22 MFlops   0.000006 s
 3x3 :     288.00 MFlops   0.000001 s
 4x4 :        inf MFlops   0.000000 s
 5x5 :    1333.33 MFlops   0.000001 s
 6x6 :    2304.00 MFlops   0.000001 s
 7x7 :    1829.33 MFlops   0.000002 s
 8x8 :    1820.44 MFlops   0.000003 s
 9x9 :    2592.00 MFlops   0.000003 s
 10x10 :    2666.67 MFlops   0.000004 s
 11x11 :    2839.47 MFlops   0.000005 s
 12x12 :    3072.00 MFlops   0.000006 s
 13x13 :    3347.81 MFlops   0.000007 s
 14x14 :    3658.67 MFlops   0.000008 s
 15x15 :    4000.00 MFlops   0.000009 s
 16x16 :    4369.07 MFlops   0.000010 s
 17x17 :    4367.11 MFlops   0.000012 s
 18x18 :    4443.43 MFlops   0.000014 s
 19x19 :    4877.51 MFlops   0.000015 s
 20x20 :    5019.61 MFlops   0.000017 s
 21x21 :    5488.00 MFlops   0.000018 s
 22x22 :    5408.51 MFlops   0.000021 s
 23x23 :    5407.56 MFlops   0.000024 s
 24x24 :    5898.24 MFlops   0.000025 s
 25x25 :    5952.38 MFlops   0.000028 s
 26x26 :    6047.66 MFlops   0.000031 s
 27x27 :    6175.06 MFlops   0.000034 s
 28x28 :    6328.50 MFlops   0.000037 s
 29x29 :    6503.73 MFlops   0.000040 s
 30x30 :    6697.67 MFlops   0.000043 s
 31x31 :    6620.22 MFlops   0.000048 s
 32x32 :    6990.51 MFlops   0.000050 s
 33x33 :    6969.60 MFlops   0.000055 s
 34x34 :    7105.81 MFlops   0.000059 s
 35x35 :    7145.83 MFlops   0.000064 s
 36x36 :    6635.52 MFlops   0.000075 s
 37x37 :    7401.35 MFlops   0.000073 s
 38x38 :    7316.27 MFlops   0.000080 s
 39x39 :    7532.57 MFlops   0.000084 s
 40x40 :    7670.41 MFlops   0.000089 s
 41x41 :    7738.50 MFlops   0.000095 s
 42x42 :    7902.72 MFlops   0.000100 s
 43x43 :    7925.93 MFlops   0.000107 s
 44x44 :    7970.43 MFlops   0.000114 s
 45x45 :    8033.06 MFlops   0.000121 s
 46x46 :    8111.33 MFlops   0.000128 s
 47x47 :    8142.98 MFlops   0.000136 s
 48x48 :    8192.00 MFlops   0.000144 s
 49x49 :    8310.75 MFlops   0.000151 s
 50x50 :    8438.82 MFlops   0.000158 s
 51x51 :    8131.86 MFlops   0.000174 s
 52x52 :    8378.88 MFlops   0.000179 s
 53x53 :    8537.75 MFlops   0.000186 s
 54x54 :    8525.97 MFlops   0.000197 s
 55x55 :    8573.27 MFlops   0.000207 s
 56x56 :    8592.83 MFlops   0.000218 s
 57x57 :    8626.17 MFlops   0.000229 s
 58x58 :    8671.64 MFlops   0.000240 s
 59x59 :    8557.46 MFlops   0.000256 s
 60x60 :    8694.34 MFlops   0.000265 s
 61x61 :    8709.10 MFlops   0.000278 s
 62x62 :    8796.42 MFlops   0.000289 s
 63x63 :    8576.10 MFlops   0.000311 s
 64x64 :    8793.09 MFlops   0.000318 s
 65x65 :   10101.15 MFlops   0.000290 s
 66x66 :   10797.97 MFlops   0.000284 s
 67x67 :   10838.31 MFlops   0.000296 s
 68x68 :   11032.70 MFlops   0.000304 s
 69x69 :   11303.54 MFlops   0.000310 s
 70x70 :   11397.72 MFlops   0.000321 s
 71x71 :   11295.02 MFlops   0.000338 s
 72x72 :   11506.68 MFlops   0.000346 s
 73x73 :   11558.54 MFlops   0.000359 s
 74x74 :   11619.33 MFlops   0.000372 s
 75x75 :   11627.91 MFlops   0.000387 s
 76x76 :   11794.49 MFlops   0.000397 s
 77x77 :   11848.38 MFlops   0.000411 s
 78x78 :   11938.42 MFlops   0.000424 s
 79x79 :   12173.80 MFlops   0.000432 s
 80x80 :   12300.30 MFlops   0.000444 s
 81x81 :   12243.42 MFlops   0.000463 s
 82x82 :   12252.62 MFlops   0.000480 s
 83x83 :   12222.57 MFlops   0.000499 s
 84x84 :   12396.42 MFlops   0.000510 s
 85x85 :   12406.57 MFlops   0.000528 s
 86x86 :   12246.57 MFlops   0.000554 s
 87x87 :   12610.47 MFlops   0.000557 s
 88x88 :   12775.10 MFlops   0.000569 s
 89x89 :   12702.14 MFlops   0.000592 s
 90x90 :   12747.54 MFlops   0.000610 s
 91x91 :   12943.79 MFlops   0.000621 s
 92x92 :   12978.13 MFlops   0.000640 s
 93x93 :   13059.07 MFlops   0.000657 s
 94x94 :   13144.75 MFlops   0.000674 s
 95x95 :   13254.11 MFlops   0.000690 s
 96x96 :   13367.12 MFlops   0.000706 s
 97x97 :   13281.28 MFlops   0.000733 s
 98x98 :   13332.51 MFlops   0.000753 s
 99x99 :   13389.21 MFlops   0.000773 s
 100x100 :   13553.58 MFlops   0.000787 s
 101x101 :   13534.33 MFlops   0.000812 s
 102x102 :   13572.60 MFlops   0.000834 s
 103x103 :   13664.43 MFlops   0.000853 s
 104x104 :   13557.68 MFlops   0.000885 s
 105x105 :   13689.58 MFlops   0.000902 s
 106x106 :   13884.34 MFlops   0.000915 s
 107x107 :   13916.00 MFlops   0.000939 s
 108x108 :   13881.12 MFlops   0.000968 s
 109x109 :   14052.54 MFlops   0.000983 s
