From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        2.67 MFlops :       0.00 Sec : 64
      2 :       40.00 MFlops :       0.00 Sec : 128
      3 :      128.00 MFlops :       0.00 Sec : 192
      4 :      304.00 MFlops :       0.00 Sec : 256
      5 :      600.00 MFlops :       0.00 Sec : 320
      6 :      524.00 MFlops :       0.00 Sec : 384
      7 :      840.00 MFlops :       0.00 Sec : 448
      8 :     1264.00 MFlops :       0.00 Sec : 512
      9 :     1208.00 MFlops :       0.00 Sec : 576
     10 :     1666.67 MFlops :       0.00 Sec : 640
     11 :     2229.33 MFlops :       0.00 Sec : 704
     12 :     2180.00 MFlops :       0.00 Sec : 768
     13 :     2782.00 MFlops :       0.00 Sec : 832
     14 :     3486.00 MFlops :       0.00 Sec : 896
     15 :     3440.00 MFlops :       0.00 Sec : 960
     16 :     4185.60 MFlops :       0.00 Sec : 1024
     17 :     4193.33 MFlops :       0.00 Sec : 1088
     18 :     3741.00 MFlops :       0.00 Sec : 1152
     19 :     3918.22 MFlops :       0.00 Sec : 1216
     20 :     4577.78 MFlops :       0.00 Sec : 1280
     21 :     4776.80 MFlops :       0.00 Sec : 1344
     22 :     5000.00 MFlops :       0.00 Sec : 1408
     23 :     5244.00 MFlops :       0.00 Sec : 1472
     24 :     5113.14 MFlops :       0.00 Sec : 1536
     25 :     5400.00 MFlops :       0.00 Sec : 1600
     26 :     5067.11 MFlops :       0.00 Sec : 1664
     27 :     5112.00 MFlops :       0.00 Sec : 1728
     28 :     5434.67 MFlops :       0.00 Sec : 1792
     29 :     5517.57 MFlops :       0.00 Sec : 1856
     30 :     5624.00 MFlops :       0.00 Sec : 1920
     31 :     5971.08 MFlops :       0.00 Sec : 1984
     32 :     5892.41 MFlops :       0.00 Sec : 2048
     33 :     6049.29 MFlops :       0.00 Sec : 2112
     34 :     6218.91 MFlops :       0.00 Sec : 2176
     35 :     6222.22 MFlops :       0.00 Sec : 2240
     36 :     6253.54 MFlops :       0.00 Sec : 2304
     37 :     6307.62 MFlops :       0.00 Sec : 2368
     38 :     6380.62 MFlops :       0.00 Sec : 2432
     39 :     6607.32 MFlops :       0.00 Sec : 2496
