From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        2.67 MFlops :       0.00 Sec : 64
      2 :       40.00 MFlops :       0.00 Sec : 128
      3 :      128.00 MFlops :       0.00 Sec : 192
      4 :      304.00 MFlops :       0.00 Sec : 256
      5 :      600.00 MFlops :       0.00 Sec : 320
      6 :     1048.00 MFlops :       0.00 Sec : 384
      7 :      840.00 MFlops :       0.00 Sec : 448
      8 :     1264.00 MFlops :       0.00 Sec : 512
      9 :     1812.00 MFlops :       0.00 Sec : 576
     10 :     2500.00 MFlops :       0.00 Sec : 640
     11 :     2229.33 MFlops :       0.00 Sec : 704
     12 :     4360.00 MFlops :       0.00 Sec : 768
     13 :     3709.33 MFlops :       0.00 Sec : 832
     14 :     4648.00 MFlops :       0.00 Sec : 896
     15 :     4300.00 MFlops :       0.00 Sec : 960
     16 :     4185.60 MFlops :       0.00 Sec : 1024
     17 :     5032.00 MFlops :       0.00 Sec : 1088
     18 :     5985.60 MFlops :       0.00 Sec : 1152
     19 :     5037.71 MFlops :       0.00 Sec : 1216
     20 :     5885.71 MFlops :       0.00 Sec : 1280
     21 :     5971.00 MFlops :       0.00 Sec : 1344
     22 :     6111.11 MFlops :       0.00 Sec : 1408
     23 :     6292.80 MFlops :       0.00 Sec : 1472
     24 :     7158.40 MFlops :       0.00 Sec : 1536
     25 :     7363.64 MFlops :       0.00 Sec : 1600
     26 :     7600.67 MFlops :       0.00 Sec : 1664
     27 :     7864.62 MFlops :       0.00 Sec : 1728
     28 :     8152.00 MFlops :       0.00 Sec : 1792
     29 :     8460.27 MFlops :       0.00 Sec : 1856
     30 :     8787.50 MFlops :       0.00 Sec : 1920
     31 :     9132.24 MFlops :       0.00 Sec : 1984
     32 :     9493.33 MFlops :       0.00 Sec : 2048
     33 :     9376.40 MFlops :       0.00 Sec : 2112
     34 :     9772.57 MFlops :       0.00 Sec : 2176
     35 :     9739.13 MFlops :       0.00 Sec : 2240
     36 :     9755.52 MFlops :       0.00 Sec : 2304
     37 :     9811.85 MFlops :       0.00 Sec : 2368
     38 :    10634.37 MFlops :       0.00 Sec : 2432
     39 :    10351.47 MFlops :       0.00 Sec : 2496
