From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.57 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     2510.86 MFlops
     14 :     7317.33 MFlops
     15 :     9000.00 MFlops
     16 :    10922.67 MFlops
     17 :     6550.67 MFlops
     18 :     9331.20 MFlops
     19 :     6859.00 MFlops
     20 :    16000.00 MFlops
     21 :    14817.60 MFlops
     22 :    17036.80 MFlops
     23 :    16222.67 MFlops
     24 :    22118.40 MFlops
     25 :    20833.33 MFlops
     26 :    23434.67 MFlops
     27 :    19683.00 MFlops
     28 :    35123.20 MFlops
     29 :    27873.14 MFlops
     30 :    36000.00 MFlops
     31 :    29791.00 MFlops
     32 :    43690.67 MFlops
     33 :    20535.43 MFlops
     34 :    24187.08 MFlops
     35 :    28583.33 MFlops
     36 :    37324.80 MFlops
     37 :    28944.57 MFlops
     38 :    39906.91 MFlops
     39 :    39546.00 MFlops
     40 :    46545.45 MFlops
     41 :    39383.43 MFlops
     42 :    42336.00 MFlops
     43 :    42403.73 MFlops
     44 :    32451.05 MFlops
     45 :    45562.50 MFlops
     46 :    48668.00 MFlops
     47 :    48857.88 MFlops
     48 :    63195.43 MFlops
     49 :    42781.45 MFlops
     50 :    50000.00 MFlops
     51 :    53060.40 MFlops
     52 :    36285.94 MFlops
     53 :    56715.05 MFlops
     54 :    66300.63 MFlops
     55 :    63380.95 MFlops
     56 :    70246.40 MFlops
     57 :    56982.46 MFlops
     58 :    74328.38 MFlops
     59 :    71436.17 MFlops
     60 :    82285.71 MFlops
     61 :    69840.31 MFlops
     62 :    54474.97 MFlops
     63 :    71442.00 MFlops
     64 :    91180.52 MFlops
     65 :    64617.65 MFlops
     66 :    69696.00 MFlops
     67 :    70767.76 MFlops
     68 :    73984.00 MFlops
     69 :    73002.00 MFlops
     70 :    74162.16 MFlops
     71 :    77386.16 MFlops
     72 :    90484.36 MFlops
     73 :    58719.55 MFlops
     74 :    83122.87 MFlops
     75 :    80357.14 MFlops
     76 :    85653.85 MFlops
     77 :    84936.37 MFlops
     78 :    82530.78 MFlops
     79 :    87651.38 MFlops
     80 :   105025.64 MFlops
     81 :    81760.15 MFlops
     82 :    84825.85 MFlops
     83 :    80250.81 MFlops
     84 :    89464.75 MFlops
     85 :    81883.33 MFlops
     86 :    62820.35 MFlops
     87 :    86361.05 MFlops
     88 :   106897.57 MFlops
     89 :    89519.87 MFlops
     90 :    84521.74 MFlops
     91 :    92747.20 MFlops
     92 :    95838.52 MFlops
     93 :    93258.78 MFlops
     94 :    99174.21 MFlops
     95 :    99405.80 MFlops
     96 :   122032.55 MFlops
     97 :    92422.58 MFlops
     98 :    94119.20 MFlops
     99 :    95832.00 MFlops
    100 :   100000.00 MFlops
    101 :    96969.51 MFlops
    102 :    74470.74 MFlops
    103 :   100480.64 MFlops
    104 :   115370.67 MFlops
    105 :    99580.65 MFlops
    106 :   107057.62 MFlops
    107 :   106525.48 MFlops
    108 :   110743.91 MFlops
    109 :   111400.34 MFlops
    110 :   112084.21 MFlops
    111 :   112794.31 MFlops
    112 :   130690.98 MFlops
    113 :   105900.70 MFlops
    114 :   106777.95 MFlops
    115 :   108633.93 MFlops
    116 :   111492.57 MFlops
    117 :   111416.56 MFlops
    118 :   112344.07 MFlops
    119 :    66738.97 MFlops
    120 :   128000.00 MFlops
    121 :   116167.93 MFlops
    122 :   119072.00 MFlops
    123 :   118150.29 MFlops
    124 :   123008.00 MFlops
    125 :   124007.94 MFlops
    126 :   125023.50 MFlops
    127 :   124144.42 MFlops
    128 :   147168.56 MFlops
    129 :   110086.62 MFlops
    130 :   107828.22 MFlops
    131 :   113827.39 MFlops
    132 :   116454.08 MFlops
    133 :   111367.43 MFlops
    134 :   115262.47 MFlops
    135 :   117160.71 MFlops
    136 :   122705.17 MFlops
    137 :   128567.65 MFlops
    138 :   120140.43 MFlops
    139 :    92210.09 MFlops
    140 :   121955.56 MFlops
    141 :   115596.74 MFlops
    142 :   120559.49 MFlops
    143 :   115239.68 MFlops
    144 :   133451.80 MFlops
    145 :   114502.35 MFlops
    146 :   123252.91 MFlops
    147 :   116569.65 MFlops
    148 :   127755.35 MFlops
    149 :   123086.47 MFlops
    150 :   122171.95 MFlops
    151 :   129922.68 MFlops
    152 :   137046.17 MFlops
    153 :   127344.96 MFlops
    154 :   128149.61 MFlops
    155 :   131237.89 MFlops
    156 :   127076.69 MFlops
    157 :   134604.97 MFlops
    158 :   134274.45 MFlops
    159 :   136260.31 MFlops
    160 :   164663.32 MFlops
    161 :   102726.92 MFlops
    162 :   129324.05 MFlops
    163 :   123295.29 MFlops
    164 :   127853.45 MFlops
    165 :   133100.00 MFlops
    166 :   136546.15 MFlops
    167 :   141671.88 MFlops
    168 :   141541.25 MFlops
    169 :   132241.34 MFlops
    170 :   139375.89 MFlops
    171 :   128622.79 MFlops
    172 :   143843.05 MFlops
    173 :   146366.56 MFlops
    174 :   144329.42 MFlops
    175 :   141501.65 MFlops
    176 :   165833.49 MFlops
    177 :   134023.76 MFlops
    178 :   139684.26 MFlops
    179 :   145659.40 MFlops
    180 :   142678.90 MFlops
    181 :   136708.73 MFlops
    182 :   147940.32 MFlops
    183 :   137333.04 MFlops
    184 :   140383.19 MFlops
    185 :   138019.07 MFlops
    186 :   138757.00 MFlops
    187 :   139503.00 MFlops
    188 :   112860.67 MFlops
    189 :   137430.41 MFlops
    190 :   145936.17 MFlops
    191 :   143667.44 MFlops
    192 :   152212.65 MFlops
    193 :   141308.25 MFlops
    194 :   139739.41 MFlops
    195 :   138272.73 MFlops
    196 :   147276.99 MFlops
    197 :   139323.43 MFlops
    198 :   132690.46 MFlops
    199 :   147645.88 MFlops
    200 :   157248.16 MFlops
