From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :     2592.00 MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :     3872.00 MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :     5408.00 MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :         inf MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :         inf MFlops
     34x34 :     9248.00 MFlops
     35x35 :         inf MFlops
     36x36 :         inf MFlops
     37x37 :         inf MFlops
     38x38 :         inf MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :         inf MFlops
     43x43 :    14792.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :    16200.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :    19208.00 MFlops
     50x50 :    10000.00 MFlops
     51x51 :    20808.00 MFlops
     52x52 :    21632.00 MFlops
     53x53 :    22472.00 MFlops
     54x54 :    23328.00 MFlops
     55x55 :    12100.00 MFlops
     56x56 :    12544.00 MFlops
     57x57 :    25992.00 MFlops
     58x58 :    13456.00 MFlops
     59x59 :    27848.00 MFlops
     60x60 :    14400.00 MFlops
     61x61 :    29768.00 MFlops
     62x62 :    15376.00 MFlops
     63x63 :    15876.00 MFlops
     64x64 :    16384.00 MFlops
     65x65 :     3755.56 MFlops
     66x66 :    11616.00 MFlops
     67x67 :    17956.00 MFlops
     68x68 :    18496.00 MFlops
     69x69 :    12696.00 MFlops
     70x70 :    19600.00 MFlops
     71x71 :    13442.67 MFlops
     72x72 :    13824.00 MFlops
     73x73 :    14210.67 MFlops
     74x74 :    21904.00 MFlops
     75x75 :    15000.00 MFlops
     76x76 :    15402.67 MFlops
     77x77 :    15810.67 MFlops
     78x78 :    16224.00 MFlops
     79x79 :    16642.67 MFlops
     80x80 :    17066.67 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    17930.67 MFlops
     83x83 :    18370.67 MFlops
     84x84 :    18816.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :    15488.00 MFlops
     89x89 :    15842.00 MFlops
     90x90 :    21600.00 MFlops
     91x91 :    16562.00 MFlops
     92x92 :    16928.00 MFlops
     93x93 :    13838.40 MFlops
     94x94 :    17672.00 MFlops
     95x95 :    14440.00 MFlops
     96x96 :    14745.60 MFlops
     97x97 :    18818.00 MFlops
     98x98 :    15366.40 MFlops
     99x99 :    15681.60 MFlops
    100x100 :    20000.00 MFlops
    101x101 :    20402.00 MFlops
    102x102 :    16646.40 MFlops
    103x103 :    16974.40 MFlops
    104x104 :    17305.60 MFlops
    105x105 :    17640.00 MFlops
    106x106 :    17977.60 MFlops
    107x107 :    18318.40 MFlops
    108x108 :    15552.00 MFlops
    109x109 :    19009.60 MFlops
    110x110 :    16133.33 MFlops
    111x111 :    16428.00 MFlops
    112x112 :    16725.33 MFlops
    113x113 :    17025.33 MFlops
    114x114 :    17328.00 MFlops
    115x115 :    17633.33 MFlops
    116x116 :    17941.33 MFlops
    117x117 :    15644.57 MFlops
    118x118 :    15913.14 MFlops
    119x119 :    18881.33 MFlops
    120x120 :    16457.14 MFlops
    121x121 :    16732.57 MFlops
    122x122 :    17010.29 MFlops
    123x123 :    17290.29 MFlops
    124x124 :    17572.57 MFlops
    125x125 :    20833.33 MFlops
    126x126 :    18144.00 MFlops
    127x127 :    18433.14 MFlops
    128x128 :     9362.29 MFlops
    129x129 :    10240.62 MFlops
    130x130 :    12290.91 MFlops
    131x131 :    12480.73 MFlops
    132x132 :    11616.00 MFlops
    133x133 :    12864.73 MFlops
    134x134 :    11970.67 MFlops
    135x135 :    13254.55 MFlops
    136x136 :    11382.15 MFlops
    137x137 :    12512.67 MFlops
    138x138 :    12696.00 MFlops
    139x139 :    12880.67 MFlops
    140x140 :    13066.67 MFlops
    141x141 :    13254.00 MFlops
    142x142 :    13442.67 MFlops
    143x143 :    12584.00 MFlops
    144x144 :    11849.14 MFlops
    145x145 :    12938.46 MFlops
    146x146 :    12180.57 MFlops
    147x147 :    13297.85 MFlops
    148x148 :    13479.38 MFlops
    149x149 :    13662.15 MFlops
    150x150 :    13846.15 MFlops
    151x151 :    13029.14 MFlops
    152x152 :    13202.29 MFlops
    153x153 :    13376.57 MFlops
    154x154 :    13552.00 MFlops
    155x155 :    12813.33 MFlops
    156x156 :    12979.20 MFlops
    157x157 :    14085.14 MFlops
    158x158 :    13314.13 MFlops
    159x159 :    13483.20 MFlops
    160x160 :    12800.00 MFlops
    161x161 :    13824.53 MFlops
    162x162 :    13996.80 MFlops
    163x163 :    14170.13 MFlops
    164x164 :    13448.00 MFlops
    165x165 :    14520.00 MFlops
    166x166 :    13778.00 MFlops
    167x167 :    13944.50 MFlops
    168x168 :    13281.88 MFlops
    169x169 :    14280.50 MFlops
    170x170 :    12844.44 MFlops
    171x171 :    11139.43 MFlops
    172x172 :    13921.88 MFlops
    173x173 :    14084.24 MFlops
    174x174 :    13456.00 MFlops
    175x175 :    13611.11 MFlops
    176x176 :    13042.53 MFlops
    177x177 :    13924.00 MFlops
    178x178 :    14081.78 MFlops
    179x179 :    14240.44 MFlops
    180x180 :    13642.11 MFlops
    181x181 :    13794.11 MFlops
    182x182 :    11041.33 MFlops
    183x183 :    13395.60 MFlops
    184x184 :    13542.40 MFlops
    185x185 :    13690.00 MFlops
    186x186 :    13179.43 MFlops
    187x187 :    13321.52 MFlops
    188x188 :    13464.38 MFlops
    189x189 :    14288.40 MFlops
    190x190 :    13752.38 MFlops
    191x191 :    13265.82 MFlops
    192x192 :    11342.77 MFlops
    193x193 :    11461.23 MFlops
    194x194 :    11151.41 MFlops
    195x195 :    11700.00 MFlops
    196x196 :    11382.52 MFlops
    197x197 :    11498.96 MFlops
    198x198 :    11616.00 MFlops
    199x199 :    11733.63 MFlops
    200x200 :    11428.57 MFlops
