From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        2.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :     1024.00 MFlops
     17 :         inf MFlops
     18 :     1296.00 MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :     3136.00 MFlops
     29 :     3364.00 MFlops
     30 :     3600.00 MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :      544.50 MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :         inf MFlops
     37 :     5476.00 MFlops
     38 :     5776.00 MFlops
     39 :         inf MFlops
     40 :         inf MFlops
     41 :     6724.00 MFlops
     42 :     7056.00 MFlops
     43 :     7396.00 MFlops
     44 :     7744.00 MFlops
     45 :         inf MFlops
     46 :     8464.00 MFlops
     47 :     8836.00 MFlops
     48 :     9216.00 MFlops
     49 :     9604.00 MFlops
     50 :    10000.00 MFlops
     51 :    10404.00 MFlops
     52 :         inf MFlops
     53 :    11236.00 MFlops
     54 :    11664.00 MFlops
     55 :    12100.00 MFlops
     56 :    12544.00 MFlops
     57 :    12996.00 MFlops
     58 :    13456.00 MFlops
     59 :    13924.00 MFlops
     60 :    14400.00 MFlops
     61 :    14884.00 MFlops
     62 :    15376.00 MFlops
     63 :    15876.00 MFlops
     64 :     8192.00 MFlops
     65 :    16900.00 MFlops
     66 :     8712.00 MFlops
     67 :    17956.00 MFlops
     68 :    18496.00 MFlops
     69 :     9522.00 MFlops
     70 :     9800.00 MFlops
     71 :    20164.00 MFlops
     72 :    10368.00 MFlops
     73 :    10658.00 MFlops
     74 :    10952.00 MFlops
     75 :    11250.00 MFlops
     76 :    23104.00 MFlops
     77 :    11858.00 MFlops
     78 :    12168.00 MFlops
     79 :    12482.00 MFlops
     80 :    12800.00 MFlops
     81 :    13122.00 MFlops
     82 :    13448.00 MFlops
     83 :    13778.00 MFlops
     84 :    14112.00 MFlops
     85 :    14450.00 MFlops
     86 :    14792.00 MFlops
     87 :    10092.00 MFlops
     88 :    15488.00 MFlops
     89 :    15842.00 MFlops
     90 :    16200.00 MFlops
     91 :    11041.33 MFlops
     92 :    16928.00 MFlops
     93 :    11532.00 MFlops
     94 :    17672.00 MFlops
     95 :    12033.33 MFlops
     96 :    12288.00 MFlops
     97 :    12545.33 MFlops
     98 :    12805.33 MFlops
     99 :    13068.00 MFlops
    100 :    13333.33 MFlops
    101 :    13601.33 MFlops
    102 :    13872.00 MFlops
    103 :    14145.33 MFlops
    104 :    14421.33 MFlops
    105 :    11025.00 MFlops
    106 :    14981.33 MFlops
    107 :    11449.00 MFlops
    108 :    11664.00 MFlops
    109 :    11881.00 MFlops
    110 :    12100.00 MFlops
    111 :    12321.00 MFlops
    112 :    16725.33 MFlops
    113 :    12769.00 MFlops
    114 :    12996.00 MFlops
    115 :    13225.00 MFlops
    116 :    10764.80 MFlops
    117 :    10951.20 MFlops
    118 :    11139.20 MFlops
    119 :    14161.00 MFlops
    120 :    11520.00 MFlops
    121 :    14641.00 MFlops
    122 :    11907.20 MFlops
    123 :    12103.20 MFlops
    124 :    12300.80 MFlops
    125 :    12500.00 MFlops
    126 :    12700.80 MFlops
    127 :    12903.20 MFlops
    128 :    13107.20 MFlops
    129 :    11094.00 MFlops
    130 :    13520.00 MFlops
    131 :    11440.67 MFlops
    132 :    11616.00 MFlops
    133 :    11792.67 MFlops
    134 :    11970.67 MFlops
    135 :    12150.00 MFlops
    136 :    12330.67 MFlops
    137 :    12512.67 MFlops
    138 :    12696.00 MFlops
    139 :    11040.57 MFlops
    140 :    11200.00 MFlops
    141 :    11360.57 MFlops
    142 :    11522.29 MFlops
    143 :    11685.14 MFlops
    144 :    11849.14 MFlops
    145 :    12014.29 MFlops
    146 :    10658.00 MFlops
    147 :    12348.00 MFlops
    148 :    12516.57 MFlops
    149 :    12686.29 MFlops
    150 :    12857.14 MFlops
    151 :    13029.14 MFlops
    152 :    11552.00 MFlops
    153 :    11704.50 MFlops
    154 :    13552.00 MFlops
    155 :    12012.50 MFlops
    156 :    12168.00 MFlops
    157 :    12324.50 MFlops
    158 :    12482.00 MFlops
    159 :    12640.50 MFlops
    160 :    11377.78 MFlops
    161 :    11520.44 MFlops
