From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        8.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :      800.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :     2312.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :     4232.00 MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :     6728.00 MFlops
     30 :     7200.00 MFlops
     31 :     7688.00 MFlops
     32 :         inf MFlops
     33 :     8712.00 MFlops
     34 :     9248.00 MFlops
     35 :     9800.00 MFlops
     36 :    10368.00 MFlops
     37 :         inf MFlops
     38 :    11552.00 MFlops
     39 :         inf MFlops
     40 :    12800.00 MFlops
     41 :    13448.00 MFlops
     42 :         inf MFlops
     43 :    14792.00 MFlops
     44 :    15488.00 MFlops
     45 :    16200.00 MFlops
     46 :    16928.00 MFlops
     47 :    17672.00 MFlops
     48 :    18432.00 MFlops
     49 :    19208.00 MFlops
     50 :    20000.00 MFlops
     51 :    20808.00 MFlops
     52 :    10816.00 MFlops
     53 :    22472.00 MFlops
     54 :    11664.00 MFlops
     55 :    12100.00 MFlops
     56 :    25088.00 MFlops
     57 :    12996.00 MFlops
     58 :    13456.00 MFlops
     59 :    13924.00 MFlops
     60 :    28800.00 MFlops
     61 :    29768.00 MFlops
     62 :    15376.00 MFlops
     63 :    15876.00 MFlops
     64 :    16384.00 MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :    17956.00 MFlops
     68 :    36992.00 MFlops
     69 :    19044.00 MFlops
     70 :    19600.00 MFlops
     71 :    20164.00 MFlops
     72 :    20736.00 MFlops
     73 :    21316.00 MFlops
     74 :    21904.00 MFlops
     75 :    15000.00 MFlops
     76 :    15402.67 MFlops
     77 :    23716.00 MFlops
     78 :    24336.00 MFlops
     79 :    16642.67 MFlops
     80 :    25600.00 MFlops
     81 :    26244.00 MFlops
     82 :    17930.67 MFlops
     83 :    18370.67 MFlops
     84 :    18816.00 MFlops
     85 :    19266.67 MFlops
     86 :    19722.67 MFlops
     87 :    20184.00 MFlops
     88 :    20650.67 MFlops
     89 :    21122.67 MFlops
     90 :    16200.00 MFlops
     91 :    22082.67 MFlops
     92 :    22570.67 MFlops
     93 :    23064.00 MFlops
     94 :    23562.67 MFlops
     95 :    24066.67 MFlops
     96 :    24576.00 MFlops
     97 :    18818.00 MFlops
     98 :    25610.67 MFlops
     99 :    19602.00 MFlops
    100 :    20000.00 MFlops
    101 :    20402.00 MFlops
    102 :    20808.00 MFlops
    103 :    16974.40 MFlops
    104 :    17305.60 MFlops
    105 :    22050.00 MFlops
    106 :    22472.00 MFlops
    107 :    22898.00 MFlops
    108 :    18662.40 MFlops
    109 :    19009.60 MFlops
    110 :    19360.00 MFlops
    111 :    19713.60 MFlops
    112 :    20070.40 MFlops
    113 :    17025.33 MFlops
    114 :    20793.60 MFlops
    115 :    17633.33 MFlops
    116 :    21529.60 MFlops
    117 :    18252.00 MFlops
    118 :    22278.40 MFlops
    119 :    22657.60 MFlops
    120 :    19200.00 MFlops
    121 :    19521.33 MFlops
    122 :    19845.33 MFlops
    123 :    20172.00 MFlops
    124 :    20501.33 MFlops
    125 :    20833.33 MFlops
    126 :    18144.00 MFlops
    127 :    18433.14 MFlops
    128 :    18724.57 MFlops
    129 :    19018.29 MFlops
    130 :    19314.29 MFlops
    131 :    19612.57 MFlops
    132 :    19913.14 MFlops
    133 :    20216.00 MFlops
    134 :    20521.14 MFlops
    135 :    18225.00 MFlops
    136 :    18496.00 MFlops
    137 :    21450.29 MFlops
    138 :    21764.57 MFlops
    139 :    19321.00 MFlops
    140 :    19600.00 MFlops
    141 :    19881.00 MFlops
    142 :    20164.00 MFlops
    143 :    20449.00 MFlops
    144 :    20736.00 MFlops
    145 :    21025.00 MFlops
    146 :    18947.56 MFlops
    147 :    21609.00 MFlops
    148 :    21904.00 MFlops
    149 :    22201.00 MFlops
    150 :    20000.00 MFlops
    151 :    20267.56 MFlops
    152 :    18483.20 MFlops
    153 :    20808.00 MFlops
    154 :    21080.89 MFlops
    155 :    21355.56 MFlops
    156 :    19468.80 MFlops
    157 :    19719.20 MFlops
    158 :    22190.22 MFlops
    159 :    20224.80 MFlops
    160 :    18618.18 MFlops
    161 :    20736.80 MFlops
    162 :    19086.55 MFlops
    163 :    21255.20 MFlops
    164 :    21516.80 MFlops
    165 :    19800.00 MFlops
    166 :    20040.73 MFlops
    167 :    18592.67 MFlops
    168 :    18816.00 MFlops
    169 :    19040.67 MFlops
    170 :    19266.67 MFlops
    171 :    19494.00 MFlops
