From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.57 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :      142.86 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :      972.00 MFlops
     10 :     4000.00 MFlops
     11 :       81.28 MFlops
     12 :     6912.00 MFlops
     13 :     2929.33 MFlops
     14 :    10976.00 MFlops
     15 :     9000.00 MFlops
     16 :    10922.67 MFlops
     17 :    13101.33 MFlops
     18 :    15552.00 MFlops
     19 :    18290.67 MFlops
     20 :    21333.33 MFlops
     21 :     6735.27 MFlops
     22 :    21296.00 MFlops
     23 :    19467.20 MFlops
     24 :    18432.00 MFlops
     25 :    10416.67 MFlops
     26 :    28121.60 MFlops
     27 :    22494.86 MFlops
     28 :    21952.00 MFlops
     29 :    24389.00 MFlops
     30 :    27000.00 MFlops
     31 :    26480.89 MFlops
     32 :    29127.11 MFlops
     33 :    22115.08 MFlops
     34 :    31443.20 MFlops
     35 :    28583.33 MFlops
     36 :    33931.64 MFlops
     37 :    33768.67 MFlops
     38 :    36581.33 MFlops
     39 :    36504.00 MFlops
     40 :    36571.43 MFlops
     41 :    39383.43 MFlops
     42 :    42336.00 MFlops
     43 :    37415.06 MFlops
     44 :    45431.47 MFlops
     45 :    48600.00 MFlops
     46 :    51912.53 MFlops
     47 :    43714.95 MFlops
     48 :    49152.00 MFlops
     49 :     6771.17 MFlops
     50 :    33333.33 MFlops
     51 :    48236.73 MFlops
     52 :    41661.63 MFlops
     53 :    51783.30 MFlops
     54 :    52488.00 MFlops
     55 :    55458.33 MFlops
     56 :    58538.67 MFlops
     57 :    59261.76 MFlops
     58 :    65037.33 MFlops
     59 :    63193.54 MFlops
     60 :    38400.00 MFlops
     61 :    51881.37 MFlops
     62 :    54474.97 MFlops
     63 :    55566.00 MFlops
     64 :    43690.67 MFlops
     65 :    47760.87 MFlops
     66 :    54761.14 MFlops
     67 :    44557.48 MFlops
     68 :    46582.52 MFlops
     69 :    48668.00 MFlops
     70 :    56000.00 MFlops
     71 :    54024.30 MFlops
     72 :    56339.32 MFlops
     73 :    57632.15 MFlops
     74 :    41561.44 MFlops
     75 :    46875.00 MFlops
     76 :    48775.11 MFlops
     77 :    49354.92 MFlops
     78 :    51302.92 MFlops
     79 :    45864.09 MFlops
     80 :    48761.90 MFlops
     81 :    50017.98 MFlops
     82 :    53792.00 MFlops
     83 :    50266.99 MFlops
     84 :    53882.18 MFlops
     85 :    55202.25 MFlops
     86 :    56538.31 MFlops
     87 :    52158.65 MFlops
     88 :    53977.98 MFlops
     89 :    54754.87 MFlops
     90 :    57742.57 MFlops
     91 :    31563.18 MFlops
     92 :    56121.66 MFlops
     93 :    56446.11 MFlops
     94 :    57779.76 MFlops
     95 :    57158.33 MFlops
     96 :    58982.40 MFlops
     97 :    58411.07 MFlops
     98 :    60722.06 MFlops
     99 :    61606.29 MFlops
    100 :    41237.11 MFlops
    101 :    54949.39 MFlops
    102 :    60640.46 MFlops
    103 :    61562.08 MFlops
    104 :    63372.62 MFlops
    105 :    59365.38 MFlops
    106 :    62275.35 MFlops
    107 :    62822.72 MFlops
    108 :    64600.62 MFlops
    109 :    65571.09 MFlops
    110 :    66968.55 MFlops
    111 :    67537.33 MFlops
    112 :    69810.09 MFlops
    113 :    45988.75 MFlops
    114 :     2407.06 MFlops
    115 :     8592.51 MFlops
    116 :    61513.14 MFlops
    117 :    61898.09 MFlops
    118 :    60572.61 MFlops
    119 :    12482.66 MFlops
    120 :    69818.18 MFlops
    121 :    72308.61 MFlops
    122 :    61036.91 MFlops
    123 :    63348.66 MFlops
    124 :    64906.35 MFlops
    125 :    65651.26 MFlops
    126 :    66679.20 MFlops
    127 :     6724.28 MFlops
    128 :    16545.58 MFlops
    129 :    60257.94 MFlops
    130 :    61670.18 MFlops
    131 :    62883.66 MFlops
    132 :    64110.61 MFlops
    133 :    64677.31 MFlops
    134 :    59409.98 MFlops
    135 :    74275.47 MFlops
    136 :    73176.90 MFlops
    137 :    24059.44 MFlops
    138 :    65907.76 MFlops
    139 :    75385.80 MFlops
    140 :    59329.73 MFlops
    141 :    65958.14 MFlops
    142 :    66977.50 MFlops
    143 :    68004.81 MFlops
    144 :    78837.86 MFlops
    145 :    62375.96 MFlops
    146 :    64333.56 MFlops
    147 :    20088.68 MFlops
    148 :    66328.23 MFlops
    149 :    67337.38 MFlops
    150 :    63829.79 MFlops
    151 :    25246.20 MFlops
    152 :     7530.01 MFlops
    153 :    67259.66 MFlops
    154 :    73045.28 MFlops
    155 :    69605.14 MFlops
    156 :    68869.22 MFlops
    157 :    43299.50 MFlops
    158 :    68299.77 MFlops
    159 :    16916.06 MFlops
    160 :    71234.78 MFlops
    161 :    67040.66 MFlops
    162 :    73460.53 MFlops
    163 :    65617.38 MFlops
    164 :    66832.48 MFlops
    165 :    68451.43 MFlops
    166 :    69439.03 MFlops
    167 :    76982.86 MFlops
    168 :    76018.15 MFlops
    169 :    69827.25 MFlops
    170 :    72516.61 MFlops
    171 :    71431.59 MFlops
    172 :    72304.77 MFlops
    173 :    73442.79 MFlops
    174 :    55968.38 MFlops
    175 :    73040.89 MFlops
    176 :    68900.80 MFlops
    177 :    66910.81 MFlops
    178 :    66742.63 MFlops
    179 :    76984.42 MFlops
    180 :    78677.91 MFlops
    181 :    78931.66 MFlops
    182 :    71344.00 MFlops
    183 :    71888.41 MFlops
    184 :    70689.41 MFlops
    185 :    55601.54 MFlops
    186 :    72200.35 MFlops
    187 :    70408.65 MFlops
    188 :    73727.29 MFlops
    189 :    71917.65 MFlops
    190 :    68079.40 MFlops
    191 :    72771.50 MFlops
    192 :    73728.00 MFlops
    193 :    67821.29 MFlops
    194 :    74790.10 MFlops
    195 :    73596.77 MFlops
    196 :    74549.86 MFlops
    197 :    74954.64 MFlops
    198 :    76760.37 MFlops
    199 :    77833.08 MFlops
    200 :    71748.88 MFlops
