From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.00 MFlops
      2 :       21.33 MFlops
      3 :       43.20 MFlops
      4 :      256.00 MFlops
      5 :         inf MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :     4096.00 MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :     5324.00 MFlops
     12 :    13824.00 MFlops
     13 :     2510.86 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    16384.00 MFlops
     17 :     5614.86 MFlops
     18 :    11664.00 MFlops
     19 :     9145.33 MFlops
     20 :    21333.33 MFlops
     21 :    18522.00 MFlops
     22 :    28394.67 MFlops
     23 :    19467.20 MFlops
     24 :    27648.00 MFlops
     25 :    20833.33 MFlops
     26 :    28121.60 MFlops
     27 :    22494.86 MFlops
     28 :    35123.20 MFlops
     29 :    32518.67 MFlops
     30 :    30857.14 MFlops
     31 :    39721.33 MFlops
     32 :    43690.67 MFlops
     33 :    22115.08 MFlops
     34 :    24187.08 MFlops
     35 :    31181.82 MFlops
     36 :    37324.80 MFlops
     37 :    28944.57 MFlops
     38 :    39906.91 MFlops
     39 :    47455.20 MFlops
     40 :    42666.67 MFlops
     41 :    55136.80 MFlops
     42 :    42336.00 MFlops
     43 :    45432.57 MFlops
     44 :    32451.05 MFlops
     45 :    42882.35 MFlops
     46 :    48668.00 MFlops
     47 :    46143.56 MFlops
     48 :    58982.40 MFlops
     49 :    42781.45 MFlops
     50 :    47619.05 MFlops
     51 :    48236.73 MFlops
     52 :    41661.63 MFlops
     53 :    51783.30 MFlops
     54 :    74100.71 MFlops
     55 :    63380.95 MFlops
     56 :    63860.36 MFlops
     57 :    56982.46 MFlops
     58 :    67865.04 MFlops
     59 :    74683.27 MFlops
     60 :    75130.43 MFlops
     61 :    69840.31 MFlops
     62 :    50174.32 MFlops
     63 :    66679.20 MFlops
     64 :    95325.09 MFlops
     65 :    61027.78 MFlops
     66 :    76665.60 MFlops
     67 :    66836.22 MFlops
     68 :    76225.94 MFlops
     69 :    77296.24 MFlops
     70 :    72210.53 MFlops
     71 :    77386.16 MFlops
     72 :    78578.53 MFlops
     73 :    54598.88 MFlops
     74 :    83122.87 MFlops
     75 :    71808.51 MFlops
     76 :    85653.85 MFlops
     77 :    76088.83 MFlops
     78 :    71630.49 MFlops
     79 :    77339.45 MFlops
     80 :    93090.91 MFlops
     81 :    78732.00 MFlops
     82 :    77384.98 MFlops
     83 :    80250.81 MFlops
     84 :    87808.00 MFlops
     85 :    79241.94 MFlops
     86 :    60576.76 MFlops
     87 :    77470.94 MFlops
     88 :    97353.14 MFlops
     89 :    81735.54 MFlops
     90 :    75740.26 MFlops
     91 :    84909.41 MFlops
     92 :    85335.67 MFlops
     93 :    81453.87 MFlops
     94 :    87429.89 MFlops
     95 :    87935.90 MFlops
     96 :   105640.12 MFlops
     97 :    83923.95 MFlops
     98 :    87552.74 MFlops
     99 :    88209.00 MFlops
    100 :    98765.43 MFlops
    101 :    87685.19 MFlops
    102 :    71946.31 MFlops
    103 :    92998.04 MFlops
    104 :   107129.90 MFlops
    105 :    92610.00 MFlops
    106 :    96243.72 MFlops
    107 :    97033.11 MFlops
    108 :   106081.01 MFlops
    109 :   102576.55 MFlops
    110 :   100452.83 MFlops
    111 :    98568.00 MFlops
    112 :   114688.00 MFlops
    113 :    95398.15 MFlops
    114 :    98769.60 MFlops
    115 :   100553.72 MFlops
    116 :   105823.46 MFlops
    117 :   100889.01 MFlops
    118 :    94562.99 MFlops
    119 :    64813.81 MFlops
    120 :   114247.93 MFlops
    121 :   106560.06 MFlops
    122 :   103026.84 MFlops
    123 :   102668.52 MFlops
    124 :   114684.15 MFlops
    125 :   110815.60 MFlops
    126 :   108128.43 MFlops
    127 :   110723.41 MFlops
    128 :   138654.68 MFlops
    129 :   101618.41 MFlops
    130 :   102783.63 MFlops
    131 :   112404.55 MFlops
    132 :   112881.87 MFlops
    133 :   110064.89 MFlops
    134 :   107535.37 MFlops
    135 :   111203.39 MFlops
    136 :   116997.95 MFlops
    137 :   116219.34 MFlops
    138 :   110655.66 MFlops
    139 :    86632.87 MFlops
    140 :   116148.15 MFlops
    141 :   113836.39 MFlops
    142 :   109077.64 MFlops
    143 :   105853.65 MFlops
    144 :   129825.39 MFlops
    145 :   109367.71 MFlops
    146 :   112149.05 MFlops
    147 :   117106.84 MFlops
    148 :   120066.37 MFlops
    149 :   117615.96 MFlops
    150 :   112500.00 MFlops
    151 :   118212.91 MFlops
    152 :   132521.06 MFlops
    153 :   117912.00 MFlops
    154 :   113689.15 MFlops
    155 :   120611.34 MFlops
    156 :   130349.05 MFlops
    157 :   118164.67 MFlops
    158 :   113915.15 MFlops
    159 :   117792.79 MFlops
    160 :   146941.70 MFlops
    161 :    95937.49 MFlops
    162 :   114519.27 MFlops
    163 :   117843.46 MFlops
    164 :   122526.22 MFlops
    165 :   126538.73 MFlops
    166 :   104555.34 MFlops
    167 :   123786.39 MFlops
    168 :   136449.84 MFlops
    169 :   112578.64 MFlops
    170 :   109481.89 MFlops
    171 :   116283.98 MFlops
    172 :   138461.17 MFlops
    173 :   124764.27 MFlops
    174 :   125429.14 MFlops
    175 :   126849.11 MFlops
    176 :   148853.95 MFlops
    177 :   126387.08 MFlops
    178 :   128541.36 MFlops
    179 :   129979.35 MFlops
    180 :   138035.50 MFlops
    181 :   124836.65 MFlops
    182 :   120571.36 MFlops
    183 :   125391.04 MFlops
    184 :   138049.95 MFlops
    185 :   124454.55 MFlops
    186 :   119997.31 MFlops
    187 :   126056.93 MFlops
    188 :   104230.15 MFlops
    189 :   129520.75 MFlops
    190 :   127609.30 MFlops
    191 :   130240.58 MFlops
    192 :   140503.98 MFlops
    193 :   129824.96 MFlops
    194 :   119450.04 MFlops
    195 :   128118.79 MFlops
    196 :   138793.29 MFlops
    197 :   123561.58 MFlops
    198 :   125199.87 MFlops
    199 :   134423.86 MFlops
    200 :   145454.55 MFlops
