From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.50 MFlops
      2 :       32.00 MFlops
      3 :       54.00 MFlops
      4 :         inf MFlops
      5 :      250.00 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :      571.43 MFlops
     11 :     2662.00 MFlops
     12 :     6912.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     8192.00 MFlops
     17 :     6550.67 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :     8111.33 MFlops
     24 :    27648.00 MFlops
     25 :    20833.33 MFlops
     26 :    23434.67 MFlops
     27 :    19683.00 MFlops
     28 :    29269.33 MFlops
     29 :    19511.20 MFlops
     30 :    27000.00 MFlops
     31 :    29791.00 MFlops
     32 :    43690.67 MFlops
     33 :    23958.00 MFlops
     34 :    39304.00 MFlops
     35 :    34300.00 MFlops
     36 :    46656.00 MFlops
     37 :    40522.40 MFlops
     38 :    43897.60 MFlops
     39 :    39546.00 MFlops
     40 :    25600.00 MFlops
     41 :    21206.46 MFlops
     42 :    32928.00 MFlops
     43 :    45432.57 MFlops
     44 :    37859.56 MFlops
     45 :    40500.00 MFlops
     46 :    43260.44 MFlops
     47 :    46143.56 MFlops
     48 :    73728.00 MFlops
     49 :    47059.60 MFlops
     50 :    45454.55 MFlops
     51 :    26530.20 MFlops
     52 :    46869.33 MFlops
     53 :    49625.67 MFlops
     54 :    41990.40 MFlops
     55 :    51192.31 MFlops
     56 :    54035.69 MFlops
     57 :    52912.29 MFlops
     58 :    70949.82 MFlops
     59 :    74683.27 MFlops
     60 :    78545.45 MFlops
     61 :    56745.25 MFlops
     62 :    56077.18 MFlops
     63 :    35721.00 MFlops
     64 :   104857.60 MFlops
     65 :    57815.79 MFlops
     66 :    76665.60 MFlops
     67 :    63318.53 MFlops
     68 :    69873.78 MFlops
     69 :    77296.24 MFlops
     70 :    65333.33 MFlops
     71 :    84214.35 MFlops
     72 :    78578.53 MFlops
     73 :    67655.13 MFlops
     74 :    77185.52 MFlops
     75 :    76704.55 MFlops
     76 :    92416.00 MFlops
     77 :    42468.19 MFlops
     78 :    75928.32 MFlops
     79 :    70434.14 MFlops
     80 :    89043.48 MFlops
     81 :    70858.80 MFlops
     82 :    71144.26 MFlops
     83 :    84709.19 MFlops
     84 :    76477.94 MFlops
     85 :    84706.90 MFlops
     86 :    79507.00 MFlops
     87 :    79818.55 MFlops
     88 :    97353.14 MFlops
     89 :    80567.89 MFlops
     90 :    51157.89 MFlops
     91 :    91341.94 MFlops
     92 :    97336.00 MFlops
     93 :    91926.51 MFlops
     94 :    85188.10 MFlops
     95 :    83646.34 MFlops
     96 :   104086.59 MFlops
     97 :    84899.81 MFlops
     98 :    85562.91 MFlops
     99 :    94663.32 MFlops
    100 :   100000.00 MFlops
    101 :    89591.39 MFlops
    102 :    92278.96 MFlops
    103 :    99338.82 MFlops
    104 :   109742.83 MFlops
    105 :   100663.04 MFlops
    106 :    58098.34 MFlops
    107 :   102086.92 MFlops
    108 :   109540.17 MFlops
    109 :   107919.08 MFlops
    110 :    91793.10 MFlops
    111 :    99464.07 MFlops
    112 :   117077.33 MFlops
    113 :    96193.13 MFlops
    114 :    98769.60 MFlops
    115 :   103110.17 MFlops
    116 :   104059.73 MFlops
    117 :   106774.20 MFlops
    118 :   102689.50 MFlops
    119 :   106994.22 MFlops
    120 :   109714.29 MFlops
    121 :   109019.14 MFlops
    122 :   105266.55 MFlops
    123 :    67667.89 MFlops
    124 :   112154.35 MFlops
    125 :   113224.64 MFlops
    126 :   103915.64 MFlops
    127 :    96394.49 MFlops
    128 :   129055.51 MFlops
    129 :   104716.54 MFlops
    130 :   102186.05 MFlops
    131 :   111016.84 MFlops
    132 :   109522.29 MFlops
    133 :   113380.10 MFlops
    134 :   111911.81 MFlops
    135 :   115782.35 MFlops
    136 :   116997.95 MFlops
    137 :   114282.36 MFlops
    138 :   108374.10 MFlops
    139 :   115510.49 MFlops
    140 :   118021.51 MFlops
    141 :   114417.18 MFlops
    142 :   111195.65 MFlops
    143 :   114674.78 MFlops
    144 :   129825.39 MFlops
    145 :    65211.23 MFlops
    146 :   112149.05 MFlops
    147 :   114469.30 MFlops
    148 :   120066.37 MFlops
    149 :   118141.04 MFlops
    150 :   114406.78 MFlops
    151 :   122962.54 MFlops
    152 :   124311.79 MFlops
    153 :   118399.24 MFlops
    154 :   120736.00 MFlops
    155 :   124129.17 MFlops
    156 :   126547.20 MFlops
    157 :   122853.75 MFlops
    158 :   120437.01 MFlops
    159 :   127608.86 MFlops
    160 :   129007.87 MFlops
    161 :   117557.21 MFlops
    162 :   110429.30 MFlops
    163 :   116261.66 MFlops
    164 :   117625.17 MFlops
    165 :   118996.69 MFlops
    166 :   116542.57 MFlops
    167 :   120973.06 MFlops
    168 :   129907.73 MFlops
    169 :    79781.97 MFlops
    170 :   106227.03 MFlops
    171 :   115611.82 MFlops
    172 :   121878.99 MFlops
    173 :   122549.51 MFlops
    174 :   120411.98 MFlops
    175 :   126102.94 MFlops
    176 :   130581.46 MFlops
    177 :   117359.43 MFlops
    178 :   117494.83 MFlops
    179 :   118254.41 MFlops
    180 :   125419.35 MFlops
    181 :   126839.38 MFlops
    182 :   119971.50 MFlops
    183 :   130393.34 MFlops
    184 :   136164.02 MFlops
    185 :   136900.00 MFlops
    186 :   120277.68 MFlops
