From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :       32.00 MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :      200.00 MFlops
      6x6 :         inf MFlops
      7x7 :      130.67 MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :     1152.00 MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :     2592.00 MFlops
     19x19 :     2888.00 MFlops
     20x20 :     3200.00 MFlops
     21x21 :     3528.00 MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :     5408.00 MFlops
     27x27 :     5832.00 MFlops
     28x28 :         inf MFlops
     29x29 :     6728.00 MFlops
     30x30 :     7200.00 MFlops
     31x31 :         inf MFlops
     32x32 :         inf MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :    10952.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :     6084.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :    14792.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :     8100.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :     9604.00 MFlops
     50x50 :    20000.00 MFlops
     51x51 :    10404.00 MFlops
     52x52 :    10816.00 MFlops
     53x53 :    11236.00 MFlops
     54x54 :    11664.00 MFlops
     55x55 :    12100.00 MFlops
     56x56 :    12544.00 MFlops
     57x57 :    12996.00 MFlops
     58x58 :    13456.00 MFlops
     59x59 :    13924.00 MFlops
     60x60 :    14400.00 MFlops
     61x61 :     9922.67 MFlops
     62x62 :    15376.00 MFlops
     63x63 :    15876.00 MFlops
     64x64 :    16384.00 MFlops
     65x65 :    16900.00 MFlops
     66x66 :    17424.00 MFlops
     67x67 :    11970.67 MFlops
     68x68 :    12330.67 MFlops
     69x69 :    12696.00 MFlops
     70x70 :    19600.00 MFlops
     71x71 :    13442.67 MFlops
     72x72 :    13824.00 MFlops
     73x73 :    14210.67 MFlops
     74x74 :    14602.67 MFlops
     75x75 :    15000.00 MFlops
     76x76 :    15402.67 MFlops
     77x77 :    15810.67 MFlops
     78x78 :    16224.00 MFlops
     79x79 :    16642.67 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    17496.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :    13778.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :    15488.00 MFlops
     89x89 :    15842.00 MFlops
     90x90 :    16200.00 MFlops
     91x91 :    16562.00 MFlops
     92x92 :    16928.00 MFlops
     93x93 :    17298.00 MFlops
     94x94 :    14137.60 MFlops
     95x95 :    14440.00 MFlops
     96x96 :    14745.60 MFlops
     97x97 :    18818.00 MFlops
     98x98 :    19208.00 MFlops
     99x99 :    15681.60 MFlops
    100x100 :    16000.00 MFlops
    101x101 :    16321.60 MFlops
    102x102 :    16646.40 MFlops
    103x103 :    16974.40 MFlops
    104x104 :    17305.60 MFlops
    105x105 :    22050.00 MFlops
    106x106 :    22472.00 MFlops
    107x107 :    22898.00 MFlops
    108x108 :    23328.00 MFlops
    109x109 :    23762.00 MFlops
    110x110 :    24200.00 MFlops
    111x111 :    24642.00 MFlops
    112x112 :    25088.00 MFlops
    113x113 :    14593.14 MFlops
    114x114 :    20793.60 MFlops
    115x115 :    21160.00 MFlops
    116x116 :    21529.60 MFlops
    117x117 :    21902.40 MFlops
    118x118 :    22278.40 MFlops
    119x119 :    22657.60 MFlops
    120x120 :    23040.00 MFlops
    121x121 :    23425.60 MFlops
    122x122 :    23814.40 MFlops
    123x123 :    20172.00 MFlops
    124x124 :    24601.60 MFlops
    125x125 :    25000.00 MFlops
    126x126 :    25401.60 MFlops
    127x127 :    21505.33 MFlops
    128x128 :      148.95 MFlops
    129x129 :      463.86 MFlops
    130x130 :    15022.22 MFlops
    131x131 :    15254.22 MFlops
    132x132 :    15488.00 MFlops
    133x133 :    14151.20 MFlops
    134x134 :    15960.89 MFlops
    135x135 :    14580.00 MFlops
    136x136 :    16440.89 MFlops
    137x137 :    13650.18 MFlops
    138x138 :    15235.20 MFlops
    139x139 :    14051.64 MFlops
    140x140 :    17422.22 MFlops
    141x141 :    14458.91 MFlops
    142x142 :    16131.20 MFlops
    143x143 :    18176.89 MFlops
    144x144 :    16588.80 MFlops
    145x145 :    16820.00 MFlops
    146x146 :    15502.55 MFlops
    147x147 :    17287.20 MFlops
    148x148 :    15930.18 MFlops
