From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   3.832661e-17        1.33 MFlops        inf MFlops       5.33 MFlops
      2 :   3.636334e-16       21.33 MFlops        inf MFlops      53.33 MFlops
      3 :   3.095100e-16       72.00 MFlops        inf MFlops     144.00 MFlops
      4 :   3.892841e-18      170.67 MFlops        inf MFlops     298.67 MFlops
      5 :   1.753978e-16      333.33 MFlops     200.00 MFlops     266.67 MFlops
      6 :   2.519955e-16      576.00 MFlops        inf MFlops     864.00 MFlops
      7 :   3.788543e-17      914.67 MFlops        inf MFlops    1306.67 MFlops
      8 :   6.531221e-16     1365.33 MFlops     512.00 MFlops     938.67 MFlops
      9 :   7.736383e-16      972.00 MFlops     648.00 MFlops     864.00 MFlops
     10 :   7.520462e-16       76.19 MFlops        inf MFlops      99.05 MFlops
     11 :   4.200912e-16      709.87 MFlops     968.00 MFlops     752.89 MFlops
     12 :   1.983342e-16     1152.00 MFlops    1152.00 MFlops    1152.00 MFlops
     13 :   3.531171e-16      650.96 MFlops    1352.00 MFlops     721.07 MFlops
     14 :   9.369553e-16      406.52 MFlops    1568.00 MFlops     467.65 MFlops
     15 :   1.000325e-15      562.50 MFlops    1800.00 MFlops     635.29 MFlops
     16 :   1.213657e-15      642.51 MFlops    2048.00 MFlops     720.59 MFlops
     17 :   1.069963e-15      873.42 MFlops    2312.00 MFlops     963.33 MFlops
     18 :   1.430241e-15     1413.82 MFlops    2592.00 MFlops    1512.00 MFlops
     19 :   9.879056e-17     1524.22 MFlops    2888.00 MFlops    1629.13 MFlops
     20 :   1.752613e-14     1777.78 MFlops    3200.00 MFlops    1887.18 MFlops
     21 :   2.673527e-15     1764.00 MFlops    3528.00 MFlops    1881.60 MFlops
     22 :   1.436597e-14     1774.67 MFlops    3872.00 MFlops    1898.04 MFlops
     23 :   6.024451e-16     1908.55 MFlops    4232.00 MFlops    2037.63 MFlops
     24 :   3.821702e-15     1940.21 MFlops    4608.00 MFlops    2073.60 MFlops
     25 :   3.107325e-15     2083.33 MFlops    5000.00 MFlops    2222.22 MFlops
     26 :   8.774727e-16     2231.87 MFlops    5408.00 MFlops    2376.24 MFlops
     27 :   1.017223e-15     2282.09 MFlops    2916.00 MFlops    2332.80 MFlops
     28 :   4.067526e-16     1427.77 MFlops    3136.00 MFlops    1507.22 MFlops
     29 :   4.394448e-15     2709.89 MFlops    6728.00 MFlops    2870.61 MFlops
     30 :   1.423432e-15     2571.43 MFlops    3600.00 MFlops    2640.00 MFlops
     31 :   2.970052e-14     2562.67 MFlops    7688.00 MFlops    2722.83 MFlops
     32 :   6.277524e-16     2818.75 MFlops    4096.00 MFlops    2896.16 MFlops
     33 :   3.420698e-15     2818.59 MFlops    4356.00 MFlops    2904.00 MFlops
     34 :   1.110738e-15     3176.08 MFlops    4624.00 MFlops    3258.82 MFlops
     35 :   1.267030e-15     3175.93 MFlops    4900.00 MFlops    3266.67 MFlops
     36 :   7.394442e-16     3456.00 MFlops    5184.00 MFlops    3546.95 MFlops
     37 :   6.492188e-16     3554.60 MFlops    5476.00 MFlops    3650.67 MFlops
     38 :   3.985235e-15     3568.91 MFlops    5776.00 MFlops    3671.57 MFlops
     39 :   1.857035e-15     3678.70 MFlops    4056.00 MFlops    3703.30 MFlops
     40 :   2.593397e-15     3878.79 MFlops    4266.67 MFlops    3903.55 MFlops
     41 :   2.898373e-15     4084.21 MFlops    4482.67 MFlops    4109.11 MFlops
     42 :   5.548607e-15     4704.00 MFlops    4704.00 MFlops    4704.00 MFlops
     43 :   1.021830e-15     4818.61 MFlops    4930.67 MFlops    4825.76 MFlops
     44 :   1.651219e-15     4938.20 MFlops    7744.00 MFlops    5055.11 MFlops
     45 :   6.710575e-15     5170.21 MFlops    4050.00 MFlops    5082.35 MFlops
     46 :   8.348054e-16     5297.20 MFlops    5642.67 MFlops    5317.13 MFlops
     47 :   1.284361e-13     5223.80 MFlops    8836.00 MFlops    5355.15 MFlops
     48 :   1.888243e-15     5564.38 MFlops    6144.00 MFlops    5595.43 MFlops
     49 :   6.351090e-15     5602.33 MFlops    6402.67 MFlops    5643.03 MFlops
     50 :   2.968899e-15     5649.72 MFlops    6666.67 MFlops    5698.92 MFlops
     51 :   6.271281e-15     5705.42 MFlops    6936.00 MFlops    5762.22 MFlops
     52 :   3.160680e-15     4999.40 MFlops    5408.00 MFlops    5020.08 MFlops
     53 :   1.490916e-15     5591.62 MFlops    5618.00 MFlops    5593.03 MFlops
     54 :   7.667442e-15     5598.72 MFlops    5832.00 MFlops    5610.53 MFlops
     55 :   2.443701e-15     5281.75 MFlops    4840.00 MFlops    5256.93 MFlops
     56 :   2.675326e-15     5853.87 MFlops    5017.60 MFlops    5804.67 MFlops
     57 :   4.539128e-15     5949.98 MFlops    4332.00 MFlops    5840.90 MFlops
     58 :   5.670637e-15     5980.44 MFlops    4485.33 MFlops    5883.99 MFlops
     59 :   1.201981e-15     6085.30 MFlops    5569.60 MFlops    6058.16 MFlops
     60 :   3.035537e-16     6260.87 MFlops    5760.00 MFlops    6235.05 MFlops
     61 :   6.313069e-15     6305.03 MFlops    4961.33 MFlops    6225.99 MFlops
     62 :   6.378652e-15     6485.12 MFlops    5125.33 MFlops    6406.67 MFlops
     63 :   9.052024e-16     6411.46 MFlops    5292.00 MFlops    6350.40 MFlops
     64 :   4.275178e-15     6853.44 MFlops    5461.33 MFlops    6776.10 MFlops
     65 :   9.232597e-17     6974.60 MFlops    4828.57 MFlops    6840.48 MFlops
     66 :   4.351381e-14     6969.60 MFlops    4978.29 MFlops    6850.46 MFlops
     67 :   3.866426e-14     4406.78 MFlops    5985.33 MFlops    4457.16 MFlops
     68 :   5.538454e-15     8734.22 MFlops    6165.33 MFlops    8583.11 MFlops
     69 :   9.593023e-15     8673.50 MFlops    7617.60 MFlops    8623.70 MFlops
     70 :   4.241563e-15     8794.87 MFlops    7840.00 MFlops    8751.07 MFlops
     71 :   2.056940e-14     8676.63 MFlops    6721.33 MFlops    8575.49 MFlops
     72 :   4.292825e-16     8808.21 MFlops    6912.00 MFlops    8712.61 MFlops
     73 :   7.940215e-15     7463.16 MFlops    7105.33 MFlops    7448.35 MFlops
     74 :   1.022558e-15     9157.60 MFlops    7301.33 MFlops    9067.78 MFlops
     75 :   1.250144e-14     9146.34 MFlops    7500.00 MFlops    9069.77 MFlops
     76 :   3.633383e-14     9595.10 MFlops    6601.14 MFlops    9432.64 MFlops
     77 :   1.374176e-15     5852.99 MFlops    6776.00 MFlops    5883.04 MFlops
     78 :   9.307228e-16     9373.87 MFlops    6953.14 MFlops    9254.54 MFlops
     79 :   1.844529e-14     9739.04 MFlops    8321.33 MFlops    9678.71 MFlops
     80 :   3.857115e-15        5.05 MFlops   10240.00 MFlops       5.24 MFlops
     81 :   7.985560e-15    12653.36 MFlops    8748.00 MFlops   12454.78 MFlops
     82 :   4.282340e-15    14274.90 MFlops    8965.33 MFlops   13982.63 MFlops
