From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.53 MFlops       2.67 MFlops       1.33 MFlops
      2 :   2.291505e-16        3.05 MFlops        inf MFlops       7.62 MFlops
      3 :   1.250688e-16         inf MFlops        inf MFlops        inf MFlops
      4 :   0.000000e+00      170.67 MFlops        inf MFlops     298.67 MFlops
      5 :   0.000000e+00      333.33 MFlops        inf MFlops     533.33 MFlops
      6 :   3.008126e-16      576.00 MFlops        inf MFlops     864.00 MFlops
      7 :   2.637834e-16      914.67 MFlops        inf MFlops    1306.67 MFlops
      8 :   7.409587e-16     1365.33 MFlops        inf MFlops    1877.33 MFlops
      9 :   2.578282e-15     1944.00 MFlops     648.00 MFlops    1296.00 MFlops
     10 :   4.356791e-16     2666.67 MFlops        inf MFlops    3466.67 MFlops
     11 :   5.600462e-16     3549.33 MFlops     968.00 MFlops    2258.67 MFlops
     12 :   1.167583e-15     2304.00 MFlops        inf MFlops    2880.00 MFlops
     13 :   2.355780e-16     2929.33 MFlops        inf MFlops    3605.33 MFlops
     14 :   3.070773e-16     3658.67 MFlops        inf MFlops    4442.67 MFlops
     15 :   1.126376e-15     4500.00 MFlops    1800.00 MFlops    3600.00 MFlops
     16 :   1.207037e-15     5461.33 MFlops    2048.00 MFlops    4323.56 MFlops
     17 :   1.906411e-15     4367.11 MFlops        inf MFlops    5137.78 MFlops
     18 :   1.266826e-15     5184.00 MFlops    2592.00 MFlops    4536.00 MFlops
     19 :   8.227810e-16     6096.89 MFlops    2888.00 MFlops    5294.67 MFlops
     20 :   9.084007e-16     5333.33 MFlops        inf MFlops    6133.33 MFlops
     21 :   7.949086e-16     4939.20 MFlops    3528.00 MFlops    4704.00 MFlops
     22 :   6.051296e-15     5678.93 MFlops    3872.00 MFlops    5377.78 MFlops
     23 :   1.377985e-15     6489.07 MFlops    4232.00 MFlops    6112.89 MFlops
     24 :   8.388707e-15     6144.00 MFlops    4608.00 MFlops    5924.57 MFlops
     25 :   2.171589e-15     8333.33 MFlops    5000.00 MFlops    7777.78 MFlops
     26 :   9.131227e-16     7811.56 MFlops    5408.00 MFlops    7468.19 MFlops
     27 :   3.734567e-16     8748.00 MFlops    5832.00 MFlops    8331.43 MFlops
     28 :   0.000000e+00     7317.33 MFlops    6272.00 MFlops    7201.19 MFlops
     29 :   1.382425e-15     8129.67 MFlops    6728.00 MFlops    7973.93 MFlops
     30 :   7.956425e-15     8000.00 MFlops    7200.00 MFlops    7920.00 MFlops
     31 :   4.693717e-14     8826.96 MFlops    7688.00 MFlops    8713.07 MFlops
     32 :   1.971270e-15     9709.04 MFlops    4096.00 MFlops    8688.48 MFlops
     33 :   1.948686e-15     8712.00 MFlops    8712.00 MFlops    8712.00 MFlops
     34 :   2.791504e-15     8734.22 MFlops    9248.00 MFlops    8773.74 MFlops
     35 :   6.548084e-16     9527.78 MFlops    4900.00 MFlops    8866.67 MFlops
     36 :   1.949954e-15     9570.46 MFlops    5184.00 MFlops    8985.60 MFlops
     37 :   1.221825e-15     9648.19 MFlops   10952.00 MFlops    9735.11 MFlops
     38 :   1.620536e-15    10451.81 MFlops    5776.00 MFlops    9867.33 MFlops
     39 :   5.753729e-15    10545.60 MFlops    6084.00 MFlops   10020.71 MFlops
     40 :   6.678959e-16    10039.22 MFlops    6400.00 MFlops    9656.14 MFlops
     41 :   2.005966e-15    10811.14 MFlops    6724.00 MFlops   10380.91 MFlops
     42 :   1.491223e-14    10976.00 MFlops    7056.00 MFlops   10584.00 MFlops
     43 :   5.201817e-16    11158.88 MFlops    4930.67 MFlops   10309.58 MFlops
     44 :   5.353878e-16    10817.02 MFlops    7744.00 MFlops   10549.80 MFlops
     45 :   4.396460e-15    11045.45 MFlops    8100.00 MFlops   10800.00 MFlops
     46 :   1.014251e-15    11285.33 MFlops    8464.00 MFlops   11059.63 MFlops
     47 :   3.014428e-14    11535.89 MFlops    5890.67 MFlops   10908.64 MFlops
     48 :   2.293821e-15    11796.48 MFlops    6144.00 MFlops   11190.86 MFlops
     49 :   6.654888e-15    12066.56 MFlops    6402.67 MFlops   11480.64 MFlops
     50 :   6.708518e-15    11904.76 MFlops    6666.67 MFlops   11397.85 MFlops
     51 :   8.997968e-15    12197.79 MFlops    6936.00 MFlops   11704.50 MFlops
     52 :   2.201662e-15    12498.49 MFlops    7210.67 MFlops   12017.78 MFlops
     53 :   0.000000e+00    12406.42 MFlops    7490.67 MFlops   11985.07 MFlops
     54 :   4.379869e-16    12350.12 MFlops    7776.00 MFlops   11979.24 MFlops
     55 :   5.167010e-15    12676.19 MFlops    6050.00 MFlops   11996.58 MFlops
     56 :   2.099561e-16    12657.01 MFlops    8362.67 MFlops   12334.93 MFlops
     57 :   1.766321e-15    12662.77 MFlops    6498.00 MFlops   12089.30 MFlops
     58 :   3.679802e-15    12690.21 MFlops    6728.00 MFlops   12160.24 MFlops
     59 :   2.284712e-15    12736.68 MFlops    9282.67 MFlops   12511.42 MFlops
     60 :   1.584478e-15    12800.00 MFlops    7200.00 MFlops   12342.86 MFlops
     61 :   1.355655e-14    12878.35 MFlops    7442.00 MFlops   12451.97 MFlops
     62 :   3.099704e-15    12970.23 MFlops    7688.00 MFlops   12571.57 MFlops
     63 :   5.013625e-15    13074.35 MFlops    7938.00 MFlops   12700.80 MFlops
     64 :   1.810047e-16    12945.38 MFlops    8192.00 MFlops   12617.56 MFlops
     65 :   3.307106e-16    11624.34 MFlops    3755.56 MFlops   10640.74 MFlops
     66 :   1.865162e-14    11442.63 MFlops    5808.00 MFlops   10979.51 MFlops
     67 :   2.499113e-14    12152.04 MFlops    5985.33 MFlops   11638.15 MFlops
     68 :   2.100213e-16    11978.36 MFlops    6165.33 MFlops   11519.44 MFlops
     69 :   2.256291e-14    12167.00 MFlops    6348.00 MFlops   11719.38 MFlops
     70 :   1.330030e-16    12035.09 MFlops    6533.33 MFlops   11632.52 MFlops
     71 :   4.518052e-15    11639.38 MFlops    6721.33 MFlops   11304.06 MFlops
     72 :   4.206116e-15    11059.20 MFlops    5184.00 MFlops   10579.59 MFlops
     73 :   9.847361e-16    12062.54 MFlops    5329.00 MFlops   11489.48 MFlops
     74 :   1.291250e-14    12141.54 MFlops    5476.00 MFlops   11591.81 MFlops
     75 :   1.975219e-14    12228.26 MFlops    5625.00 MFlops   11700.00 MFlops
     76 :   1.263334e-14    12193.78 MFlops    5776.00 MFlops   11700.10 MFlops
     77 :   4.154466e-15    12297.19 MFlops    5929.00 MFlops   11821.06 MFlops
     78 :   2.535142e-14    12286.14 MFlops    6084.00 MFlops   11839.14 MFlops
     79 :   1.057805e-14    12062.12 MFlops    6241.00 MFlops   11664.09 MFlops
     80 :   5.429639e-15    12190.48 MFlops    5688.89 MFlops   11706.89 MFlops
     81 :   6.512173e-15    12217.03 MFlops    5832.00 MFlops   11757.31 MFlops
     82 :   1.131935e-15    12355.59 MFlops    5976.89 MFlops   11907.08 MFlops
     83 :   8.793192e-15    12498.08 MFlops    6123.56 MFlops   12060.13 MFlops
     84 :   1.309122e-14    12544.00 MFlops    6272.00 MFlops   12125.87 MFlops
     85 :   1.215187e-14    12130.86 MFlops    5780.00 MFlops   11692.87 MFlops
     86 :   9.721740e-15    12115.35 MFlops    6574.22 MFlops   11780.65 MFlops
     87 :   4.262857e-16    12366.25 MFlops    6055.20 MFlops   11951.05 MFlops
     88 :   1.304731e-14    12980.42 MFlops    6195.20 MFlops   12528.07 MFlops
     89 :   1.337717e-14    12702.14 MFlops    5760.73 MFlops   12221.92 MFlops
     90 :   1.022501e-14    13135.14 MFlops    5890.91 MFlops   12633.96 MFlops
     91 :   1.161395e-14    13134.14 MFlops    6022.55 MFlops   12657.14 MFlops
     92 :   1.533274e-14    13483.77 MFlops    6155.64 MFlops   12995.23 MFlops
     93 :   6.611397e-15    13575.65 MFlops    5766.00 MFlops   13024.38 MFlops
     94 :   1.488517e-14    13505.43 MFlops    5890.67 MFlops   12986.24 MFlops
     95 :   6.813434e-15    13609.13 MFlops    6016.67 MFlops   13102.96 MFlops
     96 :   2.020730e-14    13797.05 MFlops    6144.00 MFlops   13295.21 MFlops
     97 :   7.756162e-15    13596.62 MFlops    6272.67 MFlops   13136.47 MFlops
     98 :   1.094858e-14    13715.00 MFlops    5910.15 MFlops   13197.33 MFlops
     99 :   1.210037e-13    13763.11 MFlops    6031.38 MFlops   13263.04 MFlops
    100 :   1.438154e-14    13961.61 MFlops    6153.85 MFlops   13464.05 MFlops
    101 :   1.966910e-14    14089.59 MFlops    6277.54 MFlops   13601.33 MFlops
    102 :   3.914092e-14    14292.36 MFlops    6402.46 MFlops   13806.26 MFlops
    103 :   6.982887e-15    14284.01 MFlops    6528.62 MFlops   13819.40 MFlops
    104 :   1.851375e-14    14352.33 MFlops    7210.67 MFlops   13964.55 MFlops
    105 :   1.756168e-14    14561.32 MFlops    7350.00 MFlops   14175.00 MFlops
    106 :   1.182300e-14    14569.00 MFlops    7490.67 MFlops   14199.70 MFlops
    107 :   9.149499e-16    14715.23 MFlops    6542.29 MFlops   14230.40 MFlops
    108 :   3.324801e-14    15063.82 MFlops    7177.85 MFlops   14629.42 MFlops
    109 :   1.085607e-14    14270.29 MFlops    7311.38 MFlops   13915.52 MFlops
    110 :   7.976938e-15    15168.09 MFlops    7446.15 MFlops   14761.67 MFlops
    111 :   6.128135e-14    15008.30 MFlops    7040.57 MFlops   14574.26 MFlops
    112 :   3.062261e-14    15417.59 MFlops    7719.38 MFlops   15026.67 MFlops
    113 :   9.844268e-15    15452.71 MFlops    7296.57 MFlops   15018.54 MFlops
    114 :   3.777276e-14    15554.27 MFlops    7426.29 MFlops   15129.67 MFlops
    115 :   9.168113e-15    15780.80 MFlops    7053.33 MFlops   15299.51 MFlops
    116 :   5.444689e-15    15886.98 MFlops    7689.14 MFlops   15471.15 MFlops
    117 :   1.312840e-14    15818.40 MFlops    7300.80 MFlops   15370.11 MFlops
    118 :   3.674518e-15    15874.71 MFlops    6962.00 MFlops   15386.34 MFlops
    119 :   3.084965e-13    15992.02 MFlops    7080.50 MFlops   15511.94 MFlops
    120 :   9.845527e-14    15889.66 MFlops    7200.00 MFlops   15435.29 MFlops
    121 :   1.523844e-14    16234.24 MFlops    7320.50 MFlops   15769.68 MFlops
