From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :      200.00 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :      648.00 MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :     1352.00 MFlops
     14x14 :         inf MFlops
     15x15 :     1800.00 MFlops
     16x16 :     2048.00 MFlops
     17x17 :     2312.00 MFlops
     18x18 :     2592.00 MFlops
     19x19 :     2888.00 MFlops
     20x20 :     3200.00 MFlops
     21x21 :     3528.00 MFlops
     22x22 :     3872.00 MFlops
     23x23 :     2116.00 MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :     2704.00 MFlops
     27x27 :     5832.00 MFlops
     28x28 :     3136.00 MFlops
     29x29 :     3364.00 MFlops
     30x30 :     3600.00 MFlops
     31x31 :     3844.00 MFlops
     32x32 :     4096.00 MFlops
     33x33 :     2904.00 MFlops
     34x34 :     3082.67 MFlops
     35x35 :     4900.00 MFlops
     36x36 :     3456.00 MFlops
     37x37 :     5476.00 MFlops
     38x38 :     3850.67 MFlops
     39x39 :     4056.00 MFlops
     40x40 :     4266.67 MFlops
     41x41 :     3362.00 MFlops
     42x42 :     4704.00 MFlops
     43x43 :     3698.00 MFlops
     44x44 :     3872.00 MFlops
     45x45 :     4050.00 MFlops
     46x46 :     4232.00 MFlops
     47x47 :     4418.00 MFlops
     48x48 :     3686.40 MFlops
     49x49 :     3841.60 MFlops
     50x50 :     4000.00 MFlops
     51x51 :     4161.60 MFlops
     52x52 :     4326.40 MFlops
     53x53 :     3745.33 MFlops
     54x54 :     4665.60 MFlops
     55x55 :     4033.33 MFlops
     56x56 :     4181.33 MFlops
     57x57 :     3713.14 MFlops
     58x58 :     4485.33 MFlops
     59x59 :     3978.29 MFlops
     60x60 :     3600.00 MFlops
     61x61 :     3721.00 MFlops
     62x62 :     4393.14 MFlops
     63x63 :     3969.00 MFlops
     64x64 :     4096.00 MFlops
     65x65 :     3755.56 MFlops
     66x66 :     4356.00 MFlops
     67x67 :     3990.22 MFlops
     68x68 :     4110.22 MFlops
     69x69 :     4232.00 MFlops
     70x70 :     3920.00 MFlops
     71x71 :     4032.80 MFlops
     72x72 :     6912.00 MFlops
     73x73 :     3552.67 MFlops
     74x74 :     3650.67 MFlops
     75x75 :     4090.91 MFlops
     76x76 :     3850.67 MFlops
     77x77 :     3648.62 MFlops
     78x78 :     4056.00 MFlops
     79x79 :     8321.33 MFlops
     80x80 :     8533.33 MFlops
     81x81 :     8748.00 MFlops
     82x82 :     8965.33 MFlops
     83x83 :     7873.14 MFlops
     84x84 :     8064.00 MFlops
     85x85 :     8257.14 MFlops
     86x86 :     8452.57 MFlops
     87x87 :     8650.29 MFlops
     88x88 :     7744.00 MFlops
     89x89 :     7921.00 MFlops
     90x90 :     4984.62 MFlops
     91x91 :     4732.00 MFlops
     92x92 :     4836.57 MFlops
     93x93 :     4942.29 MFlops
     94x94 :     4712.53 MFlops
     95x95 :     5157.14 MFlops
     96x96 :     8192.00 MFlops
