From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.33 MFlops
      2 :       64.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :      250.00 MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :     4096.00 MFlops
      9 :     1458.00 MFlops
     10 :     8000.00 MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :     4394.00 MFlops
     14 :    21952.00 MFlops
     15 :    27000.00 MFlops
     16 :    16384.00 MFlops
     17 :    39304.00 MFlops
     18 :    46656.00 MFlops
     19 :    27436.00 MFlops
     20 :    64000.00 MFlops
     21 :     5292.00 MFlops
     22 :    17036.80 MFlops
     23 :    16222.67 MFlops
     24 :    15798.86 MFlops
     25 :    10416.67 MFlops
     26 :    28121.60 MFlops
     27 :    22494.86 MFlops
     28 :    21952.00 MFlops
     29 :    27873.14 MFlops
     30 :    30857.14 MFlops
     31 :    26480.89 MFlops
     32 :    29127.11 MFlops
     33 :    17968.50 MFlops
     34 :    31443.20 MFlops
     35 :    28583.33 MFlops
     36 :    33931.64 MFlops
     37 :    33768.67 MFlops
     38 :    33767.38 MFlops
     39 :    33896.57 MFlops
     40 :    39384.62 MFlops
     41 :     1006.15 MFlops
     42 :    39513.60 MFlops
     43 :    39753.50 MFlops
     44 :    42592.00 MFlops
     45 :    36450.00 MFlops
     46 :    45805.18 MFlops
     47 :    37753.82 MFlops
     48 :    49152.00 MFlops
     49 :    47059.60 MFlops
     50 :    40000.00 MFlops
     51 :    48236.73 MFlops
     52 :    51130.18 MFlops
     53 :    51783.30 MFlops
     54 :    54770.09 MFlops
     55 :    49296.30 MFlops
     56 :    22300.44 MFlops
     57 :    54872.00 MFlops
     58 :    55746.29 MFlops
     59 :    54767.73 MFlops
     60 :    57600.00 MFlops
     61 :    58575.74 MFlops
     62 :    61504.00 MFlops
     63 :    57153.60 MFlops
     64 :    42799.02 MFlops
     65 :    59378.38 MFlops
     66 :    65713.37 MFlops
     67 :    42966.14 MFlops
     68 :    44918.86 MFlops
     69 :    44543.59 MFlops
     70 :    48140.35 MFlops
     71 :    46182.06 MFlops
     72 :    48950.56 MFlops
     73 :    42632.00 MFlops
     74 :    30582.94 MFlops
     75 :    28125.00 MFlops
     76 :    25822.12 MFlops
     77 :    48696.85 MFlops
     78 :    50618.88 MFlops
     79 :    45336.92 MFlops
     80 :    48761.90 MFlops
     81 :    50017.98 MFlops
     82 :    36454.08 MFlops
     83 :    48662.72 MFlops
     84 :    52684.80 MFlops
     85 :    53989.01 MFlops
     86 :    54714.49 MFlops
     87 :    51145.86 MFlops
     88 :    53448.78 MFlops
     89 :    53711.92 MFlops
     90 :    56076.92 MFlops
     91 :    52882.18 MFlops
     92 :    56121.66 MFlops
     93 :    56945.63 MFlops
     94 :    58286.60 MFlops
     95 :    55764.23 MFlops
     96 :    58015.48 MFlops
     97 :    57947.49 MFlops
     98 :    60236.29 MFlops
     99 :    61121.20 MFlops
    100 :    19093.08 MFlops
    101 :    58456.79 MFlops
    102 :    59786.37 MFlops
    103 :    60707.06 MFlops
    104 :    62492.44 MFlops
    105 :    49524.06 MFlops
    106 :    61870.96 MFlops
    107 :    62027.49 MFlops
    108 :    64189.15 MFlops
    109 :    64751.45 MFlops
    110 :    66136.65 MFlops
    111 :    57889.14 MFlops
    112 :    59467.85 MFlops
    113 :    60120.71 MFlops
    114 :    61411.15 MFlops
    115 :    59935.96 MFlops
    116 :    50760.85 MFlops
    117 :     1565.99 MFlops
    118 :    31596.77 MFlops
    119 :     1845.99 MFlops
    120 :    60631.58 MFlops
    121 :    14476.49 MFlops
    122 :     2971.32 MFlops
    123 :    60516.00 MFlops
    124 :    64358.62 MFlops
    125 :    65104.17 MFlops
    126 :    25894.83 MFlops
    127 :    58735.00 MFlops
    128 :    58867.42 MFlops
    129 :    59838.02 MFlops
    130 :    61454.55 MFlops
    131 :    62446.97 MFlops
    132 :    63447.39 MFlops
    133 :    64455.81 MFlops
    134 :    58685.46 MFlops
    135 :    59108.11 MFlops
    136 :    60431.38 MFlops
    137 :    72688.42 MFlops
    138 :    73770.44 MFlops
    139 :    71142.23 MFlops
    140 :    72688.74 MFlops
    141 :    73527.11 MFlops
    142 :    74613.37 MFlops
    143 :    75707.62 MFlops
    144 :    77558.03 MFlops
    145 :    65916.22 MFlops
    146 :    68211.20 MFlops
    147 :    69054.85 MFlops
    148 :    70473.74 MFlops
    149 :    11745.94 MFlops
    150 :    69408.74 MFlops
    151 :    17476.91 MFlops
    152 :    73738.75 MFlops
    153 :    74229.58 MFlops
    154 :    66254.22 MFlops
