From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.62 MFlops
      2 :       64.00 MFlops
      3 :       72.00 MFlops
      4 :      256.00 MFlops
      5 :     1000.00 MFlops
      6 :     1728.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     5832.00 MFlops
     10 :     1333.33 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     5858.67 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    10922.67 MFlops
     17 :     5614.86 MFlops
     18 :    11664.00 MFlops
     19 :     7838.86 MFlops
     20 :    21333.33 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    16222.67 MFlops
     24 :    22118.40 MFlops
     25 :    20833.33 MFlops
     26 :    35152.00 MFlops
     27 :    19683.00 MFlops
     28 :    35123.20 MFlops
     29 :    27873.14 MFlops
     30 :    36000.00 MFlops
     31 :    34046.86 MFlops
     32 :    37449.14 MFlops
     33 :    20535.43 MFlops
     34 :    22459.43 MFlops
     35 :    26384.62 MFlops
     36 :    37324.80 MFlops
     37 :    28944.57 MFlops
     38 :    39906.91 MFlops
     39 :    39546.00 MFlops
     40 :    51200.00 MFlops
     41 :    45947.33 MFlops
     42 :    45592.62 MFlops
     43 :    45432.57 MFlops
     44 :    37859.56 MFlops
     45 :    45562.50 MFlops
     46 :    70789.82 MFlops
     47 :    48857.88 MFlops
     48 :    98304.00 MFlops
     49 :    40921.39 MFlops
     50 :    58823.53 MFlops
     51 :    66325.50 MFlops
     52 :    38788.41 MFlops
     53 :    54137.09 MFlops
     54 :    74100.71 MFlops
     55 :    63380.95 MFlops
     56 :    78051.56 MFlops
     57 :    59261.76 MFlops
     58 :    65037.33 MFlops
     59 :    71436.17 MFlops
     60 :    75130.43 MFlops
     61 :    78949.91 MFlops
     62 :    48887.79 MFlops
     63 :    64528.26 MFlops
     64 :    87381.33 MFlops
     65 :    68656.25 MFlops
     66 :    74192.52 MFlops
     67 :    66836.22 MFlops
     68 :    81143.74 MFlops
     69 :    79638.55 MFlops
     70 :    78400.00 MFlops
     71 :    75349.68 MFlops
     72 :    78578.53 MFlops
     73 :    54598.88 MFlops
     74 :    81044.80 MFlops
     75 :    82317.07 MFlops
     76 :    90046.36 MFlops
     77 :    81161.42 MFlops
     78 :    77477.88 MFlops
     79 :    80496.16 MFlops
     80 :    99902.44 MFlops
     81 :    77300.51 MFlops
     82 :    74761.76 MFlops
     83 :    74988.46 MFlops
     84 :    89464.75 MFlops
     85 :    80540.98 MFlops
     86 :    61306.60 MFlops
     87 :    84968.13 MFlops
     88 :    93996.14 MFlops
     89 :    88121.12 MFlops
     90 :    79890.41 MFlops
     91 :    87370.55 MFlops
     92 :    90282.67 MFlops
     93 :    83569.56 MFlops
     94 :    94923.89 MFlops
     95 :    89077.92 MFlops
     96 :   108890.58 MFlops
     97 :    85898.64 MFlops
     98 :    85562.91 MFlops
     99 :    89222.90 MFlops
    100 :    98765.43 MFlops
    101 :    89591.39 MFlops
    102 :    71341.71 MFlops
    103 :    95019.74 MFlops
    104 :   104638.51 MFlops
    105 :    96468.75 MFlops
    106 :    93413.02 MFlops
    107 :   100003.51 MFlops
    108 :   106081.01 MFlops
    109 :   104648.81 MFlops
    110 :   102384.62 MFlops
    111 :   102252.79 MFlops
    112 :   115870.35 MFlops
    113 :    97001.48 MFlops
    114 :    96360.59 MFlops
    115 :   100553.72 MFlops
    116 :   106727.93 MFlops
    117 :   106774.20 MFlops
    118 :   105154.05 MFlops
    119 :    67071.00 MFlops
    120 :   114247.93 MFlops
    121 :   111594.39 MFlops
    122 :   108408.84 MFlops
    123 :   111931.85 MFlops
    124 :   116435.05 MFlops
    125 :   114051.09 MFlops
    126 :   114307.20 MFlops
