From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.29 MFlops
      2 :       32.00 MFlops
      3 :       54.00 MFlops
      4 :         inf MFlops
      5 :       83.33 MFlops
      6 :      432.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :      571.43 MFlops
     11 :     2662.00 MFlops
     12 :     6912.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     8192.00 MFlops
     17 :     6550.67 MFlops
     18 :     7776.00 MFlops
     19 :     9145.33 MFlops
     20 :    10666.67 MFlops
     21 :     9261.00 MFlops
     22 :    14197.33 MFlops
     23 :     8111.33 MFlops
     24 :    18432.00 MFlops
     25 :    15625.00 MFlops
     26 :    23434.67 MFlops
     27 :    19683.00 MFlops
     28 :    29269.33 MFlops
     29 :    19511.20 MFlops
     30 :    36000.00 MFlops
     31 :    23832.80 MFlops
     32 :    32768.00 MFlops
     33 :    20535.43 MFlops
     34 :    31443.20 MFlops
     35 :    34300.00 MFlops
     36 :    37324.80 MFlops
     37 :    33768.67 MFlops
     38 :    43897.60 MFlops
     39 :    39546.00 MFlops
     40 :    21333.33 MFlops
     41 :    21206.46 MFlops
     42 :    29635.20 MFlops
     43 :    35336.44 MFlops
     44 :    30976.00 MFlops
     45 :    40500.00 MFlops
     46 :    43260.44 MFlops
     47 :    41529.20 MFlops
     48 :    55296.00 MFlops
     49 :    42781.45 MFlops
     50 :    41666.67 MFlops
     51 :    27926.53 MFlops
     52 :    46869.33 MFlops
     53 :    45808.31 MFlops
     54 :    44989.71 MFlops
     55 :    51192.31 MFlops
     56 :    50176.00 MFlops
     57 :    67342.91 MFlops
     58 :    48778.00 MFlops
     59 :    51344.75 MFlops
     60 :    54000.00 MFlops
     61 :    53407.29 MFlops
     62 :    73331.69 MFlops
     63 :    37044.00 MFlops
     64 :    69905.07 MFlops
     65 :    54925.00 MFlops
     66 :    54761.14 MFlops
     67 :    75190.75 MFlops
     68 :    54683.83 MFlops
     69 :    62573.14 MFlops
     70 :    62363.64 MFlops
     71 :    68173.52 MFlops
     72 :    67863.27 MFlops
     73 :    77803.40 MFlops
     74 :    64835.84 MFlops
     75 :    67500.00 MFlops
     76 :    79813.82 MFlops
     77 :    45653.30 MFlops
     78 :    75928.32 MFlops
     79 :    70434.14 MFlops
     80 :    97523.81 MFlops
     81 :    68573.03 MFlops
     82 :    76050.76 MFlops
     83 :    69307.52 MFlops
     84 :    74088.00 MFlops
     85 :    79241.94 MFlops
     86 :    72692.11 MFlops
     87 :    84968.13 MFlops
     88 :    82602.67 MFlops
     89 :    80567.89 MFlops
     90 :    56076.92 MFlops
     91 :    81467.14 MFlops
     92 :    94386.42 MFlops
     93 :    80435.70 MFlops
     94 :    79103.24 MFlops
     95 :    77943.18 MFlops
     96 :    98304.00 MFlops
     97 :    82970.27 MFlops
     98 :    89637.33 MFlops
     99 :    90260.37 MFlops
    100 :    95238.10 MFlops
    101 :    84106.20 MFlops
    102 :    86629.22 MFlops
    103 :    95019.74 MFlops
    104 :    97814.26 MFlops
    105 :    96468.75 MFlops
    106 :    64379.24 MFlops
    107 :    96081.80 MFlops
    108 :   104976.00 MFlops
    109 :    99617.62 MFlops
    110 :    91793.10 MFlops
    111 :    94319.38 MFlops
    112 :   104068.74 MFlops
    113 :    94616.20 MFlops
    114 :    92596.50 MFlops
    115 :    92174.24 MFlops
    116 :   100702.97 MFlops
    117 :   101689.71 MFlops
    118 :    96648.94 MFlops
    119 :   100606.51 MFlops
    120 :   101647.06 MFlops
    121 :    99806.25 MFlops
    122 :   100880.44 MFlops
    123 :    73697.70 MFlops
    124 :   101686.61 MFlops
    125 :   105574.32 MFlops
    126 :   103915.64 MFlops
    127 :   105045.28 MFlops
    128 :   118149.41 MFlops
    129 :   101020.66 MFlops
    130 :    99863.64 MFlops
    131 :   105792.52 MFlops
    132 :   109522.29 MFlops
    133 :   102288.57 MFlops
    134 :   100254.33 MFlops
    135 :   110578.65 MFlops
    136 :   116997.95 MFlops
    137 :   110595.83 MFlops
    138 :   107268.24 MFlops
    139 :   111900.79 MFlops
    140 :   115536.84 MFlops
    141 :   109930.24 MFlops
    142 :   107038.80 MFlops
    143 :   112469.50 MFlops
    144 :   124416.00 MFlops
    145 :    69286.93 MFlops
    146 :   101207.67 MFlops
    147 :   111456.95 MFlops
    148 :   118964.84 MFlops
    149 :   110264.97 MFlops
    150 :   112500.00 MFlops
    151 :   114765.03 MFlops
    152 :   122149.84 MFlops
    153 :   117428.75 MFlops
    154 :   113248.50 MFlops
    155 :   117287.40 MFlops
    156 :   124472.66 MFlops
    157 :   119073.63 MFlops
    158 :   117740.66 MFlops
    159 :   121808.45 MFlops
    160 :   112219.18 MFlops
    161 :    98775.88 MFlops
    162 :    97177.78 MFlops
    163 :   104355.35 MFlops
    164 :   107584.00 MFlops
    165 :   108900.00 MFlops
    166 :   105156.23 MFlops
    167 :   111556.00 MFlops
    168 :    99823.83 MFlops
    169 :    77539.10 MFlops
    170 :    87732.14 MFlops
    171 :    93461.89 MFlops
    172 :    97386.56 MFlops
    173 :   100538.19 MFlops
    174 :    98930.03 MFlops
    175 :   107726.13 MFlops
    176 :   112407.75 MFlops
    177 :    98145.72 MFlops
    178 :    99378.89 MFlops
    179 :    88576.66 MFlops
    180 :   107502.30 MFlops
    181 :   107813.47 MFlops
    182 :    97234.97 MFlops
    183 :   101297.31 MFlops
    184 :   112751.20 MFlops
    185 :   116176.61 MFlops
    186 :    98997.78 MFlops
    187 :   108986.72 MFlops
    188 :   113100.80 MFlops
    189 :   120022.56 MFlops
    190 :   111983.67 MFlops
    191 :   122781.87 MFlops
    192 :   119964.20 MFlops
    193 :   112769.52 MFlops
    194 :   110209.57 MFlops
    195 :   122055.56 MFlops
    196 :   125492.27 MFlops
    197 :    89945.56 MFlops
    198 :   108186.65 MFlops
    199 :    86838.56 MFlops
    200 :   108843.54 MFlops
