From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.67 MFlops  0.000006000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :       64.00 MFlops  0.000001000 sec
      5 :      100.00 MFlops  0.000001000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :      256.00 MFlops  0.000001000 sec
      9 :      324.00 MFlops  0.000001000 sec
     10 :      400.00 MFlops  0.000001000 sec
     11 :      484.00 MFlops  0.000001000 sec
     12 :      576.00 MFlops  0.000001000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :      900.00 MFlops  0.000001000 sec
     16 :     1024.00 MFlops  0.000001000 sec
     17 :      578.00 MFlops  0.000002000 sec
     18 :     1296.00 MFlops  0.000001000 sec
     19 :     1444.00 MFlops  0.000001000 sec
     20 :     1600.00 MFlops  0.000001000 sec
     21 :     1764.00 MFlops  0.000001000 sec
     22 :     1936.00 MFlops  0.000001000 sec
     23 :     2116.00 MFlops  0.000001000 sec
     24 :     2304.00 MFlops  0.000001000 sec
     25 :     2500.00 MFlops  0.000001000 sec
     26 :     2704.00 MFlops  0.000001000 sec
     27 :     1458.00 MFlops  0.000002000 sec
     28 :     1568.00 MFlops  0.000002000 sec
     29 :     3364.00 MFlops  0.000001000 sec
     30 :     1800.00 MFlops  0.000002000 sec
     31 :     1922.00 MFlops  0.000002000 sec
     32 :     2048.00 MFlops  0.000002000 sec
     33 :     2178.00 MFlops  0.000002000 sec
     34 :     2312.00 MFlops  0.000002000 sec
     35 :     2450.00 MFlops  0.000002000 sec
     36 :     5184.00 MFlops  0.000001000 sec
     37 :     2738.00 MFlops  0.000002000 sec
     38 :     2888.00 MFlops  0.000002000 sec
     39 :     2028.00 MFlops  0.000003000 sec
     40 :     2133.33 MFlops  0.000003000 sec
     41 :     3362.00 MFlops  0.000002000 sec
     42 :     3528.00 MFlops  0.000002000 sec
     43 :     2465.33 MFlops  0.000003000 sec
     44 :     2581.33 MFlops  0.000003000 sec
     45 :     2700.00 MFlops  0.000003000 sec
     46 :     2821.33 MFlops  0.000003000 sec
     47 :     2945.33 MFlops  0.000003000 sec
     48 :     3072.00 MFlops  0.000003000 sec
     49 :     3201.33 MFlops  0.000003000 sec
     50 :     3333.33 MFlops  0.000003000 sec
     51 :     3468.00 MFlops  0.000003000 sec
     52 :     3605.33 MFlops  0.000003000 sec
     53 :     3745.33 MFlops  0.000003000 sec
     54 :     3888.00 MFlops  0.000003000 sec
     55 :     4033.33 MFlops  0.000003000 sec
     56 :     4181.33 MFlops  0.000003000 sec
     57 :     4332.00 MFlops  0.000003000 sec
     58 :     3364.00 MFlops  0.000004000 sec
     59 :     3481.00 MFlops  0.000004000 sec
     60 :     3600.00 MFlops  0.000004000 sec
     61 :     4961.33 MFlops  0.000003000 sec
     62 :     5125.33 MFlops  0.000003000 sec
     63 :     3969.00 MFlops  0.000004000 sec
     64 :     5461.33 MFlops  0.000003000 sec
     65 :     5633.33 MFlops  0.000003000 sec
     66 :     5808.00 MFlops  0.000003000 sec
     67 :     4489.00 MFlops  0.000004000 sec
     68 :     6165.33 MFlops  0.000003000 sec
     69 :     4761.00 MFlops  0.000004000 sec
     70 :     4900.00 MFlops  0.000004000 sec
     71 :     5041.00 MFlops  0.000004000 sec
     72 :     5184.00 MFlops  0.000004000 sec
     73 :     7105.33 MFlops  0.000003000 sec
     74 :     5476.00 MFlops  0.000004000 sec
     75 :     5625.00 MFlops  0.000004000 sec
     76 :     5776.00 MFlops  0.000004000 sec
     77 :     4743.20 MFlops  0.000005000 sec
     78 :     4867.20 MFlops  0.000005000 sec
     79 :     4992.80 MFlops  0.000005000 sec
     80 :     6400.00 MFlops  0.000004000 sec
     81 :     5248.80 MFlops  0.000005000 sec
     82 :     6724.00 MFlops  0.000004000 sec
     83 :     5511.20 MFlops  0.000005000 sec
     84 :     4704.00 MFlops  0.000006000 sec
     85 :     7225.00 MFlops  0.000004000 sec
     86 :     5916.80 MFlops  0.000005000 sec
     87 :     6055.20 MFlops  0.000005000 sec
     88 :     6195.20 MFlops  0.000005000 sec
     89 :     7921.00 MFlops  0.000004000 sec
     90 :     6480.00 MFlops  0.000005000 sec
     91 :     6624.80 MFlops  0.000005000 sec
     92 :     6771.20 MFlops  0.000005000 sec
     93 :     6919.20 MFlops  0.000005000 sec
     94 :     7068.80 MFlops  0.000005000 sec
     95 :     7220.00 MFlops  0.000005000 sec
     96 :     7372.80 MFlops  0.000005000 sec
     97 :     7527.20 MFlops  0.000005000 sec
     98 :     7683.20 MFlops  0.000005000 sec
     99 :     7840.80 MFlops  0.000005000 sec
    100 :     8000.00 MFlops  0.000005000 sec
    101 :     8160.80 MFlops  0.000005000 sec
    102 :     8323.20 MFlops  0.000005000 sec
    103 :     7072.67 MFlops  0.000006000 sec
    104 :     8652.80 MFlops  0.000005000 sec
    105 :     8820.00 MFlops  0.000005000 sec
    106 :     8988.80 MFlops  0.000005000 sec
    107 :     2289.80 MFlops  0.000020000 sec
    108 :        0.18 MFlops  0.260447000 sec
    109 :     5940.50 MFlops  0.000008000 sec
    110 :      338.46 MFlops  0.000143000 sec
    111 :      864.63 MFlops  0.000057000 sec
    112 :     8362.67 MFlops  0.000006000 sec
    113 :     1160.82 MFlops  0.000044000 sec
    114 :      468.32 MFlops  0.000111000 sec
    115 :    10580.00 MFlops  0.000005000 sec
    116 :     8970.67 MFlops  0.000006000 sec
    117 :    10951.20 MFlops  0.000005000 sec
    118 :    11139.20 MFlops  0.000005000 sec
    119 :    11328.80 MFlops  0.000005000 sec
    120 :    11520.00 MFlops  0.000005000 sec
    121 :     9760.67 MFlops  0.000006000 sec
    122 :     9922.67 MFlops  0.000006000 sec
    123 :    10086.00 MFlops  0.000006000 sec
    124 :     8786.29 MFlops  0.000007000 sec
    125 :     8928.57 MFlops  0.000007000 sec
    126 :    10584.00 MFlops  0.000006000 sec
    127 :    10752.67 MFlops  0.000006000 sec
    128 :    10922.67 MFlops  0.000006000 sec
    129 :      887.52 MFlops  0.000075000 sec
    130 :    16900.00 MFlops  0.000004000 sec
    131 :    13728.80 MFlops  0.000005000 sec
    132 :    13939.20 MFlops  0.000005000 sec
    133 :    14151.20 MFlops  0.000005000 sec
    134 :    17956.00 MFlops  0.000004000 sec
    135 :    12150.00 MFlops  0.000006000 sec
    136 :    14796.80 MFlops  0.000005000 sec
    137 :     3575.05 MFlops  0.000021000 sec
    138 :    15235.20 MFlops  0.000005000 sec
    139 :    15456.80 MFlops  0.000005000 sec
    140 :    15680.00 MFlops  0.000005000 sec
    141 :    13254.00 MFlops  0.000006000 sec
    142 :    16131.20 MFlops  0.000005000 sec
    143 :    16359.20 MFlops  0.000005000 sec
    144 :    16588.80 MFlops  0.000005000 sec
    145 :    14016.67 MFlops  0.000006000 sec
    146 :    14210.67 MFlops  0.000006000 sec
    147 :    14406.00 MFlops  0.000006000 sec
    148 :    17523.20 MFlops  0.000005000 sec
    149 :    17760.80 MFlops  0.000005000 sec
    150 :    15000.00 MFlops  0.000006000 sec
    151 :    15200.67 MFlops  0.000006000 sec
    152 :    15402.67 MFlops  0.000006000 sec
    153 :    15606.00 MFlops  0.000006000 sec
    154 :    15810.67 MFlops  0.000006000 sec
    155 :    16016.67 MFlops  0.000006000 sec
    156 :    16224.00 MFlops  0.000006000 sec
    157 :    14085.14 MFlops  0.000007000 sec
    158 :    16642.67 MFlops  0.000006000 sec
    159 :    16854.00 MFlops  0.000006000 sec
    160 :    17066.67 MFlops  0.000006000 sec
    161 :    17280.67 MFlops  0.000006000 sec
    162 :    17496.00 MFlops  0.000006000 sec
    163 :    17712.67 MFlops  0.000006000 sec
    164 :     9780.36 MFlops  0.000011000 sec
    165 :    15557.14 MFlops  0.000007000 sec
    166 :       91.85 MFlops  0.001200000 sec
    167 :    13944.50 MFlops  0.000008000 sec
    168 :    16128.00 MFlops  0.000007000 sec
    169 :    14280.50 MFlops  0.000008000 sec
    170 :    16514.29 MFlops  0.000007000 sec
    171 :       45.55 MFlops  0.002568000 sec
    172 :       53.09 MFlops  0.002229000 sec
    173 :    17102.29 MFlops  0.000007000 sec
    174 :    17300.57 MFlops  0.000007000 sec
    175 :    17500.00 MFlops  0.000007000 sec
    176 :    17700.57 MFlops  0.000007000 sec
    177 :    17902.29 MFlops  0.000007000 sec
    178 :    15842.00 MFlops  0.000008000 sec
    179 :    18309.14 MFlops  0.000007000 sec
    180 :    16200.00 MFlops  0.000008000 sec
    181 :       79.37 MFlops  0.001651000 sec
    182 :    12045.09 MFlops  0.000011000 sec
    183 :    14884.00 MFlops  0.000009000 sec
    184 :    16928.00 MFlops  0.000008000 sec
    185 :     2320.34 MFlops  0.000059000 sec
    186 :     7283.37 MFlops  0.000019000 sec
    187 :    15541.78 MFlops  0.000009000 sec
    188 :    15708.44 MFlops  0.000009000 sec
    189 :    14288.40 MFlops  0.000010000 sec
    190 :    16044.44 MFlops  0.000009000 sec
    191 :    14592.40 MFlops  0.000010000 sec
    192 :    14745.60 MFlops  0.000010000 sec
    193 :    16555.11 MFlops  0.000009000 sec
    194 :    16727.11 MFlops  0.000009000 sec
    195 :    15210.00 MFlops  0.000010000 sec
    196 :    15366.40 MFlops  0.000010000 sec
    197 :    10349.07 MFlops  0.000015000 sec
    198 :     1059.57 MFlops  0.000148000 sec
    199 :      131.78 MFlops  0.001202000 sec
    200 :      277.30 MFlops  0.000577000 sec
