From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.02 MFlops    0.000228 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :      500.00 MFlops    0.000001 sec
      6 :         inf MFlops    0.000000 sec
      7 :     1372.00 MFlops    0.000001 sec
      8 :     2048.00 MFlops    0.000001 sec
      9 :     2916.00 MFlops    0.000001 sec
     10 :     4000.00 MFlops    0.000001 sec
     11 :     5324.00 MFlops    0.000001 sec
     12 :     6912.00 MFlops    0.000001 sec
     13 :     4394.00 MFlops    0.000002 sec
     14 :     3658.67 MFlops    0.000003 sec
     15 :     4500.00 MFlops    0.000003 sec
     16 :     4096.00 MFlops    0.000004 sec
     17 :     4913.00 MFlops    0.000004 sec
     18 :     5832.00 MFlops    0.000004 sec
     19 :     4572.67 MFlops    0.000006 sec
     20 :     5333.33 MFlops    0.000006 sec
     21 :     6174.00 MFlops    0.000006 sec
     22 :     6084.57 MFlops    0.000007 sec
     23 :     1474.79 MFlops    0.000033 sec
     24 :    13824.00 MFlops    0.000004 sec
     25 :    15625.00 MFlops    0.000004 sec
     26 :    17576.00 MFlops    0.000004 sec
     27 :    19683.00 MFlops    0.000004 sec
     28 :    21952.00 MFlops    0.000004 sec
     29 :    19511.20 MFlops    0.000005 sec
     30 :    21600.00 MFlops    0.000005 sec
     31 :    29791.00 MFlops    0.000004 sec
     32 :    26214.40 MFlops    0.000005 sec
     33 :    14374.80 MFlops    0.000010 sec
     34 :    26202.67 MFlops    0.000006 sec
     35 :    28583.33 MFlops    0.000006 sec
     36 :    31104.00 MFlops    0.000006 sec
     37 :    33768.67 MFlops    0.000006 sec
     38 :    12911.06 MFlops    0.000017 sec
     39 :    29659.50 MFlops    0.000008 sec
     40 :    36571.43 MFlops    0.000007 sec
     41 :    30631.56 MFlops    0.000009 sec
     42 :    37044.00 MFlops    0.000008 sec
     43 :    35336.44 MFlops    0.000009 sec
     44 :    37859.56 MFlops    0.000009 sec
     45 :    40500.00 MFlops    0.000009 sec
     46 :    43260.44 MFlops    0.000009 sec
     47 :    27686.13 MFlops    0.000015 sec
     48 :    40215.27 MFlops    0.000011 sec
     49 :    36199.69 MFlops    0.000013 sec
     50 :    41666.67 MFlops    0.000012 sec
     51 :    40815.69 MFlops    0.000013 sec
     52 :    43264.00 MFlops    0.000013 sec
     53 :    39700.53 MFlops    0.000015 sec
     54 :      397.89 MFlops    0.001583 sec
     55 :    39147.06 MFlops    0.000017 sec
     56 :    33450.67 MFlops    0.000021 sec
     57 :    43574.82 MFlops    0.000017 sec
     58 :    45908.71 MFlops    0.000017 sec
     59 :    51344.75 MFlops    0.000016 sec
     60 :    50823.53 MFlops    0.000017 sec
     61 :    50440.22 MFlops    0.000018 sec
     62 :    52961.78 MFlops    0.000018 sec
     63 :    55566.00 MFlops    0.000018 sec
     64 :    58254.22 MFlops    0.000018 sec
     65 :    40685.19 MFlops    0.000027 sec
     66 :    49999.30 MFlops    0.000023 sec
     67 :    50127.17 MFlops    0.000024 sec
     68 :    52405.33 MFlops    0.000024 sec
     69 :    54751.50 MFlops    0.000024 sec
     70 :    54880.00 MFlops    0.000025 sec
     71 :    57265.76 MFlops    0.000025 sec
     72 :    45242.18 MFlops    0.000033 sec
     73 :    51868.93 MFlops    0.000030 sec
     74 :    55892.97 MFlops    0.000029 sec
     75 :    54435.48 MFlops    0.000031 sec
     76 :    54872.00 MFlops    0.000032 sec
     77 :    58907.48 MFlops    0.000031 sec
     78 :    54234.51 MFlops    0.000035 sec
     79 :    58004.59 MFlops    0.000034 sec
     80 :    52512.82 MFlops    0.000039 sec
     81 :    54506.77 MFlops    0.000039 sec
     82 :     1575.34 MFlops    0.001400 sec
     83 :     2697.11 MFlops    0.000848 sec
     84 :    51539.48 MFlops    0.000046 sec
     85 :    51177.08 MFlops    0.000048 sec
     86 :    45432.57 MFlops    0.000056 sec
     87 :    53755.35 MFlops    0.000049 sec
     88 :    55630.37 MFlops    0.000049 sec
     89 :    56397.52 MFlops    0.000050 sec
     90 :    55018.87 MFlops    0.000053 sec
     91 :    55820.07 MFlops    0.000054 sec
     92 :    52792.41 MFlops    0.000059 sec
     93 :    54532.68 MFlops    0.000059 sec
     94 :    55372.27 MFlops    0.000060 sec
     95 :    60166.67 MFlops    0.000057 sec
     96 :    63195.43 MFlops    0.000056 sec
     97 :    57947.49 MFlops    0.000063 sec
     98 :    61717.51 MFlops    0.000061 sec
