From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :         inf MFlops  0.000000000 sec
      2 :       16.00 MFlops  0.000001000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :         inf MFlops  0.000000000 sec
     18 :         inf MFlops  0.000000000 sec
     19 :     1444.00 MFlops  0.000001000 sec
     20 :         inf MFlops  0.000000000 sec
     21 :         inf MFlops  0.000000000 sec
     22 :     1936.00 MFlops  0.000001000 sec
     23 :         inf MFlops  0.000000000 sec
     24 :         inf MFlops  0.000000000 sec
     25 :     2500.00 MFlops  0.000001000 sec
     26 :         inf MFlops  0.000000000 sec
     27 :     2916.00 MFlops  0.000001000 sec
     28 :         inf MFlops  0.000000000 sec
     29 :         inf MFlops  0.000000000 sec
     30 :         inf MFlops  0.000000000 sec
     31 :         inf MFlops  0.000000000 sec
     32 :         inf MFlops  0.000000000 sec
     33 :         inf MFlops  0.000000000 sec
     34 :         inf MFlops  0.000000000 sec
     35 :         inf MFlops  0.000000000 sec
     36 :     5184.00 MFlops  0.000001000 sec
     37 :     5476.00 MFlops  0.000001000 sec
     38 :         inf MFlops  0.000000000 sec
     39 :     6084.00 MFlops  0.000001000 sec
     40 :     6400.00 MFlops  0.000001000 sec
     41 :         inf MFlops  0.000000000 sec
     42 :     7056.00 MFlops  0.000001000 sec
     43 :     7396.00 MFlops  0.000001000 sec
     44 :         inf MFlops  0.000000000 sec
     45 :     8100.00 MFlops  0.000001000 sec
     46 :         inf MFlops  0.000000000 sec
     47 :     8836.00 MFlops  0.000001000 sec
     48 :     9216.00 MFlops  0.000001000 sec
     49 :     9604.00 MFlops  0.000001000 sec
     50 :         inf MFlops  0.000000000 sec
     51 :    10404.00 MFlops  0.000001000 sec
     52 :         inf MFlops  0.000000000 sec
     53 :    11236.00 MFlops  0.000001000 sec
     54 :    11664.00 MFlops  0.000001000 sec
     55 :    12100.00 MFlops  0.000001000 sec
     56 :    12544.00 MFlops  0.000001000 sec
     57 :    12996.00 MFlops  0.000001000 sec
     58 :    13456.00 MFlops  0.000001000 sec
     59 :    13924.00 MFlops  0.000001000 sec
     60 :    14400.00 MFlops  0.000001000 sec
     61 :    14884.00 MFlops  0.000001000 sec
     62 :    15376.00 MFlops  0.000001000 sec
     63 :    15876.00 MFlops  0.000001000 sec
     64 :    16384.00 MFlops  0.000001000 sec
     65 :    16900.00 MFlops  0.000001000 sec
     66 :     8712.00 MFlops  0.000002000 sec
     67 :    17956.00 MFlops  0.000001000 sec
     68 :    18496.00 MFlops  0.000001000 sec
     69 :    19044.00 MFlops  0.000001000 sec
     70 :     9800.00 MFlops  0.000002000 sec
     71 :    10082.00 MFlops  0.000002000 sec
     72 :    10368.00 MFlops  0.000002000 sec
     73 :    21316.00 MFlops  0.000001000 sec
     74 :    10952.00 MFlops  0.000002000 sec
     75 :    11250.00 MFlops  0.000002000 sec
     76 :    11552.00 MFlops  0.000002000 sec
     77 :    11858.00 MFlops  0.000002000 sec
     78 :    12168.00 MFlops  0.000002000 sec
     79 :    12482.00 MFlops  0.000002000 sec
     80 :    12800.00 MFlops  0.000002000 sec
     81 :     8748.00 MFlops  0.000003000 sec
     82 :    13448.00 MFlops  0.000002000 sec
     83 :    13778.00 MFlops  0.000002000 sec
     84 :    14112.00 MFlops  0.000002000 sec
     85 :    14450.00 MFlops  0.000002000 sec
     86 :    14792.00 MFlops  0.000002000 sec
     87 :    10092.00 MFlops  0.000003000 sec
     88 :    15488.00 MFlops  0.000002000 sec
     89 :    10561.33 MFlops  0.000003000 sec
     90 :    10800.00 MFlops  0.000003000 sec
     91 :    16562.00 MFlops  0.000002000 sec
     92 :    11285.33 MFlops  0.000003000 sec
     93 :    17298.00 MFlops  0.000002000 sec
     94 :    17672.00 MFlops  0.000002000 sec
     95 :    18050.00 MFlops  0.000002000 sec
     96 :    12288.00 MFlops  0.000003000 sec
     97 :      588.06 MFlops  0.000064000 sec
     98 :     5488.00 MFlops  0.000007000 sec
     99 :     6534.00 MFlops  0.000006000 sec
    100 :     5714.29 MFlops  0.000007000 sec
    101 :     5829.14 MFlops  0.000007000 sec
    102 :     5945.14 MFlops  0.000007000 sec
    103 :     6062.29 MFlops  0.000007000 sec
    104 :     5408.00 MFlops  0.000008000 sec
    105 :     6300.00 MFlops  0.000007000 sec
    106 :     5618.00 MFlops  0.000008000 sec
    107 :     5724.50 MFlops  0.000008000 sec
    108 :     6665.14 MFlops  0.000007000 sec
    109 :     5940.50 MFlops  0.000008000 sec
    110 :     6914.29 MFlops  0.000007000 sec
    111 :     7040.57 MFlops  0.000007000 sec
    112 :     6272.00 MFlops  0.000008000 sec
    113 :     7296.57 MFlops  0.000007000 sec
    114 :     6498.00 MFlops  0.000008000 sec
    115 :     6612.50 MFlops  0.000008000 sec
    116 :     7689.14 MFlops  0.000007000 sec
    117 :     4563.00 MFlops  0.000012000 sec
    118 :     6188.44 MFlops  0.000009000 sec
    119 :     7080.50 MFlops  0.000008000 sec
    120 :      176.69 MFlops  0.000326000 sec
    121 :     4183.14 MFlops  0.000014000 sec
    122 :     5412.36 MFlops  0.000011000 sec
    123 :     5043.00 MFlops  0.000012000 sec
    124 :    15376.00 MFlops  0.000004000 sec
    125 :    15625.00 MFlops  0.000004000 sec
    126 :    15876.00 MFlops  0.000004000 sec
    127 :    21505.33 MFlops  0.000003000 sec
    128 :     7281.78 MFlops  0.000009000 sec
    129 :     8320.50 MFlops  0.000008000 sec
    130 :     9657.14 MFlops  0.000007000 sec
    131 :     7627.11 MFlops  0.000009000 sec
    132 :     8712.00 MFlops  0.000008000 sec
    133 :    10108.00 MFlops  0.000007000 sec
    134 :     7980.44 MFlops  0.000009000 sec
    135 :    10414.29 MFlops  0.000007000 sec
    136 :     7398.40 MFlops  0.000010000 sec
    137 :     9384.50 MFlops  0.000008000 sec
    138 :     8464.00 MFlops  0.000009000 sec
    139 :     8587.11 MFlops  0.000009000 sec
    140 :     8711.11 MFlops  0.000009000 sec
    141 :     8836.00 MFlops  0.000009000 sec
    142 :     8961.78 MFlops  0.000009000 sec
    143 :     8179.60 MFlops  0.000010000 sec
    144 :     9216.00 MFlops  0.000009000 sec
    145 :     8410.00 MFlops  0.000010000 sec
    146 :     8526.40 MFlops  0.000010000 sec
    147 :     8643.60 MFlops  0.000010000 sec
    148 :     9735.11 MFlops  0.000009000 sec
    149 :     8880.40 MFlops  0.000010000 sec
    150 :     9000.00 MFlops  0.000010000 sec
    151 :    11400.50 MFlops  0.000008000 sec
    152 :     3850.67 MFlops  0.000024000 sec
    153 :     9363.60 MFlops  0.000010000 sec
    154 :     9486.40 MFlops  0.000010000 sec
    155 :    10677.78 MFlops  0.000009000 sec
    156 :     8849.45 MFlops  0.000011000 sec
    157 :     9859.60 MFlops  0.000010000 sec
    158 :     9985.60 MFlops  0.000010000 sec
    159 :    10112.40 MFlops  0.000010000 sec
    160 :    10240.00 MFlops  0.000010000 sec
    161 :      337.73 MFlops  0.000307000 sec
    162 :    10497.60 MFlops  0.000010000 sec
    163 :       72.54 MFlops  0.001465000 sec
    164 :    10758.40 MFlops  0.000010000 sec
    165 :    15557.14 MFlops  0.000007000 sec
    166 :    15746.29 MFlops  0.000007000 sec
    167 :     7437.07 MFlops  0.000015000 sec
    168 :    16128.00 MFlops  0.000007000 sec
    169 :    14280.50 MFlops  0.000008000 sec
    170 :    16514.29 MFlops  0.000007000 sec
    171 :    14620.50 MFlops  0.000008000 sec
    172 :    14792.00 MFlops  0.000008000 sec
    173 :    14964.50 MFlops  0.000008000 sec
    174 :    15138.00 MFlops  0.000008000 sec
    175 :    17500.00 MFlops  0.000007000 sec
    176 :    15488.00 MFlops  0.000008000 sec
    177 :    15664.50 MFlops  0.000008000 sec
    178 :    15842.00 MFlops  0.000008000 sec
    179 :      631.35 MFlops  0.000203000 sec
    180 :    14400.00 MFlops  0.000009000 sec
    181 :    16380.50 MFlops  0.000008000 sec
    182 :     9464.00 MFlops  0.000014000 sec
    183 :    14884.00 MFlops  0.000009000 sec
    184 :    15047.11 MFlops  0.000009000 sec
    185 :    10530.77 MFlops  0.000013000 sec
    186 :    11532.00 MFlops  0.000012000 sec
    187 :    11656.33 MFlops  0.000012000 sec
    188 :    10098.29 MFlops  0.000014000 sec
    189 :    11907.00 MFlops  0.000012000 sec
    190 :    11107.69 MFlops  0.000013000 sec
    191 :    12160.33 MFlops  0.000012000 sec
    192 :    12288.00 MFlops  0.000012000 sec
    193 :    11461.23 MFlops  0.000013000 sec
    194 :    13685.82 MFlops  0.000011000 sec
    195 :    11700.00 MFlops  0.000013000 sec
    196 :    12805.33 MFlops  0.000012000 sec
    197 :    11941.23 MFlops  0.000013000 sec
    198 :    14256.00 MFlops  0.000011000 sec
    199 :    12184.92 MFlops  0.000013000 sec
    200 :     8000.00 MFlops  0.000020000 sec
