From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.02 MFlops
      2 :       32.00 MFlops
      3 :        1.42 MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :      432.00 MFlops
      7 :      686.00 MFlops
      8 :     1024.00 MFlops
      9 :     2916.00 MFlops
     10 :     2000.00 MFlops
     11 :     1774.67 MFlops
     12 :     2304.00 MFlops
     13 :     2929.33 MFlops
     14 :     2744.00 MFlops
     15 :     2700.00 MFlops
     16 :     4096.00 MFlops
     17 :     3275.33 MFlops
     18 :     3888.00 MFlops
     19 :     3429.50 MFlops
     20 :     4000.00 MFlops
     21 :     4116.00 MFlops
     22 :     4259.20 MFlops
     23 :     1569.94 MFlops
     24 :    13824.00 MFlops
     25 :    12500.00 MFlops
     26 :    17576.00 MFlops
     27 :    15746.40 MFlops
     28 :    17561.60 MFlops
     29 :    19511.20 MFlops
     30 :    21600.00 MFlops
     31 :    19860.67 MFlops
     32 :    21845.33 MFlops
     33 :    13068.00 MFlops
     34 :    19652.00 MFlops
     35 :    21437.50 MFlops
     36 :    26660.57 MFlops
     37 :    25326.50 MFlops
     38 :    24387.56 MFlops
     39 :    23727.60 MFlops
     40 :    28444.44 MFlops
     41 :    27568.40 MFlops
     42 :    29635.20 MFlops
     43 :    28911.64 MFlops
     44 :    30976.00 MFlops
     45 :    33136.36 MFlops
     46 :    24334.00 MFlops
     47 :    34607.67 MFlops
     48 :    34028.31 MFlops
     49 :    33614.00 MFlops
     50 :    31250.00 MFlops
     51 :    35373.60 MFlops
     52 :    33084.24 MFlops
     53 :    33083.78 MFlops
     54 :    37050.35 MFlops
     55 :    11883.93 MFlops
     56 :    30541.91 MFlops
     57 :    35274.86 MFlops
     58 :    37164.19 MFlops
     59 :    39119.81 MFlops
     60 :    43200.00 MFlops
     61 :    43234.48 MFlops
     62 :    45395.81 MFlops
     63 :    45463.09 MFlops
     64 :    47662.55 MFlops
     65 :    36616.67 MFlops
     66 :    41070.86 MFlops
     67 :    42966.14 MFlops
     68 :    43369.93 MFlops
     69 :    43801.20 MFlops
     70 :    45733.33 MFlops
     71 :    46182.06 MFlops
     72 :    41472.00 MFlops
     73 :    47153.58 MFlops
     74 :    47673.41 MFlops
     75 :    18960.67 MFlops
     76 :    48775.11 MFlops
     77 :    49354.92 MFlops
     78 :    29659.50 MFlops
     79 :    44821.73 MFlops
     80 :    51200.00 MFlops
     81 :    47239.20 MFlops
     82 :    45009.63 MFlops
     83 :    48662.72 MFlops
     84 :    30395.08 MFlops
     85 :    42353.45 MFlops
     86 :    45432.57 MFlops
     87 :    47891.13 MFlops
     88 :    49561.60 MFlops
     89 :    48618.55 MFlops
     90 :    48600.00 MFlops
     91 :    45670.97 MFlops
     92 :    48668.00 MFlops
     93 :    51894.00 MFlops
     94 :    50338.42 MFlops
     95 :    52761.54 MFlops
     96 :    54445.29 MFlops
     97 :    51418.20 MFlops
     98 :    54561.86 MFlops
     99 :    50405.14 MFlops
    100 :    50632.91 MFlops
    101 :    52167.14 MFlops
    102 :    49358.51 MFlops
    103 :    52661.54 MFlops
    104 :    55548.84 MFlops
    105 :    54476.47 MFlops
    106 :    54759.36 MFlops
    107 :    51580.76 MFlops
    108 :    54181.16 MFlops
    109 :    54527.54 MFlops
    110 :    54886.60 MFlops
    111 :    53632.59 MFlops
    112 :    57935.18 MFlops
    113 :    56034.83 MFlops
    114 :    58099.76 MFlops
    115 :    48281.75 MFlops
    116 :    44597.03 MFlops
    117 :    58240.47 MFlops
    118 :    59208.36 MFlops
    119 :    54801.92 MFlops
    120 :    61714.29 MFlops
    121 :    29649.56 MFlops
    122 :    61554.17 MFlops
    123 :    61516.26 MFlops
    124 :    64088.20 MFlops
    125 :    64036.89 MFlops
    126 :    65586.10 MFlops
    127 :    65028.03 MFlops
    128 :    66576.25 MFlops
    129 :    61333.97 MFlops
    130 :    61887.32 MFlops
    131 :    57643.36 MFlops
    132 :    60525.47 MFlops
    133 :    59560.43 MFlops
    134 :    61302.01 MFlops
    135 :    61127.33 MFlops
    136 :    61728.98 MFlops
    137 :    60860.43 MFlops
    138 :    62573.14 MFlops
    139 :    61385.58 MFlops
    140 :    63445.09 MFlops
    141 :    62641.81 MFlops
    142 :    63277.08 MFlops
    143 :    63569.72 MFlops
    144 :    64912.70 MFlops
    145 :    61588.38 MFlops
    146 :    58170.77 MFlops
    147 :    63530.46 MFlops
    148 :    65490.75 MFlops
    149 :    63614.40 MFlops
    150 :    65217.39 MFlops
