From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        2.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :      500.00 MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     2000.00 MFlops
     11 :     2662.00 MFlops
     12 :     2304.00 MFlops
     13 :     4394.00 MFlops
     14 :     3658.67 MFlops
     15 :     3375.00 MFlops
     16 :     4096.00 MFlops
     17 :     3930.40 MFlops
     18 :     4665.60 MFlops
     19 :     4572.67 MFlops
     20 :     4571.43 MFlops
     21 :     4630.50 MFlops
     22 :     4732.44 MFlops
     23 :     5407.56 MFlops
     24 :     5529.60 MFlops
     25 :     5681.82 MFlops
     26 :     5858.67 MFlops
     27 :     5623.71 MFlops
     28 :     6272.00 MFlops
     29 :     6097.25 MFlops
     30 :     6000.00 MFlops
     31 :     6271.79 MFlops
     32 :     6898.53 MFlops
     33 :     6845.14 MFlops
     34 :     6835.48 MFlops
     35 :     7145.83 MFlops
     36 :     7177.85 MFlops
     37 :     7236.14 MFlops
     38 :     5487.20 MFlops
     39 :     7414.87 MFlops
     40 :     7314.29 MFlops
     41 :     7657.89 MFlops
     42 :     7598.77 MFlops
     43 :     7756.78 MFlops
     44 :     7924.09 MFlops
     45 :     7755.32 MFlops
     46 :     8111.33 MFlops
     47 :     8142.98 MFlops
     48 :     8192.00 MFlops
     49 :     8256.07 MFlops
     50 :     8196.72 MFlops
     51 :     8290.69 MFlops
     52 :     8271.06 MFlops
     53 :     8270.94 MFlops
     54 :     7972.86 MFlops
     55 :     8318.75 MFlops
     56 :     8264.28 MFlops
     57 :     8230.80 MFlops
     58 :     8302.64 MFlops
     59 :     8298.14 MFlops
     60 :     8388.35 MFlops
     61 :     8406.70 MFlops
     62 :     8362.39 MFlops
     63 :     8404.94 MFlops
     64 :     8456.26 MFlops
     65 :     8858.87 MFlops
     66 :    10454.40 MFlops
     67 :    11139.37 MFlops
     68 :    11229.71 MFlops
     69 :    11231.08 MFlops
     70 :    11930.43 MFlops
     71 :    12236.27 MFlops
     72 :    12138.15 MFlops
     73 :    12349.75 MFlops
     74 :    12565.09 MFlops
     75 :    12687.97 MFlops
     76 :    12723.94 MFlops
     77 :    13043.80 MFlops
     78 :    13001.42 MFlops
     79 :    12403.50 MFlops
     80 :    13473.68 MFlops
     81 :    13203.50 MFlops
     82 :    13206.42 MFlops
     83 :    13453.81 MFlops
     84 :    13625.38 MFlops
     85 :    13800.56 MFlops
     86 :    13533.11 MFlops
     87 :    13863.22 MFlops
     88 :    14123.77 MFlops
     89 :    14029.23 MFlops
     90 :    13819.91 MFlops
     91 :    14285.71 MFlops
     92 :    14420.15 MFlops
     93 :    14299.68 MFlops
     94 :    14258.95 MFlops
     95 :    13828.63 MFlops
     96 :    14932.25 MFlops
     97 :    14661.41 MFlops
     98 :    14100.25 MFlops
     99 :    14590.96 MFlops
    100 :    14545.45 MFlops
    101 :    14511.28 MFlops
    102 :    14587.05 MFlops
    103 :    14766.58 MFlops
    104 :    14800.84 MFlops
    105 :    14607.26 MFlops
    106 :    14934.37 MFlops
    107 :    14985.24 MFlops
    108 :    14996.57 MFlops
    109 :    15102.38 MFlops
    110 :    15039.55 MFlops
    111 :    15111.94 MFlops
    112 :    14446.56 MFlops
    113 :    15108.87 MFlops
    114 :    14815.44 MFlops
    115 :    14910.54 MFlops
    116 :    15154.33 MFlops
    117 :    15253.46 MFlops
    118 :    15319.65 MFlops
    119 :    15389.58 MFlops
    120 :    15157.89 MFlops
    121 :    15305.06 MFlops
    122 :    15227.24 MFlops
    123 :    15442.88 MFlops
    124 :    15532.58 MFlops
    125 :    15470.30 MFlops
    126 :    15357.97 MFlops
    127 :    15343.69 MFlops
    128 :    15709.00 MFlops
    129 :    17559.83 MFlops
    130 :    19837.47 MFlops
    131 :    20162.25 MFlops
    132 :    19827.31 MFlops
    133 :    20592.01 MFlops
    134 :    20877.26 MFlops
    135 :    20718.95 MFlops
    136 :    21005.90 MFlops
    137 :    21562.71 MFlops
    138 :    21541.57 MFlops
    139 :    21356.81 MFlops
    140 :    21691.70 MFlops
    141 :    22116.14 MFlops
    142 :    22239.13 MFlops
    143 :    22279.67 MFlops
    144 :    22578.33 MFlops
    145 :    22582.41 MFlops
    146 :    22510.93 MFlops
    147 :    22291.39 MFlops
    148 :    22630.31 MFlops
    149 :    21550.16 MFlops
    150 :    22998.30 MFlops
    151 :    23223.95 MFlops
    152 :    23451.14 MFlops
    153 :    23601.83 MFlops
    154 :    23639.25 MFlops
