From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops   0.000000 sec
      2x2 :         inf MFlops   0.000000 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :      128.00 MFlops   0.000001 sec
      5x5 :         inf MFlops   0.000000 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :         inf MFlops   0.000000 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :         inf MFlops   0.000000 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :         inf MFlops   0.000000 sec
     17x17 :         inf MFlops   0.000000 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :         inf MFlops   0.000000 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :         inf MFlops   0.000000 sec
     22x22 :         inf MFlops   0.000000 sec
     23x23 :     4232.00 MFlops   0.000001 sec
     24x24 :         inf MFlops   0.000000 sec
     25x25 :         inf MFlops   0.000000 sec
     26x26 :     5408.00 MFlops   0.000001 sec
     27x27 :         inf MFlops   0.000000 sec
     28x28 :         inf MFlops   0.000000 sec
     29x29 :     6728.00 MFlops   0.000001 sec
     30x30 :         inf MFlops   0.000000 sec
     31x31 :     7688.00 MFlops   0.000001 sec
     32x32 :         inf MFlops   0.000000 sec
     33x33 :     8712.00 MFlops   0.000001 sec
     34x34 :         inf MFlops   0.000000 sec
     35x35 :         inf MFlops   0.000000 sec
     36x36 :         inf MFlops   0.000000 sec
     37x37 :         inf MFlops   0.000000 sec
     38x38 :         inf MFlops   0.000000 sec
     39x39 :    12168.00 MFlops   0.000001 sec
     40x40 :    12800.00 MFlops   0.000001 sec
     41x41 :    13448.00 MFlops   0.000001 sec
     42x42 :    14112.00 MFlops   0.000001 sec
     43x43 :    14792.00 MFlops   0.000001 sec
     44x44 :    15488.00 MFlops   0.000001 sec
     45x45 :    16200.00 MFlops   0.000001 sec
     46x46 :         inf MFlops   0.000000 sec
     47x47 :    17672.00 MFlops   0.000001 sec
     48x48 :    18432.00 MFlops   0.000001 sec
     49x49 :    19208.00 MFlops   0.000001 sec
     50x50 :    20000.00 MFlops   0.000001 sec
     51x51 :    20808.00 MFlops   0.000001 sec
     52x52 :    21632.00 MFlops   0.000001 sec
     53x53 :    11236.00 MFlops   0.000002 sec
     54x54 :    11664.00 MFlops   0.000002 sec
     55x55 :    24200.00 MFlops   0.000001 sec
     56x56 :    25088.00 MFlops   0.000001 sec
     57x57 :    12996.00 MFlops   0.000002 sec
     58x58 :    13456.00 MFlops   0.000002 sec
     59x59 :    13924.00 MFlops   0.000002 sec
     60x60 :    28800.00 MFlops   0.000001 sec
     61x61 :    29768.00 MFlops   0.000001 sec
     62x62 :    15376.00 MFlops   0.000002 sec
     63x63 :    31752.00 MFlops   0.000001 sec
     64x64 :     8192.00 MFlops   0.000004 sec
     65x65 :     6760.00 MFlops   0.000005 sec
     66x66 :     8712.00 MFlops   0.000004 sec
     67x67 :     8978.00 MFlops   0.000004 sec
     68x68 :    12330.67 MFlops   0.000003 sec
     69x69 :     9522.00 MFlops   0.000004 sec
     70x70 :     9800.00 MFlops   0.000004 sec
     71x71 :    10082.00 MFlops   0.000004 sec
     72x72 :    10368.00 MFlops   0.000004 sec
     73x73 :    10658.00 MFlops   0.000004 sec
     74x74 :     8761.60 MFlops   0.000005 sec
     75x75 :    11250.00 MFlops   0.000004 sec
     76x76 :    11552.00 MFlops   0.000004 sec
     77x77 :     9486.40 MFlops   0.000005 sec
     78x78 :    12168.00 MFlops   0.000004 sec
     79x79 :     9985.60 MFlops   0.000005 sec
     80x80 :    10240.00 MFlops   0.000005 sec
     81x81 :    10497.60 MFlops   0.000005 sec
     82x82 :    10758.40 MFlops   0.000005 sec
     83x83 :    11022.40 MFlops   0.000005 sec
     84x84 :    14112.00 MFlops   0.000004 sec
     85x85 :    11560.00 MFlops   0.000005 sec
     86x86 :    11833.60 MFlops   0.000005 sec
     87x87 :    12110.40 MFlops   0.000005 sec
     88x88 :    10325.33 MFlops   0.000006 sec
     89x89 :    12673.60 MFlops   0.000005 sec
     90x90 :    10800.00 MFlops   0.000006 sec
     91x91 :    13249.60 MFlops   0.000005 sec
     92x92 :    11285.33 MFlops   0.000006 sec
     93x93 :    11532.00 MFlops   0.000006 sec
     94x94 :    14137.60 MFlops   0.000005 sec
     95x95 :    14440.00 MFlops   0.000005 sec
     96x96 :    24576.00 MFlops   0.000003 sec
     97x97 :    12545.33 MFlops   0.000006 sec
     98x98 :    12805.33 MFlops   0.000006 sec
     99x99 :    13068.00 MFlops   0.000006 sec
    100x100 :     3809.52 MFlops   0.000021 sec
    101x101 :    13601.33 MFlops   0.000006 sec
    102x102 :    13872.00 MFlops   0.000006 sec
    103x103 :    14145.33 MFlops   0.000006 sec
    104x104 :    14421.33 MFlops   0.000006 sec
    105x105 :    14700.00 MFlops   0.000006 sec
    106x106 :    17977.60 MFlops   0.000005 sec
    107x107 :      142.44 MFlops   0.000643 sec
    108x108 :    11664.00 MFlops   0.000008 sec
    109x109 :    15841.33 MFlops   0.000006 sec
    110x110 :    13828.57 MFlops   0.000007 sec
    111x111 :    14081.14 MFlops   0.000007 sec
    112x112 :    16725.33 MFlops   0.000006 sec
    113x113 :    12769.00 MFlops   0.000008 sec
    114x114 :    14852.57 MFlops   0.000007 sec
    115x115 :    15114.29 MFlops   0.000007 sec
    116x116 :    15378.29 MFlops   0.000007 sec
    117x117 :     3220.94 MFlops   0.000034 sec
    118x118 :    15913.14 MFlops   0.000007 sec
    119x119 :    14161.00 MFlops   0.000008 sec
    120x120 :    14400.00 MFlops   0.000008 sec
    121x121 :    11712.80 MFlops   0.000010 sec
    122x122 :    14884.00 MFlops   0.000008 sec
    123x123 :     2575.15 MFlops   0.000047 sec
    124x124 :    13667.56 MFlops   0.000009 sec
    125x125 :    17857.14 MFlops   0.000007 sec
    126x126 :    21168.00 MFlops   0.000006 sec
    127x127 :    21505.33 MFlops   0.000006 sec
    128x128 :    21845.33 MFlops   0.000006 sec
    129x129 :    14792.00 MFlops   0.000009 sec
