From :   1  To : 200 Step =   1 Uplo = 'L' k = 1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :       24.00 MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :      240.00 MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :      312.00 MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :      408.00 MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :      552.00 MFlops
     24x24 :         inf MFlops
     25x25 :      600.00 MFlops
     26x26 :         inf MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :         inf MFlops
     31x31 :         inf MFlops
     32x32 :         inf MFlops
     33x33 :      792.00 MFlops
     34x34 :         inf MFlops
     35x35 :         inf MFlops
     36x36 :         inf MFlops
     37x37 :         inf MFlops
     38x38 :         inf MFlops
     39x39 :         inf MFlops
     40x40 :         inf MFlops
     41x41 :         inf MFlops
     42x42 :         inf MFlops
     43x43 :         inf MFlops
     44x44 :         inf MFlops
     45x45 :         inf MFlops
     46x46 :         inf MFlops
     47x47 :         inf MFlops
     48x48 :         inf MFlops
     49x49 :         inf MFlops
     50x50 :         inf MFlops
     51x51 :         inf MFlops
     52x52 :     1248.00 MFlops
     53x53 :     1272.00 MFlops
     54x54 :     1296.00 MFlops
     55x55 :         inf MFlops
     56x56 :         inf MFlops
     57x57 :         inf MFlops
     58x58 :     1392.00 MFlops
     59x59 :     1416.00 MFlops
     60x60 :         inf MFlops
     61x61 :         inf MFlops
     62x62 :     1488.00 MFlops
     63x63 :     1512.00 MFlops
     64x64 :         inf MFlops
     65x65 :     1560.00 MFlops
     66x66 :         inf MFlops
     67x67 :     1608.00 MFlops
     68x68 :     1632.00 MFlops
     69x69 :         inf MFlops
     70x70 :     1680.00 MFlops
     71x71 :     1704.00 MFlops
     72x72 :         inf MFlops
     73x73 :     1752.00 MFlops
     74x74 :         inf MFlops
     75x75 :         inf MFlops
     76x76 :         inf MFlops
     77x77 :         inf MFlops
     78x78 :     1872.00 MFlops
     79x79 :     1896.00 MFlops
     80x80 :         inf MFlops
     81x81 :     1944.00 MFlops
