From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        1.60 MFlops
      2 :         inf MFlops
      3 :       54.00 MFlops
      4 :      512.00 MFlops
      5 :      166.67 MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :     2048.00 MFlops
      9 :      224.31 MFlops
     10 :     4000.00 MFlops
     11 :     2129.60 MFlops
     12 :     4608.00 MFlops
     13 :     2929.33 MFlops
     14 :     7317.33 MFlops
     15 :     5400.00 MFlops
     16 :     5461.33 MFlops
     17 :     4913.00 MFlops
     18 :     6665.14 MFlops
     19 :     7838.86 MFlops
     20 :     8000.00 MFlops
     21 :     8232.00 MFlops
     22 :     9464.89 MFlops
     23 :    10815.11 MFlops
     24 :    11059.20 MFlops
     25 :    13888.89 MFlops
     26 :    14060.80 MFlops
     27 :    15746.40 MFlops
     28 :    17561.60 MFlops
     29 :    17737.45 MFlops
     30 :    19636.36 MFlops
     31 :    21666.18 MFlops
     32 :    32768.00 MFlops
     33 :    26136.00 MFlops
     34 :    28584.73 MFlops
     35 :    28583.33 MFlops
     36 :    33931.64 MFlops
     37 :    28944.57 MFlops
     38 :    31355.43 MFlops
     39 :    31636.80 MFlops
     40 :    30117.65 MFlops
     41 :    32433.41 MFlops
     42 :    34864.94 MFlops
     43 :    35336.44 MFlops
     44 :    37859.56 MFlops
     45 :    36450.00 MFlops
     46 :    38934.40 MFlops
     47 :    41529.20 MFlops
     48 :    44236.80 MFlops
     49 :    42781.45 MFlops
     50 :    47619.05 MFlops
     51 :    50533.71 MFlops
     52 :    51130.18 MFlops
     53 :    42536.29 MFlops
     54 :    43438.34 MFlops
     55 :    45896.55 MFlops
     56 :    50176.00 MFlops
     57 :    51087.72 MFlops
     58 :    52029.87 MFlops
     59 :    54767.73 MFlops
     60 :    42146.34 MFlops
     61 :    62615.45 MFlops
     62 :    65745.66 MFlops
     63 :    71442.00 MFlops
     64 :   110376.42 MFlops
     65 :    95521.74 MFlops
     66 :    99998.61 MFlops
     67 :    96244.16 MFlops
     68 :   104810.67 MFlops
     69 :    73002.00 MFlops
     70 :    78400.00 MFlops
     71 :    77386.16 MFlops
     72 :    76563.69 MFlops
     73 :    81898.32 MFlops
     74 :    75390.51 MFlops
     75 :    82317.07 MFlops
     76 :    83614.48 MFlops
     77 :    83006.00 MFlops
     78 :    49952.84 MFlops
     79 :    89643.45 MFlops
     80 :    87148.94 MFlops
     81 :    90458.04 MFlops
     82 :    93849.87 MFlops
     83 :    95297.83 MFlops
     84 :    96768.00 MFlops
     85 :    76765.62 MFlops
     86 :    70672.89 MFlops
     87 :    63470.17 MFlops
     88 :    83873.48 MFlops
     89 :    85450.79 MFlops
     90 :    88363.64 MFlops
     91 :    89978.63 MFlops
     92 :   111241.14 MFlops
     93 :   110945.79 MFlops
     94 :   114563.31 MFlops
     95 :   114316.67 MFlops
     96 :   117964.80 MFlops
     97 :   117764.26 MFlops
     98 :    95310.58 MFlops
     99 :    95832.00 MFlops
    100 :    96385.54 MFlops
    101 :    96969.51 MFlops
    102 :    97582.34 MFlops
    103 :    98222.65 MFlops
    104 :    98889.14 MFlops
    105 :    98521.28 MFlops
    106 :    99251.33 MFlops
    107 :    98003.44 MFlops
    108 :    14820.14 MFlops
    109 :   101570.90 MFlops
    110 :    62635.29 MFlops
    111 :   102252.79 MFlops
    112 :   104068.74 MFlops
    113 :    86143.10 MFlops
    114 :    88450.39 MFlops
    115 :    90125.93 MFlops
    116 :    91147.21 MFlops
    117 :    94212.53 MFlops
    118 :    90029.15 MFlops
    119 :    95611.86 MFlops
    120 :    90947.37 MFlops
    121 :    81921.90 MFlops
    122 :   103762.74 MFlops
    123 :   106335.26 MFlops
    124 :   108177.25 MFlops
    125 :   110815.60 MFlops
    126 :   112697.24 MFlops
    127 :   141267.79 MFlops
    128 :   152520.15 MFlops
    129 :   118438.01 MFlops
    130 :   148949.15 MFlops
    131 :   151132.17 MFlops
    132 :   153331.20 MFlops
    133 :   125473.97 MFlops
    134 :   124992.42 MFlops
    135 :   125369.43 MFlops
    136 :   127364.86 MFlops
    137 :   126980.40 MFlops
    138 :   126654.07 MFlops
    139 :   127886.62 MFlops
    140 :   124727.27 MFlops
    141 :   129628.72 MFlops
    142 :   127257.24 MFlops
    143 :   129964.76 MFlops
    144 :   132710.40 MFlops
    145 :   110859.09 MFlops
    146 :   111147.71 MFlops
    147 :   110970.24 MFlops
    148 :   114753.70 MFlops
    149 :   113092.27 MFlops
    150 :   114893.62 MFlops
    151 :   116710.20 MFlops
    152 :   117550.06 MFlops
    153 :   116474.05 MFlops
    154 :   120239.14 MFlops
    155 :   121595.92 MFlops
    156 :   122960.84 MFlops
    157 :   122368.16 MFlops
    158 :   137193.46 MFlops
    159 :    29475.19 MFlops
    160 :   151703.70 MFlops
    161 :   149045.75 MFlops
    162 :   126911.28 MFlops
    163 :   127844.93 MFlops
    164 :   128318.37 MFlops
    165 :   106322.49 MFlops
    166 :   124895.45 MFlops
    167 :    25468.01 MFlops
    168 :   121971.24 MFlops
    169 :   127021.29 MFlops
    170 :    73741.09 MFlops
    171 :   129455.30 MFlops
    172 :   131739.75 MFlops
    173 :   131497.57 MFlops
    174 :   132528.91 MFlops
    175 :   131923.08 MFlops
    176 :   132565.98 MFlops
    177 :   131248.12 MFlops
    178 :   116886.05 MFlops
    179 :   117950.42 MFlops
    180 :    71668.20 MFlops
    181 :   117711.98 MFlops
