From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        4.00 MFlops
      2 :         inf MFlops
      3 :       36.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :      400.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :     1600.00 MFlops
     21 :         inf MFlops
     22 :     1936.00 MFlops
     23 :         inf MFlops
     24 :     2304.00 MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :     2916.00 MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :     3600.00 MFlops
     31 :         inf MFlops
     32 :     4096.00 MFlops
     33 :     4356.00 MFlops
     34 :     4624.00 MFlops
     35 :     4900.00 MFlops
     36 :         inf MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :     6084.00 MFlops
     40 :         inf MFlops
     41 :         inf MFlops
     42 :     7056.00 MFlops
     43 :         inf MFlops
     44 :     7744.00 MFlops
     45 :         inf MFlops
     46 :     8464.00 MFlops
     47 :     8836.00 MFlops
     48 :     9216.00 MFlops
     49 :     9604.00 MFlops
     50 :    10000.00 MFlops
     51 :    10404.00 MFlops
     52 :    10816.00 MFlops
     53 :    11236.00 MFlops
     54 :    11664.00 MFlops
     55 :    12100.00 MFlops
     56 :    12544.00 MFlops
     57 :    12996.00 MFlops
     58 :    13456.00 MFlops
     59 :    13924.00 MFlops
     60 :    14400.00 MFlops
     61 :    14884.00 MFlops
     62 :     7688.00 MFlops
     63 :     7938.00 MFlops
     64 :    16384.00 MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :     8978.00 MFlops
     68 :    18496.00 MFlops
     69 :     9522.00 MFlops
     70 :     9800.00 MFlops
     71 :     6721.33 MFlops
     72 :    10368.00 MFlops
     73 :     7105.33 MFlops
     74 :     7301.33 MFlops
     75 :     7500.00 MFlops
     76 :    11552.00 MFlops
     77 :     7905.33 MFlops
     78 :     8112.00 MFlops
     79 :     8321.33 MFlops
