From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.21 MFlops
      2 :       16.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :      200.00 MFlops
      6 :         inf MFlops
      7 :      392.00 MFlops
      8 :         inf MFlops
      9 :      648.00 MFlops
     10 :      800.00 MFlops
     11 :         inf MFlops
     12 :     1152.00 MFlops
     13 :     1352.00 MFlops
     14 :     1568.00 MFlops
     15 :         inf MFlops
     16 :     2048.00 MFlops
     17 :     2312.00 MFlops
     18 :      235.64 MFlops
     19 :      962.67 MFlops
     20 :     3200.00 MFlops
     21 :     3528.00 MFlops
     22 :     3872.00 MFlops
     23 :     2116.00 MFlops
     24 :     4608.00 MFlops
     25 :     5000.00 MFlops
     26 :     5408.00 MFlops
     27 :     2916.00 MFlops
     28 :     6272.00 MFlops
     29 :     6728.00 MFlops
     30 :     3600.00 MFlops
     31 :     3844.00 MFlops
     32 :     8192.00 MFlops
     33 :     4356.00 MFlops
     34 :     4624.00 MFlops
     35 :     4900.00 MFlops
     36 :     5184.00 MFlops
     37 :     2738.00 MFlops
     38 :     5776.00 MFlops
     39 :     6084.00 MFlops
     40 :     4266.67 MFlops
     41 :     4482.67 MFlops
     42 :     4704.00 MFlops
     43 :     7396.00 MFlops
     44 :     7744.00 MFlops
     45 :     8100.00 MFlops
     46 :     5642.67 MFlops
     47 :     5890.67 MFlops
     48 :     6144.00 MFlops
     49 :     6402.67 MFlops
     50 :     6666.67 MFlops
     51 :     6936.00 MFlops
     52 :     7210.67 MFlops
     53 :      362.45 MFlops
     54 :     7776.00 MFlops
     55 :    24200.00 MFlops
     56 :    25088.00 MFlops
     57 :    25992.00 MFlops
     58 :    26912.00 MFlops
     59 :    13924.00 MFlops
     60 :    28800.00 MFlops
     61 :    14884.00 MFlops
     62 :    15376.00 MFlops
     63 :    15876.00 MFlops
     64 :    16384.00 MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :    17956.00 MFlops
     68 :     5284.57 MFlops
     69 :    12696.00 MFlops
     70 :     1225.00 MFlops
     71 :      184.99 MFlops
     72 :    13824.00 MFlops
     73 :     1776.33 MFlops
     74 :    14602.67 MFlops
     75 :    11250.00 MFlops
     76 :    11552.00 MFlops
     77 :    15810.67 MFlops
     78 :    12168.00 MFlops
     79 :    12482.00 MFlops
     80 :    12800.00 MFlops
     81 :    17496.00 MFlops
     82 :    17930.67 MFlops
     83 :    18370.67 MFlops
     84 :    18816.00 MFlops
     85 :    19266.67 MFlops
     86 :    14792.00 MFlops
     87 :    15138.00 MFlops
     88 :    15488.00 MFlops
     89 :    15842.00 MFlops
     90 :    16200.00 MFlops
     91 :    13249.60 MFlops
     92 :    13542.40 MFlops
     93 :    13838.40 MFlops
     94 :    14137.60 MFlops
     95 :    14440.00 MFlops
     96 :       99.36 MFlops
     97 :    12545.33 MFlops
     98 :    15366.40 MFlops
     99 :    13068.00 MFlops
    100 :    16000.00 MFlops
    101 :    16321.60 MFlops
    102 :    16646.40 MFlops
    103 :    14145.33 MFlops
    104 :    17305.60 MFlops
    105 :    22050.00 MFlops
    106 :    22472.00 MFlops
    107 :    22898.00 MFlops
    108 :    18662.40 MFlops
    109 :    19009.60 MFlops
    110 :    19360.00 MFlops
    111 :    19713.60 MFlops
    112 :    20070.40 MFlops
    113 :    25538.00 MFlops
    114 :    20793.60 MFlops
    115 :    21160.00 MFlops
    116 :    26912.00 MFlops
    117 :    27378.00 MFlops
    118 :    22278.40 MFlops
    119 :    18881.33 MFlops
    120 :    23040.00 MFlops
    121 :    23425.60 MFlops
    122 :    13230.22 MFlops
    123 :    24206.40 MFlops
    124 :    30752.00 MFlops
    125 :    20833.33 MFlops
    126 :    21168.00 MFlops
    127 :    21505.33 MFlops
    128 :    26214.40 MFlops
    129 :    22188.00 MFlops
    130 :      183.20 MFlops
    131 :    27457.60 MFlops
    132 :    17424.00 MFlops
    133 :    15723.56 MFlops
    134 :    17956.00 MFlops
    135 :    14580.00 MFlops
    136 :    16440.89 MFlops
    137 :    16683.56 MFlops
    138 :    19044.00 MFlops
    139 :    17174.22 MFlops
    140 :    15680.00 MFlops
    141 :    15904.80 MFlops
    142 :    16131.20 MFlops
    143 :    16359.20 MFlops
    144 :    18432.00 MFlops
    145 :    18688.89 MFlops
    146 :    17052.80 MFlops
    147 :    19208.00 MFlops
    148 :    17523.20 MFlops
    149 :    17760.80 MFlops
    150 :    20000.00 MFlops
    151 :    18240.80 MFlops
    152 :    18483.20 MFlops
    153 :    18727.20 MFlops
    154 :    31621.33 MFlops
    155 :    32033.33 MFlops
    156 :    32448.00 MFlops
    157 :    28170.29 MFlops
    158 :    28530.29 MFlops
    159 :    33708.00 MFlops
    160 :    25600.00 MFlops
    161 :    29624.00 MFlops
    162 :    34992.00 MFlops
    163 :    30364.57 MFlops
    164 :    35861.33 MFlops
    165 :    36300.00 MFlops
    166 :    24494.22 MFlops
    167 :    24790.22 MFlops
    168 :      316.24 MFlops
    169 :    25387.56 MFlops
    170 :    23120.00 MFlops
    171 :    23392.80 MFlops
    172 :    21515.64 MFlops
    173 :    19952.67 MFlops
