From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.14 MFlops
      2 :         inf MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :     4096.00 MFlops
      9 :     1944.00 MFlops
     10 :         inf MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :         inf MFlops
     14 :    21952.00 MFlops
     15 :    27000.00 MFlops
     16 :    16384.00 MFlops
     17 :     3275.33 MFlops
     18 :    15552.00 MFlops
     19 :    18290.67 MFlops
     20 :    16000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    19467.20 MFlops
     24 :    22118.40 MFlops
     25 :    20833.33 MFlops
     26 :    46869.33 MFlops
     27 :    31492.80 MFlops
     28 :    35123.20 MFlops
     29 :    32518.67 MFlops
     30 :    30857.14 MFlops
     31 :    26480.89 MFlops
     32 :    32768.00 MFlops
     33 :    35937.00 MFlops
     34 :    34936.89 MFlops
     35 :    38111.11 MFlops
     36 :    41472.00 MFlops
     37 :    40522.40 MFlops
     38 :    43897.60 MFlops
     39 :    43141.09 MFlops
     40 :    46545.45 MFlops
     41 :    50124.36 MFlops
     42 :    53882.18 MFlops
     43 :    53004.67 MFlops
     44 :    56789.33 MFlops
     45 :    60750.00 MFlops
     46 :    64890.67 MFlops
     47 :    69215.33 MFlops
     48 :    73728.00 MFlops
     49 :    58824.50 MFlops
     50 :    62500.00 MFlops
     51 :    66325.50 MFlops
     52 :    56243.20 MFlops
     53 :    70059.76 MFlops
     54 :    69984.00 MFlops
     55 :    73944.44 MFlops
     56 :    78051.56 MFlops
     57 :    82308.00 MFlops
     58 :    91817.41 MFlops
     59 :    91279.56 MFlops
     60 :    96000.00 MFlops
     61 :    90792.40 MFlops
     62 :    82896.70 MFlops
     63 :    11430.72 MFlops
     64 :    72315.59 MFlops
     65 :    95521.74 MFlops
     66 :    99998.61 MFlops
     67 :   100254.33 MFlops
     68 :   100618.24 MFlops
     69 :   101079.69 MFlops
     70 :    91466.67 MFlops
     71 :    47721.47 MFlops
     72 :    80702.27 MFlops
     73 :   107315.03 MFlops
     74 :    95346.82 MFlops
     75 :   112500.00 MFlops
     76 :   113284.13 MFlops
     77 :   114133.25 MFlops
     78 :   102605.84 MFlops
     79 :    80496.16 MFlops
     80 :    89043.48 MFlops
     81 :    80217.51 MFlops
     82 :    98020.98 MFlops
     83 :    99441.22 MFlops
     84 :   100885.79 MFlops
     85 :   104531.91 MFlops
     86 :   106009.33 MFlops
     87 :    77470.94 MFlops
     88 :   102863.70 MFlops
     89 :   112795.04 MFlops
     90 :   121500.00 MFlops
     91 :   123032.00 MFlops
     92 :   127132.73 MFlops
     93 :   126173.65 MFlops
     94 :   103823.00 MFlops
     95 :   105523.08 MFlops
     96 :   112347.43 MFlops
     97 :   112328.98 MFlops
     98 :   114083.88 MFlops
     99 :   115856.60 MFlops
    100 :   119402.99 MFlops
    101 :   121211.88 MFlops
    102 :   121280.91 MFlops
    103 :   118132.65 MFlops
    104 :   130419.01 MFlops
    105 :    87367.92 MFlops
    106 :   104704.70 MFlops
    107 :   107696.09 MFlops
    108 :   109540.17 MFlops
    109 :   111400.34 MFlops
    110 :   113276.60 MFlops
    111 :   115168.93 MFlops
    112 :   118309.73 MFlops
    113 :   120241.42 MFlops
    114 :   116199.53 MFlops
    115 :   102243.70 MFlops
    116 :   113519.71 MFlops
    117 :   115431.57 MFlops
    118 :   118416.72 MFlops
    119 :   118256.77 MFlops
    120 :   121263.16 MFlops
    121 :   124320.07 MFlops
    122 :   112610.73 MFlops
    123 :   103381.50 MFlops
    124 :   102369.07 MFlops
    125 :   105574.32 MFlops
    126 :   107402.74 MFlops
    127 :    61145.76 MFlops
    128 :   111848.11 MFlops
    129 :    69248.03 MFlops
    130 :   114129.87 MFlops
    131 :   116030.50 MFlops
    132 :   101097.49 MFlops
    133 :    59185.84 MFlops
    134 :    98711.96 MFlops
    135 :    90705.07 MFlops
    136 :    89837.71 MFlops
    137 :    94361.58 MFlops
    138 :    95566.25 MFlops
    139 :    97658.87 MFlops
    140 :    89600.00 MFlops
    141 :   104305.90 MFlops
    142 :    99592.63 MFlops
    143 :   100401.96 MFlops
    144 :   130534.82 MFlops
    145 :   131123.66 MFlops
    146 :     8346.33 MFlops
    147 :   127060.92 MFlops
    148 :   137218.71 MFlops
    149 :   111660.73 MFlops
    150 :   105058.37 MFlops
    151 :   107173.57 MFlops
    152 :   108893.27 MFlops
    153 :   111488.78 MFlops
    154 :   112811.24 MFlops
    155 :    81174.39 MFlops
    156 :    84599.80 MFlops
    157 :   110568.37 MFlops
    158 :   111499.99 MFlops
    159 :   120439.82 MFlops
    160 :   124593.16 MFlops
    161 :   125512.21 MFlops
    162 :   130816.25 MFlops
    163 :   118650.60 MFlops
    164 :   120847.78 MFlops
    165 :   120593.96 MFlops
    166 :   119589.44 MFlops
    167 :   120973.06 MFlops
    168 :   124370.68 MFlops
    169 :    83041.88 MFlops
    170 :   122825.00 MFlops
    171 :   129037.70 MFlops
    172 :   139888.60 MFlops
    173 :   134050.93 MFlops
    174 :   128097.85 MFlops
    175 :   124275.36 MFlops
    176 :   129419.01 MFlops
    177 :   126028.02 MFlops
    178 :   131539.41 MFlops
    179 :   132993.37 MFlops
    180 :   135234.78 MFlops
    181 :   135536.94 MFlops
    182 :   132861.00 MFlops
    183 :    34648.69 MFlops
    184 :    93853.17 MFlops
    185 :   129879.49 MFlops
    186 :   130989.44 MFlops
    187 :   132105.11 MFlops
    188 :   135952.37 MFlops
    189 :   145579.92 MFlops
    190 :   144781.00 MFlops
    191 :    41912.01 MFlops
    192 :   106836.05 MFlops
    193 :   135963.25 MFlops
    194 :   139405.90 MFlops
    195 :   139574.12 MFlops
    196 :   141732.44 MFlops
    197 :   126631.44 MFlops
    198 :   145091.44 MFlops
    199 :   134711.09 MFlops
    200 :   135881.10 MFlops
