From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.50 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :     6912.00 MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :    13500.00 MFlops
     16 :     3276.80 MFlops
     17 :    19652.00 MFlops
     18 :    23328.00 MFlops
     19 :    27436.00 MFlops
     20 :    32000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    24334.00 MFlops
     24 :    11059.20 MFlops
     25 :    31250.00 MFlops
     26 :    23434.67 MFlops
     27 :    39366.00 MFlops
     28 :    43904.00 MFlops
     29 :    32518.67 MFlops
     30 :    36000.00 MFlops
     31 :    29791.00 MFlops
     32 :    65536.00 MFlops
     33 :    47916.00 MFlops
     34 :    78608.00 MFlops
     35 :    57166.67 MFlops
     36 :    62208.00 MFlops
     37 :    50653.00 MFlops
     38 :    73162.67 MFlops
     39 :    59319.00 MFlops
     40 :      145.87 MFlops
     41 :    27568.40 MFlops
     42 :    26941.09 MFlops
     43 :    26502.33 MFlops
     44 :    28394.67 MFlops
     45 :    28038.46 MFlops
     46 :    27810.29 MFlops
     47 :    25955.75 MFlops
     48 :    26021.65 MFlops
     49 :    29412.25 MFlops
     50 :    29411.76 MFlops
     51 :    24118.36 MFlops
     52 :    31246.22 MFlops
     53 :    28357.52 MFlops
     54 :    28629.82 MFlops
     55 :    27729.17 MFlops
     56 :    70246.40 MFlops
     57 :    43574.82 MFlops
     58 :    65037.33 MFlops
     59 :    29339.86 MFlops
     60 :    78545.45 MFlops
     61 :    69840.31 MFlops
     62 :    73331.69 MFlops
     63 :    76937.54 MFlops
     64 :    29127.11 MFlops
     65 :    43940.00 MFlops
     66 :    49999.30 MFlops
     67 :    46271.23 MFlops
     68 :    48374.15 MFlops
     69 :    46929.86 MFlops
     70 :    37081.08 MFlops
     71 :    55063.23 MFlops
     72 :    45242.18 MFlops
     73 :    48627.12 MFlops
     74 :     8145.21 MFlops
     75 :    41158.54 MFlops
     76 :    45023.18 MFlops
     77 :    45653.30 MFlops
     78 :    45195.43 MFlops
     79 :    42872.96 MFlops
     80 :    62060.61 MFlops
     81 :    64417.09 MFlops
     82 :    61263.11 MFlops
     83 :    57178.70 MFlops
     84 :    56448.00 MFlops
     85 :    53402.17 MFlops
     86 :    54132.43 MFlops
     87 :    52680.24 MFlops
     88 :    64902.10 MFlops
     89 :    67139.90 MFlops
     90 :    66272.73 MFlops
     91 :    61516.00 MFlops
     92 :    63566.37 MFlops
     93 :    69944.09 MFlops
     94 :   100676.85 MFlops
     95 :    97985.71 MFlops
     96 :    86315.71 MFlops
     97 :    86921.24 MFlops
     98 :    99072.84 MFlops
     99 :   102136.74 MFlops
    100 :   102564.10 MFlops
    101 :   103030.10 MFlops
    102 :   103532.49 MFlops
    103 :   101649.02 MFlops
    104 :    97814.26 MFlops
    105 :    96468.75 MFlops
    106 :    95281.28 MFlops
    107 :    84485.72 MFlops
    108 :    86876.69 MFlops
    109 :    86335.27 MFlops
    110 :    88733.33 MFlops
    111 :    86833.71 MFlops
    112 :   114688.00 MFlops
    113 :   110992.08 MFlops
    114 :    84659.66 MFlops
    115 :    77993.59 MFlops
    116 :    61817.66 MFlops
    117 :    60438.23 MFlops
    118 :    60294.75 MFlops
    119 :    55707.74 MFlops
    120 :    69818.18 MFlops
    121 :    75385.57 MFlops
    122 :    74116.24 MFlops
    123 :    70890.17 MFlops
    124 :    72633.30 MFlops
    125 :    67934.78 MFlops
    126 :    68978.48 MFlops
    127 :    24169.71 MFlops
    128 :    86480.49 MFlops
    129 :    84183.88 MFlops
    130 :    82905.66 MFlops
    131 :    79578.44 MFlops
    132 :    81414.80 MFlops
    133 :    78421.23 MFlops
    134 :    17659.48 MFlops
    135 :    96485.29 MFlops
    136 :    89837.71 MFlops
    137 :     3748.33 MFlops
    138 :    57132.00 MFlops
    139 :    58067.44 MFlops
    140 :    97132.74 MFlops
    141 :    90426.48 MFlops
    142 :    45091.15 MFlops
    143 :    98292.67 MFlops
    144 :    48161.03 MFlops
    145 :    80758.28 MFlops
    146 :    79290.09 MFlops
    147 :    75631.50 MFlops
    148 :    77647.71 MFlops
    149 :    74755.91 MFlops
    150 :    73369.57 MFlops
    151 :    70988.68 MFlops
    152 :    86179.34 MFlops
    153 :    91835.31 MFlops
    154 :    92462.38 MFlops
    155 :    86101.16 MFlops
    156 :   110041.04 MFlops
    157 :     5042.21 MFlops
    158 :   108808.61 MFlops
    159 :    96279.74 MFlops
    160 :   111455.78 MFlops
    161 :   112791.38 MFlops
    162 :   112623.26 MFlops
    163 :    13304.91 MFlops
    164 :    17014.25 MFlops
    165 :    89842.50 MFlops
    166 :    37417.55 MFlops
    167 :     9105.50 MFlops
    168 :   125606.15 MFlops
    169 :   127862.49 MFlops
    170 :    20094.07 MFlops
    171 :    93900.68 MFlops
    172 :   100761.35 MFlops
    173 :    95883.65 MFlops
    174 :    94919.35 MFlops
    175 :    79398.15 MFlops
    176 :    97353.14 MFlops
    177 :    56012.45 MFlops
    178 :    98082.64 MFlops
    179 :   103807.04 MFlops
    180 :   122778.95 MFlops
    181 :    75538.10 MFlops
    182 :   118789.52 MFlops
    183 :   117855.52 MFlops
    184 :   120961.24 MFlops
    185 :   118903.76 MFlops
    186 :   132677.44 MFlops
    187 :    38185.13 MFlops
