From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        1.60 MFlops
      2 :         inf MFlops
      3 :       54.00 MFlops
      4 :      512.00 MFlops
      5 :       83.33 MFlops
      6 :      864.00 MFlops
      7 :      548.80 MFlops
      8 :     1365.33 MFlops
      9 :      364.50 MFlops
     10 :     2666.67 MFlops
     11 :     2662.00 MFlops
     12 :     3456.00 MFlops
     13 :     2929.33 MFlops
     14 :     5488.00 MFlops
     15 :     4500.00 MFlops
     16 :     5461.33 MFlops
     17 :     6550.67 MFlops
     18 :     7776.00 MFlops
     19 :     7838.86 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :    10815.11 MFlops
     24 :    12288.00 MFlops
     25 :    13888.89 MFlops
     26 :    17576.00 MFlops
     27 :    17496.00 MFlops
     28 :    19512.89 MFlops
     29 :    19511.20 MFlops
     30 :    21600.00 MFlops
     31 :    23832.80 MFlops
     32 :    29127.11 MFlops
     33 :    28749.60 MFlops
     34 :    28584.73 MFlops
     35 :    26384.62 MFlops
     36 :    26660.57 MFlops
     37 :    28944.57 MFlops
     38 :    31355.43 MFlops
     39 :    31636.80 MFlops
     40 :    32000.00 MFlops
     41 :    32433.41 MFlops
     42 :    34864.94 MFlops
     43 :    35336.44 MFlops
     44 :    37859.56 MFlops
     45 :    38368.42 MFlops
     46 :    40983.58 MFlops
     47 :    41529.20 MFlops
     48 :    40215.27 MFlops
     49 :    44818.67 MFlops
     50 :    47619.05 MFlops
     51 :    39304.00 MFlops
     52 :    40173.71 MFlops
     53 :    42536.29 MFlops
     54 :    44989.71 MFlops
     55 :    47535.71 MFlops
     56 :     8566.63 MFlops
     57 :    51087.72 MFlops
     58 :    53824.00 MFlops
     59 :    56656.28 MFlops
     60 :    61714.29 MFlops
     61 :    62615.45 MFlops
     62 :    70615.70 MFlops
     63 :    74088.00 MFlops
     64 :   104857.60 MFlops
     65 :    91541.67 MFlops
     66 :    99998.61 MFlops
     67 :    70767.76 MFlops
     68 :    71870.17 MFlops
     69 :    79638.55 MFlops
     70 :    83151.52 MFlops
     71 :    68173.52 MFlops
     72 :    78578.53 MFlops
     73 :    84111.78 MFlops
     74 :    83122.87 MFlops
     75 :    84375.00 MFlops
     76 :    85653.85 MFlops
     77 :    17474.95 MFlops
     78 :    88288.74 MFlops
     79 :    89643.45 MFlops
     80 :    44521.74 MFlops
     81 :    90458.04 MFlops
     82 :    19178.02 MFlops
     83 :    74988.46 MFlops
     84 :    77731.67 MFlops
     85 :    46790.48 MFlops
     86 :    75946.99 MFlops
     87 :    78627.22 MFlops
     88 :    83873.48 MFlops
     89 :    85450.79 MFlops
     90 :    85764.71 MFlops
     91 :    87370.55 MFlops
     92 :    90282.67 MFlops
     93 :    93258.78 MFlops
     94 :   112621.56 MFlops
     95 :   116254.24 MFlops
     96 :   122032.55 MFlops
     97 :    94823.17 MFlops
     98 :    56613.05 MFlops
     99 :    95832.00 MFlops
    100 :    97560.98 MFlops
    101 :    96969.51 MFlops
    102 :    69021.66 MFlops
    103 :    57892.82 MFlops
    104 :     9749.63 MFlops
    105 :    98521.28 MFlops
    106 :   100296.08 MFlops
    107 :   101034.47 MFlops
    108 :   101794.91 MFlops
    109 :   102576.55 MFlops
    110 :   103378.64 MFlops
    111 :   103217.43 MFlops
    112 :   104068.74 MFlops
    113 :   104937.96 MFlops
    114 :   107748.65 MFlops
    115 :    85083.92 MFlops
    116 :    92497.54 MFlops
    117 :    93524.85 MFlops
    118 :    68104.95 MFlops
    119 :    97690.38 MFlops
    120 :    99453.24 MFlops
    121 :   102699.19 MFlops
    122 :   106814.59 MFlops
    123 :   109462.76 MFlops
    124 :   110528.93 MFlops
    125 :   113224.64 MFlops
    126 :   115963.83 MFlops
    127 :   117892.55 MFlops
    128 :   156796.41 MFlops
    129 :   124445.74 MFlops
    130 :     1717.24 MFlops
    131 :     1972.01 MFlops
    132 :    14285.52 MFlops
    133 :    71836.24 MFlops
    134 :   124186.01 MFlops
    135 :   124575.95 MFlops
    136 :   125772.80 MFlops
    137 :   126980.40 MFlops
    138 :   128198.63 MFlops
    139 :   122073.59 MFlops
    140 :   127627.91 MFlops
    141 :   128883.72 MFlops
    142 :   129414.15 MFlops
    143 :   129246.72 MFlops
    144 :   130534.82 MFlops
    145 :   111365.30 MFlops
    146 :   112656.51 MFlops
    147 :   113955.98 MFlops
    148 :   115263.72 MFlops
    149 :   116068.39 MFlops
    150 :     3550.76 MFlops
    151 :    19872.73 MFlops
    152 :    49202.21 MFlops
    153 :   118890.52 MFlops
    154 :   123283.17 MFlops
    155 :   123103.31 MFlops
    156 :   148879.06 MFlops
    157 :    41611.75 MFlops
    158 :   126217.98 MFlops
    159 :   127608.86 MFlops
    160 :   154566.04 MFlops
    161 :   153853.68 MFlops
    162 :   155306.96 MFlops
    163 :   153982.12 MFlops
    164 :   130694.64 MFlops
    165 :   125653.85 MFlops
    166 :    75608.20 MFlops
    167 :   130278.69 MFlops
    168 :   130354.14 MFlops
    169 :   131790.01 MFlops
    170 :   131892.62 MFlops
    171 :   132895.97 MFlops
    172 :   131314.79 MFlops
    173 :   130667.94 MFlops
    174 :   127323.84 MFlops
    175 :   133566.98 MFlops
    176 :   134611.75 MFlops
    177 :   134023.76 MFlops
    178 :   116886.05 MFlops
    179 :   114136.10 MFlops
    180 :   122778.95 MFlops
    181 :   120400.83 MFlops
