From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.57 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :         inf MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :         inf MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :         inf MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :     3276.80 MFlops
     17 :    19652.00 MFlops
     18 :    23328.00 MFlops
     19 :    13718.00 MFlops
     20 :    32000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    16222.67 MFlops
     24 :     2910.32 MFlops
     25 :    12500.00 MFlops
     26 :    17576.00 MFlops
     27 :    39366.00 MFlops
     28 :    43904.00 MFlops
     29 :    32518.67 MFlops
     30 :    54000.00 MFlops
     31 :    29791.00 MFlops
     32 :    21845.33 MFlops
     33 :    13068.00 MFlops
     34 :    17468.44 MFlops
     35 :    17150.00 MFlops
     36 :    18662.40 MFlops
     37 :    16884.33 MFlops
     38 :    18290.67 MFlops
     39 :    18252.00 MFlops
     40 :    15058.82 MFlops
     41 :    34460.50 MFlops
     42 :    37044.00 MFlops
     43 :    24463.69 MFlops
     44 :    37859.56 MFlops
     45 :    40500.00 MFlops
     46 :    43260.44 MFlops
     47 :    41529.20 MFlops
     48 :    44236.80 MFlops
     49 :    42781.45 MFlops
     50 :    45454.55 MFlops
     51 :    44217.00 MFlops
     52 :    46869.33 MFlops
     53 :    49625.67 MFlops
     54 :    48450.46 MFlops
     55 :    51192.31 MFlops
     56 :    50176.00 MFlops
     57 :    52912.29 MFlops
     58 :    55746.29 MFlops
     59 :    51344.75 MFlops
     60 :    57600.00 MFlops
     61 :    60528.27 MFlops
     62 :    63554.13 MFlops
     63 :    62511.75 MFlops
     64 :     7710.12 MFlops
     65 :    45770.83 MFlops
     66 :    41070.86 MFlops
     67 :    46271.23 MFlops
     68 :    50309.12 MFlops
     69 :    46929.86 MFlops
     70 :    44258.06 MFlops
     71 :    68173.52 MFlops
     72 :    46656.00 MFlops
     73 :    47153.58 MFlops
     74 :    47673.41 MFlops
     75 :    42187.50 MFlops
     76 :    47456.86 MFlops
     77 :    45653.30 MFlops
     78 :    45195.43 MFlops
     79 :    41960.77 MFlops
     80 :    62060.61 MFlops
     81 :    59049.00 MFlops
     82 :    58038.74 MFlops
     83 :    30094.05 MFlops
     84 :    59270.40 MFlops
     85 :    53402.17 MFlops
     86 :    54132.43 MFlops
     87 :    50654.08 MFlops
     88 :    73672.65 MFlops
     89 :    72304.51 MFlops
     90 :    71121.95 MFlops
     91 :    65527.91 MFlops
     92 :    18109.02 MFlops
     93 :    67029.75 MFlops
     94 :    41016.49 MFlops
     95 :     5080.74 MFlops
     96 :    52043.29 MFlops
     97 :    58882.13 MFlops
     98 :    49536.42 MFlops
     99 :    57076.41 MFlops
    100 :    76923.08 MFlops
    101 :    79253.92 MFlops
    102 :    65305.11 MFlops
    103 :    79471.05 MFlops
    104 :    83323.26 MFlops
    105 :    87367.92 MFlops
    106 :    88223.41 MFlops
    107 :    76565.19 MFlops
    108 :    78732.00 MFlops
    109 :    77315.16 MFlops
    110 :    78294.12 MFlops
    111 :    71980.58 MFlops
    112 :    47624.68 MFlops
    113 :    86143.10 MFlops
    114 :    88450.39 MFlops
    115 :    86907.14 MFlops
    116 :    84372.76 MFlops
    117 :    83200.68 MFlops
    118 :    84258.05 MFlops
    119 :    84257.95 MFlops
    120 :    96000.00 MFlops
    121 :    80525.50 MFlops
    122 :    79817.49 MFlops
    123 :    28962.91 MFlops
    124 :    48268.96 MFlops
    125 :    50403.23 MFlops
    126 :    70188.63 MFlops
    127 :    56899.53 MFlops
    128 :    81442.80 MFlops
    129 :    82564.96 MFlops
    130 :    82905.66 MFlops
    131 :    80288.96 MFlops
    132 :    82881.73 MFlops
    133 :    78421.23 MFlops
    134 :    77616.26 MFlops
    135 :    69797.87 MFlops
    136 :    86739.86 MFlops
    137 :    88667.34 MFlops
    138 :    89087.19 MFlops
    139 :    33675.47 MFlops
    140 :    99781.82 MFlops
    141 :   100115.04 MFlops
    142 :    90182.30 MFlops
    143 :     8433.19 MFlops
    144 :    94046.74 MFlops
    145 :    89665.44 MFlops
    146 :    91533.41 MFlops
    147 :    91410.73 MFlops
    148 :    93964.99 MFlops
    149 :    92530.04 MFlops
    150 :    94405.59 MFlops
    151 :    93685.74 MFlops
    152 :     6073.17 MFlops
    153 :    67576.92 MFlops
    154 :   102161.23 MFlops
    155 :   102023.97 MFlops
    156 :   102605.84 MFlops
    157 :   103889.74 MFlops
    158 :    32330.43 MFlops
    159 :   105089.65 MFlops
    160 :   108503.31 MFlops
    161 :   107007.21 MFlops
    162 :    75920.14 MFlops
    163 :    84092.17 MFlops
    164 :    87779.98 MFlops
    165 :    83964.95 MFlops
    166 :    83932.04 MFlops
    167 :    80301.09 MFlops
    168 :    99823.83 MFlops
    169 :    98506.31 MFlops
    170 :    36527.88 MFlops
    171 :    84391.75 MFlops
    172 :    85520.13 MFlops
    173 :    82513.42 MFlops
    174 :    81992.59 MFlops
    175 :    76562.50 MFlops
    176 :    91626.49 MFlops
    177 :    92420.55 MFlops
    178 :    92454.95 MFlops
    179 :    90320.30 MFlops
    180 :    89723.08 MFlops
    181 :   112947.45 MFlops
    182 :   120571.36 MFlops
    183 :   121356.18 MFlops
    184 :   129108.89 MFlops
    185 :   130548.97 MFlops
    186 :   126173.65 MFlops
    187 :   109442.73 MFlops
    188 :   129652.14 MFlops
    189 :    83092.54 MFlops
    190 :    86276.73 MFlops
    191 :    72962.00 MFlops
    192 :    95325.09 MFlops
    193 :    90713.65 MFlops
    194 :    90140.54 MFlops
    195 :    87750.00 MFlops
    196 :    89904.91 MFlops
    197 :   124822.42 MFlops
    198 :   122725.57 MFlops
    199 :   124594.45 MFlops
    200 :   135593.22 MFlops
