From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.57 MFlops    0.000007 sec
      2 :       32.00 MFlops    0.000001 sec
      3 :         inf MFlops    0.000000 sec
      4 :      256.00 MFlops    0.000001 sec
      5 :      500.00 MFlops    0.000001 sec
      6 :      864.00 MFlops    0.000001 sec
      7 :     1372.00 MFlops    0.000001 sec
      8 :     2048.00 MFlops    0.000001 sec
      9 :     2916.00 MFlops    0.000001 sec
     10 :         inf MFlops    0.000000 sec
     11 :         inf MFlops    0.000000 sec
     12 :     6912.00 MFlops    0.000001 sec
     13 :         inf MFlops    0.000000 sec
     14 :         inf MFlops    0.000000 sec
     15 :    13500.00 MFlops    0.000001 sec
     16 :     8192.00 MFlops    0.000002 sec
     17 :    19652.00 MFlops    0.000001 sec
     18 :    23328.00 MFlops    0.000001 sec
     19 :    27436.00 MFlops    0.000001 sec
     20 :    32000.00 MFlops    0.000001 sec
     21 :    37044.00 MFlops    0.000001 sec
     22 :    42592.00 MFlops    0.000001 sec
     23 :       57.06 MFlops    0.000853 sec
     24 :    18432.00 MFlops    0.000003 sec
     25 :    31250.00 MFlops    0.000002 sec
     26 :    23434.67 MFlops    0.000003 sec
     27 :    26244.00 MFlops    0.000003 sec
     28 :    29269.33 MFlops    0.000003 sec
     29 :    16259.33 MFlops    0.000006 sec
     30 :    27000.00 MFlops    0.000004 sec
     31 :    29791.00 MFlops    0.000004 sec
     32 :    32768.00 MFlops    0.000004 sec
     33 :    35937.00 MFlops    0.000004 sec
     34 :    39304.00 MFlops    0.000004 sec
     35 :    34300.00 MFlops    0.000005 sec
     36 :    37324.80 MFlops    0.000005 sec
     37 :    33768.67 MFlops    0.000006 sec
     38 :    36581.33 MFlops    0.000006 sec
     39 :    33896.57 MFlops    0.000007 sec
     40 :    36571.43 MFlops    0.000007 sec
     41 :    34460.50 MFlops    0.000008 sec
     42 :    42336.00 MFlops    0.000007 sec
     43 :    39753.50 MFlops    0.000008 sec
     44 :    42592.00 MFlops    0.000008 sec
