From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.57 MFlops
      2 :         inf MFlops
      3 :       54.00 MFlops
      4 :         inf MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :     6750.00 MFlops
     16 :     8192.00 MFlops
     17 :     6550.67 MFlops
     18 :    11664.00 MFlops
     19 :     9145.33 MFlops
     20 :    16000.00 MFlops
     21 :    12348.00 MFlops
     22 :    10648.00 MFlops
     23 :     1431.41 MFlops
     24 :    13824.00 MFlops
     25 :    12500.00 MFlops
     26 :    17576.00 MFlops
     27 :    15746.40 MFlops
     28 :    14634.67 MFlops
     29 :    16259.33 MFlops
     30 :    18000.00 MFlops
     31 :    19860.67 MFlops
     32 :    26214.40 MFlops
     33 :    23958.00 MFlops
     34 :    26202.67 MFlops
     35 :    28583.33 MFlops
     36 :    23328.00 MFlops
     37 :    25326.50 MFlops
     38 :    24387.56 MFlops
     39 :    26364.00 MFlops
     40 :    28444.44 MFlops
     41 :    30631.56 MFlops
     42 :    29635.20 MFlops
     43 :    31802.80 MFlops
     44 :    28394.67 MFlops
     45 :    33136.36 MFlops
     46 :    24334.00 MFlops
     47 :    34607.67 MFlops
     48 :    34028.31 MFlops
     49 :    36199.69 MFlops
     50 :    38461.54 MFlops
     51 :    37900.29 MFlops
     52 :    35152.00 MFlops
     53 :    37219.25 MFlops
     54 :    37050.35 MFlops
     55 :    39147.06 MFlops
     56 :    36971.79 MFlops
     57 :    43574.82 MFlops
     58 :    43358.22 MFlops
     59 :    45639.78 MFlops
     60 :    41142.86 MFlops
     61 :    45396.20 MFlops
     62 :    47665.60 MFlops
     63 :    47628.00 MFlops
     64 :    47662.55 MFlops
     65 :    40685.19 MFlops
     66 :    52272.00 MFlops
     67 :    52306.61 MFlops
     68 :    46582.52 MFlops
     69 :    34579.89 MFlops
     70 :    50814.81 MFlops
     71 :    53023.85 MFlops
     72 :    46656.00 MFlops
     73 :    55573.86 MFlops
     74 :    55892.97 MFlops
     75 :    58189.66 MFlops
     76 :    53209.21 MFlops
     77 :    57066.62 MFlops
     78 :    59319.00 MFlops
     79 :    51898.84 MFlops
     80 :     8641.35 MFlops
     81 :    59049.00 MFlops
     82 :    59607.35 MFlops
     83 :    63531.89 MFlops
     84 :     4828.55 MFlops
     85 :    58488.10 MFlops
     86 :    59168.00 MFlops
     87 :    61256.09 MFlops
     88 :    54517.76 MFlops
     89 :    65578.51 MFlops
     90 :    64800.00 MFlops
     91 :    57967.00 MFlops
     92 :    63566.37 MFlops
     93 :    65661.80 MFlops
     94 :    67802.78 MFlops
     95 :    69989.80 MFlops
     96 :    30773.43 MFlops
     97 :    56164.49 MFlops
     98 :    72399.38 MFlops
     99 :    73230.11 MFlops
    100 :    74074.07 MFlops
    101 :    74930.98 MFlops
    102 :    70747.20 MFlops
    103 :    75360.48 MFlops
    104 :    76261.97 MFlops
    105 :    75909.84 MFlops
    106 :    78099.41 MFlops
    107 :    79035.03 MFlops
    108 :    78732.00 MFlops
    109 :    79694.09 MFlops
    110 :    79462.69 MFlops
    111 :    75979.50 MFlops
    112 :    81445.10 MFlops
    113 :    77994.43 MFlops
    114 :    77976.00 MFlops
    115 :    48281.75 MFlops
    116 :    68610.81 MFlops
    117 :     7700.06 MFlops
    118 :     2975.16 MFlops
    119 :    74895.96 MFlops
    120 :    64000.00 MFlops
    121 :    77024.39 MFlops
    122 :    78100.99 MFlops
    123 :    80037.29 MFlops
    124 :     4863.84 MFlops
    125 :    81380.21 MFlops
    126 :    80823.27 MFlops
    127 :    82762.95 MFlops
    128 :    79891.50 MFlops
    129 :    61775.22 MFlops
    130 :    79890.91 MFlops
    131 :    76857.81 MFlops
    132 :    77309.85 MFlops
    133 :    26508.59 MFlops
    134 :    82969.10 MFlops
    135 :    84840.52 MFlops
    136 :    89042.69 MFlops
    137 :    89438.37 MFlops
    138 :    90623.17 MFlops
    139 :    92607.55 MFlops
    140 :    93016.95 MFlops
    141 :    50967.65 MFlops
    142 :    93115.06 MFlops
    143 :    94329.26 MFlops
    144 :    94046.74 MFlops
    145 :    48009.84 MFlops
    146 :    89557.87 MFlops
    147 :    90757.80 MFlops
    148 :    83659.15 MFlops
    149 :    88804.00 MFlops
    150 :    87662.34 MFlops
    151 :    89427.30 MFlops
    152 :    81669.95 MFlops
    153 :    90102.57 MFlops
    154 :    89626.11 MFlops
    155 :    91947.53 MFlops
    156 :    82530.78 MFlops
    157 :    37032.47 MFlops
    158 :    92264.61 MFlops
    159 :    89326.20 MFlops
    160 :    88086.02 MFlops
    161 :    91720.46 MFlops
    162 :    95006.21 MFlops
    163 :    88382.59 MFlops
    164 :    90947.30 MFlops
    165 :    94571.05 MFlops
    166 :    92879.11 MFlops
    167 :    94090.16 MFlops
    168 :    28521.09 MFlops
    169 :    96536.18 MFlops
    170 :   100779.49 MFlops
    171 :   100506.75 MFlops
    172 :   103845.88 MFlops
    173 :   105131.31 MFlops
    174 :   104317.31 MFlops
    175 :   104573.17 MFlops
    176 :   104340.21 MFlops
    177 :    97713.36 MFlops
    178 :    83551.88 MFlops
    179 :   101961.58 MFlops
    180 :    95216.33 MFlops
    181 :    98829.02 MFlops
    182 :    72633.35 MFlops
    183 :    98055.79 MFlops
    184 :    89956.74 MFlops
    185 :    99319.61 MFlops
    186 :    83299.11 MFlops
    187 :   107200.05 MFlops
    188 :    95264.11 MFlops
    189 :    96792.39 MFlops
    190 :   105930.50 MFlops
