From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.00 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :       98.00 MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :      800.00 MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :         inf MFlops
     25x25 :         inf MFlops
     26x26 :         inf MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :     1800.00 MFlops
     31x31 :         inf MFlops
     32x32 :         inf MFlops
     33x33 :         inf MFlops
     34x34 :         inf MFlops
     35x35 :     2450.00 MFlops
     36x36 :     2592.00 MFlops
     37x37 :         inf MFlops
     38x38 :         inf MFlops
     39x39 :     3042.00 MFlops
     40x40 :     3200.00 MFlops
     41x41 :     3362.00 MFlops
     42x42 :     3528.00 MFlops
     43x43 :     3698.00 MFlops
     44x44 :     3872.00 MFlops
     45x45 :         inf MFlops
     46x46 :     4232.00 MFlops
     47x47 :     4418.00 MFlops
     48x48 :     4608.00 MFlops
     49x49 :     4802.00 MFlops
     50x50 :         inf MFlops
     51x51 :     5202.00 MFlops
     52x52 :     5408.00 MFlops
     53x53 :         inf MFlops
     54x54 :         inf MFlops
     55x55 :         inf MFlops
     56x56 :         inf MFlops
     57x57 :         inf MFlops
     58x58 :     6728.00 MFlops
     59x59 :     6962.00 MFlops
     60x60 :         inf MFlops
     61x61 :         inf MFlops
     62x62 :         inf MFlops
     63x63 :         inf MFlops
     64x64 :     8192.00 MFlops
     65x65 :     8450.00 MFlops
     66x66 :     8712.00 MFlops
     67x67 :     8978.00 MFlops
     68x68 :     9248.00 MFlops
     69x69 :     9522.00 MFlops
     70x70 :     9800.00 MFlops
     71x71 :    10082.00 MFlops
     72x72 :    10368.00 MFlops
     73x73 :    10658.00 MFlops
     74x74 :    10952.00 MFlops
     75x75 :    11250.00 MFlops
     76x76 :    11552.00 MFlops
     77x77 :     5929.00 MFlops
     78x78 :    12168.00 MFlops
     79x79 :    12482.00 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :     6889.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :     7744.00 MFlops
     89x89 :    15842.00 MFlops
     90x90 :    16200.00 MFlops
     91x91 :      301.13 MFlops
     92x92 :        1.89 MFlops
     93x93 :     4324.50 MFlops
     94x94 :        2.39 MFlops
     95x95 :       25.57 MFlops
     96x96 :       25.92 MFlops
     97x97 :       17.99 MFlops
     98x98 :        3.34 MFlops
     99x99 :        6.20 MFlops
    100x100 :       26.39 MFlops
    101x101 :    10201.00 MFlops
    102x102 :    10404.00 MFlops
    103x103 :        5.18 MFlops
    104x104 :    10816.00 MFlops
    105x105 :     7350.00 MFlops
    106x106 :    11236.00 MFlops
    107x107 :    11449.00 MFlops
    108x108 :     7776.00 MFlops
    109x109 :    11881.00 MFlops
    110x110 :     8066.67 MFlops
    111x111 :     8214.00 MFlops
    112x112 :    12544.00 MFlops
    113x113 :     8512.67 MFlops
    114x114 :     8664.00 MFlops
    115x115 :     8816.67 MFlops
    116x116 :     8970.67 MFlops
    117x117 :     9126.00 MFlops
    118x118 :     9282.67 MFlops
    119x119 :     9440.67 MFlops
    120x120 :    14400.00 MFlops
    121x121 :    14641.00 MFlops
    122x122 :     9922.67 MFlops
    123x123 :    10086.00 MFlops
    124x124 :    10250.67 MFlops
    125x125 :    15625.00 MFlops
    126x126 :     1587.60 MFlops
    127x127 :     4608.29 MFlops
    128x128 :     1024.00 MFlops
    129x129 :     3698.00 MFlops
    130x130 :     3380.00 MFlops
    131x131 :     3813.56 MFlops
    132x132 :     3872.00 MFlops
    133x133 :     3930.89 MFlops
    134x134 :     3591.20 MFlops
    135x135 :     3313.64 MFlops
    136x136 :     3699.20 MFlops
    137x137 :     3412.55 MFlops
    138x138 :     4232.00 MFlops
    139x139 :     3512.91 MFlops
    140x140 :      176.58 MFlops
    141x141 :     3976.20 MFlops
    142x142 :     3666.18 MFlops
    143x143 :       95.33 MFlops
    144x144 :     3456.00 MFlops
    145x145 :     3822.73 MFlops
    146x146 :     3552.67 MFlops
    147x147 :     3324.46 MFlops
    148x148 :     3650.67 MFlops
    149x149 :      600.03 MFlops
    150x150 :     3750.00 MFlops
    151x151 :     3507.85 MFlops
    152x152 :     3300.57 MFlops
