From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.00 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :       72.00 MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :      648.00 MFlops
     19x19 :         inf MFlops
     20x20 :      800.00 MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :         inf MFlops
     25x25 :     1250.00 MFlops
     26x26 :         inf MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :         inf MFlops
     31x31 :         inf MFlops
     32x32 :     2048.00 MFlops
     33x33 :         inf MFlops
     34x34 :     2312.00 MFlops
     35x35 :     2450.00 MFlops
     36x36 :         inf MFlops
     37x37 :     2738.00 MFlops
     38x38 :     2888.00 MFlops
     39x39 :         inf MFlops
     40x40 :         inf MFlops
     41x41 :     3362.00 MFlops
     42x42 :         inf MFlops
     43x43 :     3698.00 MFlops
     44x44 :     3872.00 MFlops
     45x45 :         inf MFlops
     46x46 :     4232.00 MFlops
     47x47 :     4418.00 MFlops
     48x48 :     4608.00 MFlops
     49x49 :         inf MFlops
     50x50 :     5000.00 MFlops
     51x51 :         inf MFlops
     52x52 :         inf MFlops
     53x53 :     5618.00 MFlops
     54x54 :         inf MFlops
     55x55 :     6050.00 MFlops
     56x56 :         inf MFlops
     57x57 :     6498.00 MFlops
     58x58 :     6728.00 MFlops
     59x59 :     6962.00 MFlops
     60x60 :     7200.00 MFlops
     61x61 :     7442.00 MFlops
     62x62 :     7688.00 MFlops
     63x63 :     7938.00 MFlops
     64x64 :         inf MFlops
     65x65 :     8450.00 MFlops
     66x66 :     8712.00 MFlops
     67x67 :     8978.00 MFlops
     68x68 :     9248.00 MFlops
     69x69 :     9522.00 MFlops
     70x70 :     9800.00 MFlops
     71x71 :    10082.00 MFlops
     72x72 :    10368.00 MFlops
     73x73 :    10658.00 MFlops
     74x74 :    10952.00 MFlops
     75x75 :    11250.00 MFlops
     76x76 :    11552.00 MFlops
     77x77 :    11858.00 MFlops
     78x78 :    12168.00 MFlops
     79x79 :     6241.00 MFlops
     80x80 :    12800.00 MFlops
     81x81 :    13122.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :    13778.00 MFlops
     84x84 :     7056.00 MFlops
     85x85 :     7225.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :     7744.00 MFlops
     89x89 :    15842.00 MFlops
     90x90 :     8100.00 MFlops
     91x91 :     8281.00 MFlops
     92x92 :     8464.00 MFlops
     93x93 :     8649.00 MFlops
     94x94 :     8836.00 MFlops
     95x95 :     9025.00 MFlops
     96x96 :     9216.00 MFlops
     97x97 :     9409.00 MFlops
     98x98 :     9604.00 MFlops
     99x99 :     9801.00 MFlops
    100x100 :    10000.00 MFlops
    101x101 :    10201.00 MFlops
    102x102 :    10404.00 MFlops
    103x103 :    10609.00 MFlops
    104x104 :    10816.00 MFlops
    105x105 :     7350.00 MFlops
    106x106 :    11236.00 MFlops
    107x107 :     7632.67 MFlops
    108x108 :    11664.00 MFlops
    109x109 :    11881.00 MFlops
    110x110 :     8066.67 MFlops
    111x111 :     8214.00 MFlops
    112x112 :     8362.67 MFlops
    113x113 :     8512.67 MFlops
    114x114 :     8664.00 MFlops
    115x115 :     8816.67 MFlops
    116x116 :     8970.67 MFlops
    117x117 :     9126.00 MFlops
    118x118 :     9282.67 MFlops
    119x119 :     9440.67 MFlops
    120x120 :     9600.00 MFlops
    121x121 :     9760.67 MFlops
    122x122 :     9922.67 MFlops
    123x123 :     7564.50 MFlops
    124x124 :     7688.00 MFlops
    125x125 :     7812.50 MFlops
    126x126 :    10584.00 MFlops
    127x127 :     8064.50 MFlops
    128x128 :    10922.67 MFlops
    129x129 :     8320.50 MFlops
    130x130 :     8450.00 MFlops
    131x131 :    11440.67 MFlops
    132x132 :     8712.00 MFlops
    133x133 :     8844.50 MFlops
    134x134 :     8978.00 MFlops
    135x135 :     9112.50 MFlops
    136x136 :     9248.00 MFlops
    137x137 :     7507.60 MFlops
    138x138 :     9522.00 MFlops
    139x139 :     7728.40 MFlops
    140x140 :     9800.00 MFlops
    141x141 :     9940.50 MFlops
    142x142 :    10082.00 MFlops
    143x143 :     8179.60 MFlops
    144x144 :     8294.40 MFlops
    145x145 :     8410.00 MFlops
    146x146 :     8526.40 MFlops
    147x147 :     8643.60 MFlops
    148x148 :     8761.60 MFlops
    149x149 :     8880.40 MFlops
