From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
      1 :        1.00 MFlops   0.000001 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :         inf MFlops   0.000000 sec
     11 :         inf MFlops   0.000000 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :         inf MFlops   0.000000 sec
     15 :      225.00 MFlops   0.000001 sec
     16 :         inf MFlops   0.000000 sec
     17 :        0.02 MFlops   0.013163 sec
     18 :        0.01 MFlops   0.043116 sec
     19 :        0.02 MFlops   0.019776 sec
     20 :         inf MFlops   0.000000 sec
     21 :      147.00 MFlops   0.000003 sec
     22 :      121.00 MFlops   0.000004 sec
     23 :      264.50 MFlops   0.000002 sec
     24 :       38.40 MFlops   0.000015 sec
     25 :      156.25 MFlops   0.000004 sec
     26 :         inf MFlops   0.000000 sec
     27 :       17.78 MFlops   0.000041 sec
     28 :      130.67 MFlops   0.000006 sec
     29 :       56.07 MFlops   0.000015 sec
     30 :       12.00 MFlops   0.000075 sec
     31 :      961.00 MFlops   0.000001 sec
     32 :         inf MFlops   0.000000 sec
     33 :        0.19 MFlops   0.005769 sec
     34 :       26.88 MFlops   0.000043 sec
     35 :     1225.00 MFlops   0.000001 sec
     36 :         inf MFlops   0.000000 sec
     37 :     1369.00 MFlops   0.000001 sec
     38 :     1444.00 MFlops   0.000001 sec
     39 :     1521.00 MFlops   0.000001 sec
     40 :     1600.00 MFlops   0.000001 sec
     41 :     1681.00 MFlops   0.000001 sec
     42 :     1764.00 MFlops   0.000001 sec
     43 :     1849.00 MFlops   0.000001 sec
     44 :     1936.00 MFlops   0.000001 sec
     45 :     2025.00 MFlops   0.000001 sec
     46 :     2116.00 MFlops   0.000001 sec
     47 :     1104.50 MFlops   0.000002 sec
     48 :     2304.00 MFlops   0.000001 sec
     49 :     2401.00 MFlops   0.000001 sec
     50 :        1.21 MFlops   0.002072 sec
     51 :        0.73 MFlops   0.003582 sec
     52 :      901.33 MFlops   0.000003 sec
     53 :     1404.50 MFlops   0.000002 sec
     54 :     2916.00 MFlops   0.000001 sec
     55 :     1512.50 MFlops   0.000002 sec
     56 :        7.61 MFlops   0.000412 sec
     57 :     1624.50 MFlops   0.000002 sec
     58 :     1682.00 MFlops   0.000002 sec
     59 :     1740.50 MFlops   0.000002 sec
     60 :     3600.00 MFlops   0.000001 sec
