From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
      1 :        1.00 MFlops   0.000002 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :       25.00 MFlops   0.000002 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :         inf MFlops   0.000000 sec
     11 :         inf MFlops   0.000000 sec
     12 :      288.00 MFlops   0.000001 sec
     13 :         inf MFlops   0.000000 sec
     14 :         inf MFlops   0.000000 sec
     15 :         inf MFlops   0.000000 sec
     16 :      512.00 MFlops   0.000001 sec
     17 :        0.56 MFlops   0.001038 sec
     18 :      648.00 MFlops   0.000001 sec
     19 :      722.00 MFlops   0.000001 sec
     20 :      800.00 MFlops   0.000001 sec
     21 :         inf MFlops   0.000000 sec
     22 :      968.00 MFlops   0.000001 sec
     23 :     1058.00 MFlops   0.000001 sec
     24 :     1152.00 MFlops   0.000001 sec
     25 :     1250.00 MFlops   0.000001 sec
     26 :      676.00 MFlops   0.000002 sec
     27 :     1458.00 MFlops   0.000001 sec
     28 :     1568.00 MFlops   0.000001 sec
     29 :      841.00 MFlops   0.000002 sec
     30 :      900.00 MFlops   0.000002 sec
     31 :      961.00 MFlops   0.000002 sec
     32 :     1024.00 MFlops   0.000002 sec
     33 :     1089.00 MFlops   0.000002 sec
     34 :     1156.00 MFlops   0.000002 sec
     35 :     1225.00 MFlops   0.000002 sec
     36 :     1296.00 MFlops   0.000002 sec
     37 :     1369.00 MFlops   0.000002 sec
     38 :     1444.00 MFlops   0.000002 sec
     39 :     1521.00 MFlops   0.000002 sec
     40 :     1600.00 MFlops   0.000002 sec
     41 :     1681.00 MFlops   0.000002 sec
     42 :     1764.00 MFlops   0.000002 sec
     43 :     1849.00 MFlops   0.000002 sec
     44 :     1936.00 MFlops   0.000002 sec
     45 :     2025.00 MFlops   0.000002 sec
     46 :     4232.00 MFlops   0.000001 sec
     47 :     2209.00 MFlops   0.000002 sec
     48 :     4608.00 MFlops   0.000001 sec
     49 :     2401.00 MFlops   0.000002 sec
     50 :     2500.00 MFlops   0.000002 sec
     51 :     5202.00 MFlops   0.000001 sec
     52 :     2704.00 MFlops   0.000002 sec
     53 :     2809.00 MFlops   0.000002 sec
     54 :     2916.00 MFlops   0.000002 sec
     55 :     3025.00 MFlops   0.000002 sec
     56 :     3136.00 MFlops   0.000002 sec
     57 :     3249.00 MFlops   0.000002 sec
     58 :     3364.00 MFlops   0.000002 sec
     59 :     3481.00 MFlops   0.000002 sec
     60 :     3600.00 MFlops   0.000002 sec
     61 :     3721.00 MFlops   0.000002 sec
     62 :     3844.00 MFlops   0.000002 sec
     63 :     3969.00 MFlops   0.000002 sec
     64 :     4096.00 MFlops   0.000002 sec
     65 :     4225.00 MFlops   0.000002 sec
     66 :     4356.00 MFlops   0.000002 sec
     67 :     4489.00 MFlops   0.000002 sec
     68 :     4624.00 MFlops   0.000002 sec
     69 :     4761.00 MFlops   0.000002 sec
     70 :     4900.00 MFlops   0.000002 sec
     71 :       28.01 MFlops   0.000360 sec
     72 :     3456.00 MFlops   0.000003 sec
     73 :     5329.00 MFlops   0.000002 sec
     74 :     3650.67 MFlops   0.000003 sec
     75 :     3750.00 MFlops   0.000003 sec
     76 :     5776.00 MFlops   0.000002 sec
     77 :     3952.67 MFlops   0.000003 sec
     78 :     6084.00 MFlops   0.000002 sec
     79 :     6241.00 MFlops   0.000002 sec
     80 :     6400.00 MFlops   0.000002 sec
     81 :     4374.00 MFlops   0.000003 sec
     82 :     4482.67 MFlops   0.000003 sec
     83 :     6889.00 MFlops   0.000002 sec
     84 :     7056.00 MFlops   0.000002 sec
     85 :     7225.00 MFlops   0.000002 sec
     86 :     4930.67 MFlops   0.000003 sec
     87 :     7569.00 MFlops   0.000002 sec
     88 :     7744.00 MFlops   0.000002 sec
     89 :     7921.00 MFlops   0.000002 sec
     90 :     8100.00 MFlops   0.000002 sec
     91 :     8281.00 MFlops   0.000002 sec
     92 :     8464.00 MFlops   0.000002 sec
     93 :     8649.00 MFlops   0.000002 sec
     94 :     5890.67 MFlops   0.000003 sec
     95 :     6016.67 MFlops   0.000003 sec
     96 :     6144.00 MFlops   0.000003 sec
     97 :     9409.00 MFlops   0.000002 sec
     98 :     6402.67 MFlops   0.000003 sec
     99 :     9801.00 MFlops   0.000002 sec
    100 :    10000.00 MFlops   0.000002 sec
    101 :    10201.00 MFlops   0.000002 sec
    102 :     6936.00 MFlops   0.000003 sec
    103 :    10609.00 MFlops   0.000002 sec
    104 :    10816.00 MFlops   0.000002 sec
    105 :     7350.00 MFlops   0.000003 sec
    106 :    11236.00 MFlops   0.000002 sec
    107 :     7632.67 MFlops   0.000003 sec
    108 :     7776.00 MFlops   0.000003 sec
    109 :    11881.00 MFlops   0.000002 sec
    110 :      514.89 MFlops   0.000047 sec
    111 :     8214.00 MFlops   0.000003 sec
    112 :     8362.67 MFlops   0.000003 sec
    113 :     8512.67 MFlops   0.000003 sec
    114 :     8664.00 MFlops   0.000003 sec
    115 :     8816.67 MFlops   0.000003 sec
    116 :     8970.67 MFlops   0.000003 sec
    117 :     9126.00 MFlops   0.000003 sec
    118 :    13924.00 MFlops   0.000002 sec
    119 :    14161.00 MFlops   0.000002 sec
    120 :    14400.00 MFlops   0.000002 sec
    121 :     9760.67 MFlops   0.000003 sec
    122 :    14884.00 MFlops   0.000002 sec
    123 :    15129.00 MFlops   0.000002 sec
    124 :    15376.00 MFlops   0.000002 sec
    125 :    10416.67 MFlops   0.000003 sec
    126 :    15876.00 MFlops   0.000002 sec
    127 :    10752.67 MFlops   0.000003 sec
    128 :    10922.67 MFlops   0.000003 sec
    129 :    11094.00 MFlops   0.000003 sec
    130 :    16900.00 MFlops   0.000002 sec
    131 :    17161.00 MFlops   0.000002 sec
    132 :    11616.00 MFlops   0.000003 sec
    133 :    11792.67 MFlops   0.000003 sec
    134 :    11970.67 MFlops   0.000003 sec
    135 :    12150.00 MFlops   0.000003 sec
    136 :    12330.67 MFlops   0.000003 sec
    137 :    12512.67 MFlops   0.000003 sec
    138 :    12696.00 MFlops   0.000003 sec
    139 :    12880.67 MFlops   0.000003 sec
    140 :    13066.67 MFlops   0.000003 sec
    141 :     9940.50 MFlops   0.000004 sec
    142 :    10082.00 MFlops   0.000004 sec
    143 :    13632.67 MFlops   0.000003 sec
    144 :    13824.00 MFlops   0.000003 sec
    145 :    10512.50 MFlops   0.000004 sec
    146 :    14210.67 MFlops   0.000003 sec
