From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.40 MFlops
      2 :         inf MFlops
      3 :        0.31 MFlops
      4 :       64.00 MFlops
      5 :       16.67 MFlops
      6 :      216.00 MFlops
      7 :      171.50 MFlops
      8 :      341.33 MFlops
      9 :       76.74 MFlops
     10 :      500.00 MFlops
     11 :      665.50 MFlops
     12 :     1152.00 MFlops
     13 :     1464.67 MFlops
     14 :     1829.33 MFlops
     15 :     1125.00 MFlops
     16 :     1638.40 MFlops
     17 :     1965.20 MFlops
     18 :     1944.00 MFlops
     19 :     2743.60 MFlops
     20 :       33.26 MFlops
     21 :     3087.00 MFlops
     22 :     3549.33 MFlops
     23 :     4055.67 MFlops
     24 :     4608.00 MFlops
     25 :     4464.29 MFlops
     26 :     5021.71 MFlops
     27 :     5623.71 MFlops
     28 :     7317.33 MFlops
     29 :     6968.29 MFlops
     30 :     7714.29 MFlops
     31 :     8511.71 MFlops
     32 :    10922.67 MFlops
     33 :    10267.71 MFlops
     34 :     9826.00 MFlops
     35 :    10718.75 MFlops
     36 :    11664.00 MFlops
     37 :     4404.61 MFlops
     38 :    12193.78 MFlops
     39 :    13182.00 MFlops
     40 :    11636.36 MFlops
     41 :    12531.09 MFlops
     42 :    13470.55 MFlops
     43 :    14455.82 MFlops
     44 :    15488.00 MFlops
     45 :    15187.50 MFlops
     46 :    16222.67 MFlops
     47 :    17303.83 MFlops
     48 :    17014.15 MFlops
     49 :    18099.85 MFlops
     50 :    16666.67 MFlops
     51 :    17686.80 MFlops
     52 :    17576.00 MFlops
     53 :    19850.27 MFlops
     54 :    19683.00 MFlops
     55 :    22183.33 MFlops
     56 :    21952.00 MFlops
     57 :    23149.12 MFlops
     58 :    26014.93 MFlops
     59 :    27383.87 MFlops
     60 :    28800.00 MFlops
     61 :    28372.62 MFlops
     62 :    29791.00 MFlops
     63 :    35721.00 MFlops
     64 :    43690.67 MFlops
     65 :    42250.00 MFlops
     66 :    38332.80 MFlops
     67 :    25063.58 MFlops
     68 :    36992.00 MFlops
     69 :    38648.12 MFlops
     70 :    40352.94 MFlops
     71 :    42107.18 MFlops
     72 :    39289.26 MFlops
     73 :    40949.16 MFlops
     74 :    42655.16 MFlops
     75 :    42187.50 MFlops
     76 :    46208.00 MFlops
     77 :    43479.33 MFlops
     78 :    43141.09 MFlops
     79 :    44821.73 MFlops
     80 :    46545.45 MFlops
     81 :    46212.26 MFlops
     82 :    39383.43 MFlops
     83 :    42354.59 MFlops
     84 :    40876.14 MFlops
     85 :    42353.45 MFlops
     86 :    43865.93 MFlops
     87 :    43900.20 MFlops
     88 :    43965.94 MFlops
     89 :    46997.93 MFlops
     90 :    48600.00 MFlops
     91 :    50238.07 MFlops
     92 :    48668.00 MFlops
     93 :    51894.00 MFlops
     94 :    51911.50 MFlops
     95 :    53585.94 MFlops
     96 :    21318.94 MFlops
     97 :    62942.97 MFlops
     98 :    52288.44 MFlops
     99 :    52448.59 MFlops
    100 :    52631.58 MFlops
    101 :    52835.95 MFlops
    102 :    54420.92 MFlops
    103 :    53303.76 MFlops
