From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.67 MFlops
      2x2 :        4.00 MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :       16.67 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :       32.40 MFlops
     10x10 :      200.00 MFlops
     11x11 :      242.00 MFlops
     12x12 :      288.00 MFlops
     13x13 :       42.25 MFlops
     14x14 :         inf MFlops
     15x15 :      450.00 MFlops
     16x16 :      512.00 MFlops
     17x17 :      578.00 MFlops
     18x18 :      324.00 MFlops
     19x19 :      722.00 MFlops
     20x20 :      266.67 MFlops
     21x21 :      882.00 MFlops
     22x22 :      484.00 MFlops
     23x23 :      529.00 MFlops
     24x24 :      576.00 MFlops
     25x25 :      208.33 MFlops
     26x26 :     1352.00 MFlops
     27x27 :      729.00 MFlops
     28x28 :      784.00 MFlops
     29x29 :     1682.00 MFlops
     30x30 :     1800.00 MFlops
     31x31 :     1922.00 MFlops
     32x32 :      292.57 MFlops
     33x33 :     1089.00 MFlops
     34x34 :     1156.00 MFlops
     35x35 :     1225.00 MFlops
     36x36 :     2592.00 MFlops
     37x37 :     1369.00 MFlops
     38x38 :     2888.00 MFlops
     39x39 :     3042.00 MFlops
     40x40 :     1600.00 MFlops
     41x41 :     1681.00 MFlops
     42x42 :     1764.00 MFlops
     43x43 :     1849.00 MFlops
     44x44 :      645.33 MFlops
     45x45 :     2025.00 MFlops
     46x46 :     2116.00 MFlops
     47x47 :     2209.00 MFlops
     48x48 :     2304.00 MFlops
     49x49 :     2401.00 MFlops
     50x50 :     2500.00 MFlops
     51x51 :     1734.00 MFlops
     52x52 :     2704.00 MFlops
     53x53 :     2809.00 MFlops
     54x54 :     2916.00 MFlops
     55x55 :     3025.00 MFlops
     56x56 :     3136.00 MFlops
     57x57 :     3249.00 MFlops
     58x58 :     3364.00 MFlops
     59x59 :     2320.67 MFlops
     60x60 :     3600.00 MFlops
     61x61 :     3721.00 MFlops
     62x62 :     3844.00 MFlops
     63x63 :     3969.00 MFlops
