From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.50 MFlops
      2 :        4.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :      144.00 MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :      256.00 MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :      400.00 MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :      841.00 MFlops
     30 :         inf MFlops
     31 :      961.00 MFlops
     32 :         inf MFlops
     33 :     1089.00 MFlops
     34 :     1156.00 MFlops
     35 :     1225.00 MFlops
     36 :     1296.00 MFlops
     37 :     1369.00 MFlops
     38 :     1444.00 MFlops
     39 :     1521.00 MFlops
     40 :     1600.00 MFlops
     41 :     1681.00 MFlops
     42 :     1764.00 MFlops
     43 :     1849.00 MFlops
     44 :     1936.00 MFlops
     45 :     2025.00 MFlops
     46 :     2116.00 MFlops
     47 :     1104.50 MFlops
     48 :     2304.00 MFlops
     49 :     2401.00 MFlops
     50 :     2500.00 MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :     1404.50 MFlops
     54 :     2916.00 MFlops
     55 :     1512.50 MFlops
     56 :     1568.00 MFlops
     57 :     1624.50 MFlops
     58 :     3364.00 MFlops
     59 :     1740.50 MFlops
     60 :     1800.00 MFlops
     61 :     1860.50 MFlops
     62 :     3844.00 MFlops
     63 :     1984.50 MFlops
     64 :     2048.00 MFlops
     65 :     2112.50 MFlops
     66 :     2178.00 MFlops
     67 :     2244.50 MFlops
     68 :     4624.00 MFlops
     69 :     2380.50 MFlops
     70 :     2450.00 MFlops
     71 :     2520.50 MFlops
     72 :     1728.00 MFlops
     73 :     2664.50 MFlops
     74 :     2738.00 MFlops
     75 :     2812.50 MFlops
     76 :     2888.00 MFlops
     77 :     2964.50 MFlops
     78 :     3042.00 MFlops
     79 :     3120.50 MFlops
     80 :     2133.33 MFlops
     81 :     3280.50 MFlops
     82 :     3362.00 MFlops
     83 :     3444.50 MFlops
     84 :     3528.00 MFlops
     85 :     3612.50 MFlops
     86 :     2465.33 MFlops
     87 :     3784.50 MFlops
     88 :     3872.00 MFlops
     89 :     3960.50 MFlops
     90 :     4050.00 MFlops
     91 :     4140.50 MFlops
     92 :     4232.00 MFlops
     93 :     2883.00 MFlops
     94 :     4418.00 MFlops
     95 :     4512.50 MFlops
     96 :     4608.00 MFlops
     97 :     9409.00 MFlops
     98 :     9604.00 MFlops
     99 :     4900.50 MFlops
    100 :     5000.00 MFlops
    101 :     5100.50 MFlops
    102 :     5202.00 MFlops
    103 :     5304.50 MFlops
    104 :     5408.00 MFlops
    105 :    11025.00 MFlops
    106 :     5618.00 MFlops
    107 :     5724.50 MFlops
    108 :     5832.00 MFlops
    109 :     5940.50 MFlops
    110 :     6050.00 MFlops
    111 :     6160.50 MFlops
    112 :     6272.00 MFlops
    113 :     4256.33 MFlops
    114 :     4332.00 MFlops
    115 :     6612.50 MFlops
    116 :    13456.00 MFlops
    117 :     6844.50 MFlops
    118 :     6962.00 MFlops
    119 :     4720.33 MFlops
    120 :     7200.00 MFlops
    121 :     7320.50 MFlops
    122 :     7442.00 MFlops
    123 :     7564.50 MFlops
    124 :     7688.00 MFlops
    125 :     7812.50 MFlops
    126 :     7938.00 MFlops
    127 :     8064.50 MFlops
    128 :     8192.00 MFlops
    129 :     8320.50 MFlops
    130 :     8450.00 MFlops
    131 :     8580.50 MFlops
    132 :     8712.00 MFlops
    133 :    17689.00 MFlops
    134 :    17956.00 MFlops
    135 :     9112.50 MFlops
    136 :     9248.00 MFlops
    137 :     9384.50 MFlops
    138 :     9522.00 MFlops
    139 :     9660.50 MFlops
    140 :     9800.00 MFlops
    141 :      134.33 MFlops
    142 :      611.03 MFlops
    143 :    10224.50 MFlops
    144 :     6912.00 MFlops
    145 :     7008.33 MFlops
    146 :     7105.33 MFlops
    147 :     7203.00 MFlops
    148 :     7301.33 MFlops
    149 :     7400.33 MFlops
    150 :    11250.00 MFlops
    151 :     7600.33 MFlops
    152 :     7701.33 MFlops
    153 :     7803.00 MFlops
    154 :     7905.33 MFlops
