From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        0.20 MFlops
      2 :        0.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :      392.00 MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :      192.67 MFlops
     18 :      648.00 MFlops
     19 :      722.00 MFlops
     20 :      800.00 MFlops
     21 :         inf MFlops
     22 :      968.00 MFlops
     23 :     1058.00 MFlops
     24 :     1152.00 MFlops
     25 :      625.00 MFlops
     26 :     1352.00 MFlops
     27 :      729.00 MFlops
     28 :      784.00 MFlops
     29 :      841.00 MFlops
     30 :      900.00 MFlops
     31 :     1922.00 MFlops
     32 :     2048.00 MFlops
     33 :     2178.00 MFlops
     34 :     1156.00 MFlops
     35 :     1225.00 MFlops
     36 :     1296.00 MFlops
     37 :     2738.00 MFlops
     38 :     1444.00 MFlops
     39 :     3042.00 MFlops
     40 :     1600.00 MFlops
     41 :     1681.00 MFlops
     42 :     1764.00 MFlops
     43 :     1849.00 MFlops
     44 :     3872.00 MFlops
     45 :     4050.00 MFlops
     46 :     4232.00 MFlops
     47 :     2209.00 MFlops
     48 :     2304.00 MFlops
     49 :     2401.00 MFlops
     50 :        0.52 MFlops
     51 :       34.91 MFlops
     52 :     2704.00 MFlops
     53 :     5618.00 MFlops
     54 :     2916.00 MFlops
     55 :     3025.00 MFlops
     56 :     3136.00 MFlops
     57 :     3249.00 MFlops
     58 :     3364.00 MFlops
     59 :     3481.00 MFlops
     60 :     3600.00 MFlops
     61 :     3721.00 MFlops
     62 :     3844.00 MFlops
     63 :     2646.00 MFlops
     64 :     4096.00 MFlops
     65 :     8450.00 MFlops
     66 :     8712.00 MFlops
     67 :     4489.00 MFlops
     68 :     4624.00 MFlops
     69 :     3174.00 MFlops
     70 :     4900.00 MFlops
     71 :    10082.00 MFlops
     72 :     5184.00 MFlops
     73 :     5329.00 MFlops
     74 :     3650.67 MFlops
     75 :       50.45 MFlops
     76 :     5776.00 MFlops
     77 :     5929.00 MFlops
     78 :     6084.00 MFlops
     79 :    12482.00 MFlops
     80 :     4266.67 MFlops
     81 :     6561.00 MFlops
     82 :     6724.00 MFlops
     83 :     4592.67 MFlops
     84 :     7056.00 MFlops
     85 :     7225.00 MFlops
     86 :     7396.00 MFlops
     87 :     7569.00 MFlops
     88 :     7744.00 MFlops
     89 :     5280.67 MFlops
     90 :     5400.00 MFlops
     91 :     8281.00 MFlops
     92 :     8464.00 MFlops
     93 :     8649.00 MFlops
     94 :     5890.67 MFlops
     95 :     9025.00 MFlops
     96 :     9216.00 MFlops
     97 :     9409.00 MFlops
     98 :     9604.00 MFlops
     99 :     6534.00 MFlops
    100 :    10000.00 MFlops
    101 :    10201.00 MFlops
    102 :     6936.00 MFlops
    103 :     7072.67 MFlops
    104 :     7210.67 MFlops
    105 :     7350.00 MFlops
    106 :     7490.67 MFlops
    107 :     7632.67 MFlops
    108 :     7776.00 MFlops
    109 :     7920.67 MFlops
    110 :     8066.67 MFlops
    111 :     8214.00 MFlops
    112 :     6272.00 MFlops
    113 :     8512.67 MFlops
    114 :     6498.00 MFlops
    115 :      394.78 MFlops
    116 :     8970.67 MFlops
    117 :     9126.00 MFlops
    118 :     6962.00 MFlops
    119 :     5664.40 MFlops
    120 :     7200.00 MFlops
    121 :     5856.40 MFlops
    122 :     5953.60 MFlops
    123 :     7564.50 MFlops
    124 :     7688.00 MFlops
    125 :     7812.50 MFlops
    126 :     7938.00 MFlops
    127 :     6451.60 MFlops
    128 :     8192.00 MFlops
