From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.13 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :      432.00 MFlops
      7 :      686.00 MFlops
      8 :         inf MFlops
      9 :        4.19 MFlops
     10 :     1000.00 MFlops
     11 :     2662.00 MFlops
     12 :     1728.00 MFlops
     13 :     1464.67 MFlops
     14 :     1829.33 MFlops
     15 :     2250.00 MFlops
     16 :     2730.67 MFlops
     17 :     1228.25 MFlops
     18 :     3888.00 MFlops
     19 :     6859.00 MFlops
     20 :     5333.33 MFlops
     21 :     6174.00 MFlops
     22 :     7098.67 MFlops
     23 :     8111.33 MFlops
     24 :     6912.00 MFlops
     25 :     3472.22 MFlops
     26 :    11717.33 MFlops
     27 :     9841.50 MFlops
     28 :     7317.33 MFlops
     29 :     9755.60 MFlops
     30 :    13500.00 MFlops
     31 :     7447.75 MFlops
     32 :    13107.20 MFlops
     33 :    14374.80 MFlops
     34 :    15721.60 MFlops
     35 :    14291.67 MFlops
     36 :    18662.40 MFlops
     37 :    16884.33 MFlops
     38 :     2286.33 MFlops
     39 :    16948.29 MFlops
     40 :    18285.71 MFlops
     41 :    19691.71 MFlops
     42 :    21168.00 MFlops
     43 :    22716.29 MFlops
     44 :    24338.29 MFlops
     45 :    22781.25 MFlops
     46 :    27810.29 MFlops
     47 :    25955.75 MFlops
     48 :    31597.71 MFlops
     49 :    21390.73 MFlops
     50 :    27777.78 MFlops
     51 :    26530.20 MFlops
     52 :    25565.09 MFlops
     53 :    33083.78 MFlops
     54 :    31492.80 MFlops
     55 :    33275.00 MFlops
     56 :    31930.18 MFlops
     57 :    33671.45 MFlops
     58 :    39022.40 MFlops
     59 :    37341.64 MFlops
     60 :    39272.73 MFlops
     61 :    16813.41 MFlops
     62 :    43332.36 MFlops
     63 :    41674.50 MFlops
     64 :    43690.67 MFlops
     65 :    28907.89 MFlops
     66 :    35937.00 MFlops
     67 :    37595.37 MFlops
     68 :    39304.00 MFlops
     69 :    38648.12 MFlops
     70 :    40352.94 MFlops
     71 :    47721.47 MFlops
     72 :    49766.40 MFlops
     73 :    37049.24 MFlops
     74 :    38592.76 MFlops
     75 :    40178.57 MFlops
     76 :    41807.24 MFlops
     77 :    41503.00 MFlops
     78 :    45195.43 MFlops
     79 :    42872.96 MFlops
     80 :    46545.45 MFlops
     81 :    48312.82 MFlops
     82 :    47945.04 MFlops
     83 :    49720.61 MFlops
     84 :    51539.48 MFlops
     85 :    49130.00 MFlops
     86 :    43865.93 MFlops
     87 :    41156.44 MFlops
     88 :    43965.94 MFlops
     89 :    44060.56 MFlops
     90 :    47032.26 MFlops
     91 :    32763.96 MFlops
     92 :    47193.21 MFlops
     93 :    48748.91 MFlops
     94 :    43714.95 MFlops
     95 :    46344.59 MFlops
     96 :    47823.57 MFlops
     97 :    48035.42 MFlops
     98 :    48266.26 MFlops
     99 :    49758.92 MFlops
    100 :    51282.05 MFlops
    101 :    51515.05 MFlops
    102 :    42448.32 MFlops
    103 :    52034.62 MFlops
    104 :    56243.20 MFlops
    105 :    48234.38 MFlops
    106 :    48612.90 MFlops
    107 :    49001.72 MFlops
    108 :    57259.64 MFlops
    109 :    61668.05 MFlops
    110 :    63380.95 MFlops
    111 :    71980.58 MFlops
    112 :    73943.58 MFlops
    113 :      355.22 MFlops
    114 :      316.37 MFlops
    115 :     7880.18 MFlops
    116 :     3310.49 MFlops
    117 :    55228.03 MFlops
    118 :    24341.21 MFlops
    119 :    56171.97 MFlops
    120 :    58576.27 MFlops
    121 :    50616.03 MFlops
    122 :    51881.37 MFlops
    123 :    52418.79 MFlops
    124 :    54474.97 MFlops
    125 :    49446.20 MFlops
    126 :    51291.69 MFlops
    127 :    51857.80 MFlops
    128 :    51781.53 MFlops
    129 :    51727.45 MFlops
    130 :    53585.37 MFlops
    131 :    55508.42 MFlops
    132 :    19913.14 MFlops
    133 :    54712.49 MFlops
    134 :     9963.16 MFlops
    135 :    48242.65 MFlops
    136 :    52956.97 MFlops
    137 :    53569.85 MFlops
    138 :    54751.50 MFlops
    139 :    60350.99 MFlops
    140 :    66120.48 MFlops
    141 :    57798.37 MFlops
    142 :    59036.87 MFlops
    143 :    51301.88 MFlops
    144 :    56339.32 MFlops
    145 :    56456.02 MFlops
    146 :    57632.15 MFlops
    147 :    57754.96 MFlops
    148 :    54483.90 MFlops
    149 :    59602.68 MFlops
    150 :    22727.27 MFlops
    151 :    60937.19 MFlops
    152 :    40598.94 MFlops
    153 :    35286.47 MFlops
    154 :      917.19 MFlops
    155 :    15387.91 MFlops
    156 :      905.09 MFlops
    157 :    12986.22 MFlops
    158 :    55947.69 MFlops
    159 :    63302.03 MFlops
    160 :    66064.52 MFlops
    161 :    65720.96 MFlops
    162 :    66430.12 MFlops
    163 :    66118.27 MFlops
    164 :    68921.00 MFlops
    165 :    68582.06 MFlops
    166 :    70373.78 MFlops
    167 :    69514.37 MFlops
    168 :    45374.47 MFlops
    169 :    45751.74 MFlops
    170 :    65946.31 MFlops
    171 :    20492.67 MFlops
    172 :    74283.91 MFlops
    173 :    75587.11 MFlops
    174 :    76348.17 MFlops
    175 :    70985.10 MFlops
    176 :    73178.20 MFlops
    177 :    72963.59 MFlops
    178 :    74698.70 MFlops
    179 :    74484.92 MFlops
    180 :    75740.26 MFlops
    181 :    68157.94 MFlops
    182 :    77289.33 MFlops
    183 :    27359.32 MFlops
    184 :    72859.70 MFlops
    185 :    73623.55 MFlops
    186 :    76605.43 MFlops
    187 :    76481.91 MFlops
    188 :    78172.61 MFlops
    189 :    77600.79 MFlops
    190 :    61515.70 MFlops
    191 :    69678.71 MFlops
    192 :    74504.08 MFlops
    193 :    20687.93 MFlops
    194 :     1821.93 MFlops
    195 :    38122.75 MFlops
    196 :    19893.09 MFlops
    197 :     9757.97 MFlops
    198 :    81709.39 MFlops
    199 :    81243.29 MFlops
    200 :    83333.33 MFlops
