From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.10 MFlops
      2 :        0.89 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :        8.93 MFlops
      6 :      108.00 MFlops
      7 :      343.00 MFlops
      8 :      256.00 MFlops
      9 :      729.00 MFlops
     10 :     1000.00 MFlops
     11 :      665.50 MFlops
     12 :     1728.00 MFlops
     13 :     1098.50 MFlops
     14 :     1372.00 MFlops
     15 :     3375.00 MFlops
     16 :      409.60 MFlops
     17 :     2456.50 MFlops
     18 :     2916.00 MFlops
     19 :     2286.33 MFlops
     20 :     4000.00 MFlops
     21 :     3087.00 MFlops
     22 :     5324.00 MFlops
     23 :     4055.67 MFlops
     24 :     1536.00 MFlops
     25 :     5208.33 MFlops
     26 :     3515.20 MFlops
     27 :     4920.75 MFlops
     28 :     5488.00 MFlops
     29 :     6097.25 MFlops
     30 :     6750.00 MFlops
     31 :     5958.20 MFlops
     32 :     8192.00 MFlops
     33 :     5989.50 MFlops
     34 :     9826.00 MFlops
     35 :     8575.00 MFlops
     36 :     9331.20 MFlops
     37 :    10130.60 MFlops
     38 :     9145.33 MFlops
     39 :     9886.50 MFlops
     40 :    12800.00 MFlops
     41 :    11486.83 MFlops
     42 :    14817.60 MFlops
     43 :    13251.17 MFlops
     44 :    14197.33 MFlops
     45 :    15187.50 MFlops
     46 :    16222.67 MFlops
     47 :    14831.86 MFlops
     48 :    13824.00 MFlops
     49 :    16807.00 MFlops
     50 :    17857.14 MFlops
     51 :    18950.14 MFlops
     52 :    20086.86 MFlops
     53 :    21268.14 MFlops
     54 :      225.59 MFlops
     55 :    18486.11 MFlops
     56 :    21952.00 MFlops
     57 :    23149.12 MFlops
     58 :    27873.14 MFlops
     59 :    25672.37 MFlops
     60 :    27000.00 MFlops
     61 :    28372.62 MFlops
     62 :    29791.00 MFlops
     63 :    25004.70 MFlops
     64 :    23831.27 MFlops
     65 :    30513.89 MFlops
     66 :    31944.00 MFlops
     67 :    30076.30 MFlops
     68 :    34936.89 MFlops
     69 :    36501.00 MFlops
     70 :    31181.82 MFlops
     71 :    25565.07 MFlops
     72 :    37324.80 MFlops
     73 :    35365.18 MFlops
     74 :    36838.55 MFlops
     75 :    35156.25 MFlops
     76 :    39906.91 MFlops
     77 :    38044.42 MFlops
     78 :    36504.00 MFlops
     79 :    37926.08 MFlops
     80 :    51200.00 MFlops
     81 :    44286.75 MFlops
     82 :    45947.33 MFlops
     83 :    47648.92 MFlops
     84 :    49392.00 MFlops
     85 :    43866.07 MFlops
     86 :    48927.38 MFlops
     87 :    47035.93 MFlops
     88 :    52420.92 MFlops
     89 :    50354.93 MFlops
     90 :    52071.43 MFlops
     91 :    50238.07 MFlops
     92 :    55620.57 MFlops
     93 :    50272.31 MFlops
     94 :    46143.56 MFlops
     95 :    47631.94 MFlops
     96 :    58982.40 MFlops
     97 :    57042.06 MFlops
     98 :    62746.13 MFlops
     99 :    60643.69 MFlops
    100 :    62500.00 MFlops
    101 :    60605.94 MFlops
    102 :    55853.05 MFlops
    103 :    54636.35 MFlops
    104 :      958.15 MFlops
    105 :    52619.32 MFlops
    106 :    59550.80 MFlops
    107 :    35001.23 MFlops
    108 :    37050.35 MFlops
    109 :    35000.78 MFlops
    110 :    35972.97 MFlops
    111 :    33356.85 MFlops
    112 :    50176.00 MFlops
    113 :    48096.57 MFlops
    114 :    47791.74 MFlops
    115 :    47527.34 MFlops
    116 :    33210.55 MFlops
    117 :    32032.26 MFlops
    118 :    33531.27 MFlops
    119 :    28562.02 MFlops
    120 :    50823.53 MFlops
    121 :    40262.75 MFlops
    122 :    40352.18 MFlops
