From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.17 MFlops    0.000006 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :         inf MFlops    0.000000 sec
      6 :      216.00 MFlops    0.000001 sec
      7 :         inf MFlops    0.000000 sec
      8 :         inf MFlops    0.000000 sec
      9 :         inf MFlops    0.000000 sec
     10 :     1000.00 MFlops    0.000001 sec
     11 :     1331.00 MFlops    0.000001 sec
     12 :     1728.00 MFlops    0.000001 sec
     13 :         inf MFlops    0.000000 sec
     14 :      457.33 MFlops    0.000006 sec
     15 :         inf MFlops    0.000000 sec
     16 :     4096.00 MFlops    0.000001 sec
     17 :     4913.00 MFlops    0.000001 sec
     18 :     5832.00 MFlops    0.000001 sec
     19 :     6859.00 MFlops    0.000001 sec
     20 :     8000.00 MFlops    0.000001 sec
     21 :         inf MFlops    0.000000 sec
     22 :    10648.00 MFlops    0.000001 sec
     23 :    12167.00 MFlops    0.000001 sec
     24 :    13824.00 MFlops    0.000001 sec
     25 :    15625.00 MFlops    0.000001 sec
     26 :    17576.00 MFlops    0.000001 sec
     27 :    19683.00 MFlops    0.000001 sec
     28 :    21952.00 MFlops    0.000001 sec
     29 :    24389.00 MFlops    0.000001 sec
     30 :    27000.00 MFlops    0.000001 sec
     31 :    14895.50 MFlops    0.000002 sec
     32 :     1260.31 MFlops    0.000026 sec
     33 :    11979.00 MFlops    0.000003 sec
     34 :    19652.00 MFlops    0.000002 sec
     35 :    14291.67 MFlops    0.000003 sec
     36 :    15552.00 MFlops    0.000003 sec
     37 :    12663.25 MFlops    0.000004 sec
     38 :    18290.67 MFlops    0.000003 sec
     39 :    14829.75 MFlops    0.000004 sec
     40 :    16000.00 MFlops    0.000004 sec
     41 :    17230.25 MFlops    0.000004 sec
     42 :    14817.60 MFlops    0.000005 sec
     43 :    19876.75 MFlops    0.000004 sec
     44 :    17036.80 MFlops    0.000005 sec
     45 :    18225.00 MFlops    0.000005 sec
     46 :    19467.20 MFlops    0.000005 sec
     47 :    20764.60 MFlops    0.000005 sec
     48 :    12288.00 MFlops    0.000009 sec
     49 :    23529.80 MFlops    0.000005 sec
     50 :    25000.00 MFlops    0.000005 sec
     51 :    22108.50 MFlops    0.000006 sec
     52 :     5624.32 MFlops    0.000025 sec
     53 :    21268.14 MFlops    0.000007 sec
     54 :    26244.00 MFlops    0.000006 sec
     55 :    23767.86 MFlops    0.000007 sec
     56 :    25088.00 MFlops    0.000007 sec
     57 :    26456.14 MFlops    0.000007 sec
     58 :    27873.14 MFlops    0.000007 sec
     59 :    25672.37 MFlops    0.000008 sec
     60 :    30857.14 MFlops    0.000007 sec
     61 :    32425.86 MFlops    0.000007 sec
     62 :    34046.86 MFlops    0.000007 sec
     63 :    35721.00 MFlops    0.000007 sec
     64 :    32768.00 MFlops    0.000008 sec
     65 :    22885.42 MFlops    0.000012 sec
     66 :    35937.00 MFlops    0.000008 sec
     67 :    33418.11 MFlops    0.000009 sec
     68 :    31443.20 MFlops    0.000010 sec
     69 :    36501.00 MFlops    0.000009 sec
     70 :    34300.00 MFlops    0.000010 sec
     71 :    35791.10 MFlops    0.000010 sec
     72 :    31104.00 MFlops    0.000012 sec
     73 :    38901.70 MFlops    0.000010 sec
     74 :    40522.40 MFlops    0.000010 sec
     75 :    38352.27 MFlops    0.000011 sec
     76 :    39906.91 MFlops    0.000011 sec
     77 :    38044.42 MFlops    0.000012 sec
     78 :    39546.00 MFlops    0.000012 sec
     79 :    41086.58 MFlops    0.000012 sec
     80 :    30117.65 MFlops    0.000017 sec
     81 :    40880.08 MFlops    0.000013 sec
     82 :    42412.92 MFlops    0.000013 sec
     83 :    43983.62 MFlops    0.000013 sec
     84 :    42336.00 MFlops    0.000014 sec
     85 :    43866.07 MFlops    0.000014 sec
     86 :    42403.73 MFlops    0.000015 sec
     87 :    41156.44 MFlops    0.000016 sec
     88 :    37859.56 MFlops    0.000018 sec
     89 :    46997.93 MFlops    0.000015 sec
     90 :    45562.50 MFlops    0.000016 sec
     91 :    44327.71 MFlops    0.000017 sec
     92 :    43260.44 MFlops    0.000018 sec
     93 :    47315.12 MFlops    0.000017 sec
     94 :    36112.35 MFlops    0.000023 sec
     95 :    47631.94 MFlops    0.000018 sec
     96 :    49152.00 MFlops    0.000018 sec
     97 :    48035.42 MFlops    0.000019 sec
     98 :    42781.45 MFlops    0.000022 sec
     99 :    46204.71 MFlops    0.000021 sec
    100 :    43478.26 MFlops    0.000023 sec
    101 :    21464.60 MFlops    0.000048 sec
    102 :    46139.48 MFlops    0.000023 sec
    103 :     3691.65 MFlops    0.000296 sec
    104 :    33084.24 MFlops    0.000034 sec
    105 :    46305.00 MFlops    0.000025 sec
    106 :    47640.64 MFlops    0.000025 sec
    107 :    47117.04 MFlops    0.000026 sec
    108 :    40635.87 MFlops    0.000031 sec
    109 :    49808.81 MFlops    0.000026 sec
    110 :    49296.30 MFlops    0.000027 sec
    111 :    50653.00 MFlops    0.000027 sec
    112 :    41321.41 MFlops    0.000034 sec
    113 :    49755.07 MFlops    0.000029 sec
    114 :    51087.72 MFlops    0.000029 sec
    115 :    49060.48 MFlops    0.000031 sec
    116 :    47299.88 MFlops    0.000033 sec
    117 :    50050.41 MFlops    0.000032 sec
    118 :    49788.85 MFlops    0.000033 sec
    119 :    46809.97 MFlops    0.000036 sec
    120 :    38400.00 MFlops    0.000045 sec
    121 :    49210.03 MFlops    0.000036 sec
    122 :    51881.37 MFlops    0.000035 sec
    123 :    53167.63 MFlops    0.000035 sec
    124 :    29791.00 MFlops    0.000064 sec
    125 :    20345.05 MFlops    0.000096 sec
    126 :    52641.47 MFlops    0.000038 sec
    127 :    68279.43 MFlops    0.000030 sec
    128 :    69905.07 MFlops    0.000030 sec
    129 :    55043.31 MFlops    0.000039 sec
    130 :    54925.00 MFlops    0.000040 sec
    131 :    64231.17 MFlops    0.000035 sec
    132 :    65713.37 MFlops    0.000035 sec
    133 :    57381.39 MFlops    0.000041 sec
    134 :    60152.60 MFlops    0.000040 sec
    135 :    66496.62 MFlops    0.000037 sec
    136 :    67985.30 MFlops    0.000037 sec
    137 :    67667.18 MFlops    0.000038 sec
    138 :    69159.79 MFlops    0.000038 sec
    139 :    68862.03 MFlops    0.000039 sec
    140 :    72210.53 MFlops    0.000038 sec
    141 :    71877.46 MFlops    0.000039 sec
    142 :    73417.64 MFlops    0.000039 sec
    143 :    73105.18 MFlops    0.000040 sec
    144 :    74649.60 MFlops    0.000040 sec
    145 :    69286.93 MFlops    0.000044 sec
    146 :    67655.13 MFlops    0.000046 sec
    147 :    69054.85 MFlops    0.000046 sec
    148 :    72039.82 MFlops    0.000045 sec
    149 :    71911.93 MFlops    0.000046 sec
    150 :    19285.71 MFlops    0.000175 sec
    151 :    60402.65 MFlops    0.000057 sec
    152 :    61610.67 MFlops    0.000057 sec
    153 :    25953.46 MFlops    0.000138 sec
    154 :    67634.52 MFlops    0.000054 sec
    155 :    68960.65 MFlops    0.000054 sec
    156 :     3410.98 MFlops    0.001113 sec
    157 :    69105.23 MFlops    0.000056 sec
    158 :    49303.90 MFlops    0.000080 sec
    159 :    70520.68 MFlops    0.000057 sec
    160 :    71859.65 MFlops    0.000057 sec
    161 :    71953.12 MFlops    0.000058 sec
    162 :    72059.80 MFlops    0.000059 sec
    163 :    69850.76 MFlops    0.000062 sec
    164 :    70014.98 MFlops    0.000063 sec
    165 :    71303.57 MFlops    0.000063 sec
    166 :    70373.78 MFlops    0.000065 sec
    167 :    69514.37 MFlops    0.000067 sec
    168 :    68719.30 MFlops    0.000069 sec
    169 :    69953.75 MFlops    0.000069 sec
    170 :    72250.00 MFlops    0.000068 sec
    171 :    71431.59 MFlops    0.000070 sec
    172 :    71668.28 MFlops    0.000071 sec
    173 :    73967.39 MFlops    0.000070 sec
    174 :    72164.71 MFlops    0.000073 sec
    175 :      603.94 MFlops    0.008874 sec
    176 :      591.04 MFlops    0.009224 sec
    177 :    19254.28 MFlops    0.000288 sec
    178 :    72304.51 MFlops    0.000078 sec
    179 :    58523.87 MFlops    0.000098 sec
    180 :      729.18 MFlops    0.007998 sec
    181 :     8270.21 MFlops    0.000717 sec
    182 :    79323.26 MFlops    0.000076 sec
    183 :    80637.99 MFlops    0.000076 sec
    184 :    42667.84 MFlops    0.000146 sec
    185 :    81174.68 MFlops    0.000078 sec
    186 :    81453.87 MFlops    0.000079 sec
    187 :    80730.90 MFlops    0.000081 sec
    188 :    84109.77 MFlops    0.000079 sec
    189 :    83349.00 MFlops    0.000081 sec
    190 :    84679.01 MFlops    0.000081 sec
    191 :    83950.25 MFlops    0.000083 sec
    192 :    87381.33 MFlops    0.000081 sec
    193 :     8897.35 MFlops    0.000808 sec
    194 :    71582.20 MFlops    0.000102 sec
    195 :    75661.99 MFlops    0.000098 sec
    196 :    58368.50 MFlops    0.000129 sec
    197 :    75696.76 MFlops    0.000101 sec
    198 :    76101.88 MFlops    0.000102 sec
    199 :    72968.51 MFlops    0.000108 sec
    200 :    72727.27 MFlops    0.000110 sec
