From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.25 MFlops  0.000004000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :        4.92 MFlops  0.000013000 sec
      9 :       81.00 MFlops  0.000001000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :      144.00 MFlops  0.000001000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :      289.00 MFlops  0.000001000 sec
     18 :      162.00 MFlops  0.000002000 sec
     19 :      180.50 MFlops  0.000002000 sec
     20 :      400.00 MFlops  0.000001000 sec
     21 :      441.00 MFlops  0.000001000 sec
     22 :      484.00 MFlops  0.000001000 sec
     23 :      529.00 MFlops  0.000001000 sec
     24 :      576.00 MFlops  0.000001000 sec
     25 :      625.00 MFlops  0.000001000 sec
     26 :      676.00 MFlops  0.000001000 sec
     27 :      729.00 MFlops  0.000001000 sec
     28 :      392.00 MFlops  0.000002000 sec
     29 :      420.50 MFlops  0.000002000 sec
     30 :      900.00 MFlops  0.000001000 sec
     31 :      480.50 MFlops  0.000002000 sec
     32 :     1024.00 MFlops  0.000001000 sec
     33 :      544.50 MFlops  0.000002000 sec
     34 :     1156.00 MFlops  0.000001000 sec
     35 :      612.50 MFlops  0.000002000 sec
     36 :     1296.00 MFlops  0.000001000 sec
     37 :     1369.00 MFlops  0.000001000 sec
     38 :      722.00 MFlops  0.000002000 sec
     39 :      760.50 MFlops  0.000002000 sec
     40 :     1600.00 MFlops  0.000001000 sec
     41 :      840.50 MFlops  0.000002000 sec
     42 :      882.00 MFlops  0.000002000 sec
     43 :      924.50 MFlops  0.000002000 sec
     44 :      968.00 MFlops  0.000002000 sec
     45 :     1012.50 MFlops  0.000002000 sec
     46 :     1058.00 MFlops  0.000002000 sec
     47 :     1104.50 MFlops  0.000002000 sec
     48 :     1152.00 MFlops  0.000002000 sec
     49 :     1200.50 MFlops  0.000002000 sec
     50 :      833.33 MFlops  0.000003000 sec
     51 :     1300.50 MFlops  0.000002000 sec
     52 :     1352.00 MFlops  0.000002000 sec
     53 :     1404.50 MFlops  0.000002000 sec
     54 :     1458.00 MFlops  0.000002000 sec
     55 :     1512.50 MFlops  0.000002000 sec
     56 :     1045.33 MFlops  0.000003000 sec
     57 :     1624.50 MFlops  0.000002000 sec
     58 :     1682.00 MFlops  0.000002000 sec
     59 :     1740.50 MFlops  0.000002000 sec
     60 :     1800.00 MFlops  0.000002000 sec
     61 :     1240.33 MFlops  0.000003000 sec
     62 :     1281.33 MFlops  0.000003000 sec
     63 :     1984.50 MFlops  0.000002000 sec
     64 :     2048.00 MFlops  0.000002000 sec
     65 :     1408.33 MFlops  0.000003000 sec
     66 :     1452.00 MFlops  0.000003000 sec
     67 :     2244.50 MFlops  0.000002000 sec
     68 :     2312.00 MFlops  0.000002000 sec
     69 :     1587.00 MFlops  0.000003000 sec
     70 :     1633.33 MFlops  0.000003000 sec
     71 :     2520.50 MFlops  0.000002000 sec
     72 :     1728.00 MFlops  0.000003000 sec
     73 :     1776.33 MFlops  0.000003000 sec
     74 :     1825.33 MFlops  0.000003000 sec
     75 :     1875.00 MFlops  0.000003000 sec
     76 :     1925.33 MFlops  0.000003000 sec
     77 :     2964.50 MFlops  0.000002000 sec
     78 :     2028.00 MFlops  0.000003000 sec
     79 :     3120.50 MFlops  0.000002000 sec
     80 :     2133.33 MFlops  0.000003000 sec
     81 :     2187.00 MFlops  0.000003000 sec
     82 :     2241.33 MFlops  0.000003000 sec
     83 :     1722.25 MFlops  0.000004000 sec
     84 :     2352.00 MFlops  0.000003000 sec
     85 :     2408.33 MFlops  0.000003000 sec
     86 :     1849.00 MFlops  0.000004000 sec
     87 :     2523.00 MFlops  0.000003000 sec
     88 :     2581.33 MFlops  0.000003000 sec
     89 :     2640.33 MFlops  0.000003000 sec
     90 :     2700.00 MFlops  0.000003000 sec
     91 :     2070.25 MFlops  0.000004000 sec
     92 :     2116.00 MFlops  0.000004000 sec
     93 :     2162.25 MFlops  0.000004000 sec
     94 :     2945.33 MFlops  0.000003000 sec
     95 :     2256.25 MFlops  0.000004000 sec
     96 :     3072.00 MFlops  0.000003000 sec
     97 :     3136.33 MFlops  0.000003000 sec
     98 :     2401.00 MFlops  0.000004000 sec
     99 :     2450.25 MFlops  0.000004000 sec
    100 :     3333.33 MFlops  0.000003000 sec
    101 :     2550.25 MFlops  0.000004000 sec
    102 :     2601.00 MFlops  0.000004000 sec
    103 :     2121.80 MFlops  0.000005000 sec
    104 :     2704.00 MFlops  0.000004000 sec
    105 :     2756.25 MFlops  0.000004000 sec
    106 :     2809.00 MFlops  0.000004000 sec
    107 :     2862.25 MFlops  0.000004000 sec
    108 :     2916.00 MFlops  0.000004000 sec
    109 :     2970.25 MFlops  0.000004000 sec
    110 :     3025.00 MFlops  0.000004000 sec
    111 :     3080.25 MFlops  0.000004000 sec
    112 :     4181.33 MFlops  0.000003000 sec
    113 :     3192.25 MFlops  0.000004000 sec
    114 :     3249.00 MFlops  0.000004000 sec
    115 :     2645.00 MFlops  0.000005000 sec
    116 :     3364.00 MFlops  0.000004000 sec
    117 :     3422.25 MFlops  0.000004000 sec
    118 :     3481.00 MFlops  0.000004000 sec
    119 :     3540.25 MFlops  0.000004000 sec
    120 :     3600.00 MFlops  0.000004000 sec
    121 :     3660.25 MFlops  0.000004000 sec
    122 :     3721.00 MFlops  0.000004000 sec
    123 :     3782.25 MFlops  0.000004000 sec
    124 :     3844.00 MFlops  0.000004000 sec
    125 :     3906.25 MFlops  0.000004000 sec
    126 :     3969.00 MFlops  0.000004000 sec
    127 :     4032.25 MFlops  0.000004000 sec
    128 :     3276.80 MFlops  0.000005000 sec
    129 :     3328.20 MFlops  0.000005000 sec
    130 :     4225.00 MFlops  0.000004000 sec
    131 :     4290.25 MFlops  0.000004000 sec
    132 :     3484.80 MFlops  0.000005000 sec
    133 :     4422.25 MFlops  0.000004000 sec
    134 :     4489.00 MFlops  0.000004000 sec
    135 :     3645.00 MFlops  0.000005000 sec
    136 :     4624.00 MFlops  0.000004000 sec
    137 :     3753.80 MFlops  0.000005000 sec
    138 :     4761.00 MFlops  0.000004000 sec
    139 :     3864.20 MFlops  0.000005000 sec
    140 :        0.12 MFlops  0.160130000 sec
    141 :       13.40 MFlops  0.001484000 sec
    142 :     4032.80 MFlops  0.000005000 sec
    143 :     3408.17 MFlops  0.000006000 sec
    144 :     3456.00 MFlops  0.000006000 sec
    145 :     3504.17 MFlops  0.000006000 sec
    146 :     4263.20 MFlops  0.000005000 sec
    147 :     3601.50 MFlops  0.000006000 sec
    148 :     3650.67 MFlops  0.000006000 sec
    149 :     3700.17 MFlops  0.000006000 sec
    150 :     4500.00 MFlops  0.000005000 sec
    151 :     3800.17 MFlops  0.000006000 sec
    152 :     3850.67 MFlops  0.000006000 sec
    153 :     3901.50 MFlops  0.000006000 sec
    154 :     3952.67 MFlops  0.000006000 sec
    155 :     3432.14 MFlops  0.000007000 sec
    156 :     4056.00 MFlops  0.000006000 sec
    157 :        3.30 MFlops  0.007473000 sec
    158 :     3566.29 MFlops  0.000007000 sec
    159 :     4213.50 MFlops  0.000006000 sec
    160 :      556.52 MFlops  0.000046000 sec
    161 :     5184.20 MFlops  0.000005000 sec
    162 :      115.11 MFlops  0.000228000 sec
    163 :     2043.77 MFlops  0.000013000 sec
    164 :      226.02 MFlops  0.000119000 sec
    165 :     3889.29 MFlops  0.000007000 sec
    166 :     3936.57 MFlops  0.000007000 sec
    167 :     3984.14 MFlops  0.000007000 sec
    168 :       81.10 MFlops  0.000348000 sec
    169 :     5712.20 MFlops  0.000005000 sec
    170 :     5780.00 MFlops  0.000005000 sec
    171 :     5848.20 MFlops  0.000005000 sec
    172 :     4930.67 MFlops  0.000006000 sec
    173 :       14.08 MFlops  0.002125000 sec
    174 :     1441.71 MFlops  0.000021000 sec
    175 :     6125.00 MFlops  0.000005000 sec
    176 :     5162.67 MFlops  0.000006000 sec
    177 :     4475.57 MFlops  0.000007000 sec
    178 :     6336.80 MFlops  0.000005000 sec
    179 :     6408.20 MFlops  0.000005000 sec
    180 :     6480.00 MFlops  0.000005000 sec
    181 :     6552.20 MFlops  0.000005000 sec
    182 :     6624.80 MFlops  0.000005000 sec
    183 :     6697.80 MFlops  0.000005000 sec
    184 :     6771.20 MFlops  0.000005000 sec
    185 :     6845.00 MFlops  0.000005000 sec
    186 :       26.37 MFlops  0.001312000 sec
    187 :     2497.79 MFlops  0.000014000 sec
    188 :     4418.00 MFlops  0.000008000 sec
