From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
      1 :        0.50 MFlops   0.000002 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :         inf MFlops   0.000000 sec
     11 :         inf MFlops   0.000000 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :         inf MFlops   0.000000 sec
     15 :         inf MFlops   0.000000 sec
     16 :      256.00 MFlops   0.000001 sec
     17 :      289.00 MFlops   0.000001 sec
     18 :      324.00 MFlops   0.000001 sec
     19 :      361.00 MFlops   0.000001 sec
     20 :         inf MFlops   0.000000 sec
     21 :         inf MFlops   0.000000 sec
     22 :      484.00 MFlops   0.000001 sec
     23 :         inf MFlops   0.000000 sec
     24 :         inf MFlops   0.000000 sec
     25 :         inf MFlops   0.000000 sec
     26 :         inf MFlops   0.000000 sec
     27 :         inf MFlops   0.000000 sec
     28 :         inf MFlops   0.000000 sec
     29 :         inf MFlops   0.000000 sec
     30 :         inf MFlops   0.000000 sec
     31 :         inf MFlops   0.000000 sec
     32 :         inf MFlops   0.000000 sec
     33 :     1089.00 MFlops   0.000001 sec
     34 :     1156.00 MFlops   0.000001 sec
     35 :     1225.00 MFlops   0.000001 sec
     36 :     1296.00 MFlops   0.000001 sec
     37 :     1369.00 MFlops   0.000001 sec
     38 :         inf MFlops   0.000000 sec
     39 :     1521.00 MFlops   0.000001 sec
     40 :     1600.00 MFlops   0.000001 sec
     41 :     1681.00 MFlops   0.000001 sec
     42 :     1764.00 MFlops   0.000001 sec
     43 :     1849.00 MFlops   0.000001 sec
     44 :     1936.00 MFlops   0.000001 sec
     45 :     2025.00 MFlops   0.000001 sec
     46 :     2116.00 MFlops   0.000001 sec
     47 :     2209.00 MFlops   0.000001 sec
     48 :     1152.00 MFlops   0.000002 sec
     49 :     2401.00 MFlops   0.000001 sec
     50 :     1250.00 MFlops   0.000002 sec
     51 :     2601.00 MFlops   0.000001 sec
     52 :     2704.00 MFlops   0.000001 sec
     53 :     2809.00 MFlops   0.000001 sec
     54 :     2916.00 MFlops   0.000001 sec
     55 :     3025.00 MFlops   0.000001 sec
     56 :     3136.00 MFlops   0.000001 sec
     57 :     3249.00 MFlops   0.000001 sec
     58 :     1682.00 MFlops   0.000002 sec
     59 :     1740.50 MFlops   0.000002 sec
     60 :     3600.00 MFlops   0.000001 sec
     61 :     1860.50 MFlops   0.000002 sec
     62 :      349.45 MFlops   0.000011 sec
     63 :     3969.00 MFlops   0.000001 sec
     64 :     4096.00 MFlops   0.000001 sec
     65 :     4225.00 MFlops   0.000001 sec
     66 :     4356.00 MFlops   0.000001 sec
     67 :     4489.00 MFlops   0.000001 sec
     68 :     2312.00 MFlops   0.000002 sec
     69 :     2380.50 MFlops   0.000002 sec
     70 :     4900.00 MFlops   0.000001 sec
     71 :     5041.00 MFlops   0.000001 sec
     72 :     2592.00 MFlops   0.000002 sec
     73 :     5329.00 MFlops   0.000001 sec
     74 :     2738.00 MFlops   0.000002 sec
     75 :     2812.50 MFlops   0.000002 sec
     76 :     5776.00 MFlops   0.000001 sec
     77 :     5929.00 MFlops   0.000001 sec
     78 :     6084.00 MFlops   0.000001 sec
     79 :     6241.00 MFlops   0.000001 sec
     80 :     3200.00 MFlops   0.000002 sec
     81 :     3280.50 MFlops   0.000002 sec
     82 :     3362.00 MFlops   0.000002 sec
     83 :     3444.50 MFlops   0.000002 sec
     84 :     7056.00 MFlops   0.000001 sec
     85 :     7225.00 MFlops   0.000001 sec
     86 :     7396.00 MFlops   0.000001 sec
     87 :     7569.00 MFlops   0.000001 sec
     88 :     7744.00 MFlops   0.000001 sec
     89 :     7921.00 MFlops   0.000001 sec
     90 :     8100.00 MFlops   0.000001 sec
     91 :     8281.00 MFlops   0.000001 sec
     92 :     4232.00 MFlops   0.000002 sec
     93 :     4324.50 MFlops   0.000002 sec
     94 :     8836.00 MFlops   0.000001 sec
     95 :     4512.50 MFlops   0.000002 sec
     96 :     4608.00 MFlops   0.000002 sec
     97 :     4704.50 MFlops   0.000002 sec
     98 :     4802.00 MFlops   0.000002 sec
     99 :     4900.50 MFlops   0.000002 sec
    100 :    10000.00 MFlops   0.000001 sec
    101 :    10201.00 MFlops   0.000001 sec
    102 :    10404.00 MFlops   0.000001 sec
    103 :     5304.50 MFlops   0.000002 sec
    104 :      983.27 MFlops   0.000011 sec
    105 :     5512.50 MFlops   0.000002 sec
    106 :     5618.00 MFlops   0.000002 sec
    107 :     5724.50 MFlops   0.000002 sec
    108 :    11664.00 MFlops   0.000001 sec
    109 :    11881.00 MFlops   0.000001 sec
    110 :    12100.00 MFlops   0.000001 sec
    111 :    12321.00 MFlops   0.000001 sec
    112 :     6272.00 MFlops   0.000002 sec
    113 :    12769.00 MFlops   0.000001 sec
    114 :    12996.00 MFlops   0.000001 sec
    115 :    13225.00 MFlops   0.000001 sec
    116 :    13456.00 MFlops   0.000001 sec
    117 :    13689.00 MFlops   0.000001 sec
    118 :    13924.00 MFlops   0.000001 sec
    119 :    14161.00 MFlops   0.000001 sec
    120 :    14400.00 MFlops   0.000001 sec
    121 :     7320.50 MFlops   0.000002 sec
    122 :     7442.00 MFlops   0.000002 sec
    123 :     7564.50 MFlops   0.000002 sec
    124 :     7688.00 MFlops   0.000002 sec
    125 :    15625.00 MFlops   0.000001 sec
    126 :    15876.00 MFlops   0.000001 sec
    127 :     8064.50 MFlops   0.000002 sec
    128 :     8192.00 MFlops   0.000002 sec
    129 :     8320.50 MFlops   0.000002 sec
    130 :     8450.00 MFlops   0.000002 sec
    131 :    17161.00 MFlops   0.000001 sec
    132 :     8712.00 MFlops   0.000002 sec
    133 :     8844.50 MFlops   0.000002 sec
    134 :    17956.00 MFlops   0.000001 sec
    135 :    18225.00 MFlops   0.000001 sec
    136 :     9248.00 MFlops   0.000002 sec
    137 :    18769.00 MFlops   0.000001 sec
    138 :    19044.00 MFlops   0.000001 sec
    139 :     9660.50 MFlops   0.000002 sec
    140 :     9800.00 MFlops   0.000002 sec
    141 :     9940.50 MFlops   0.000002 sec
    142 :    10082.00 MFlops   0.000002 sec
    143 :    20449.00 MFlops   0.000001 sec
    144 :    10368.00 MFlops   0.000002 sec
    145 :    10512.50 MFlops   0.000002 sec
    146 :    10658.00 MFlops   0.000002 sec
    147 :    10804.50 MFlops   0.000002 sec
    148 :    10952.00 MFlops   0.000002 sec
    149 :    11100.50 MFlops   0.000002 sec
    150 :    11250.00 MFlops   0.000002 sec
    151 :    22801.00 MFlops   0.000001 sec
    152 :    11552.00 MFlops   0.000002 sec
    153 :    11704.50 MFlops   0.000002 sec
    154 :    11858.00 MFlops   0.000002 sec
    155 :    12012.50 MFlops   0.000002 sec
    156 :    12168.00 MFlops   0.000002 sec
    157 :    12324.50 MFlops   0.000002 sec
    158 :    12482.00 MFlops   0.000002 sec
    159 :     8427.00 MFlops   0.000003 sec
    160 :      324.05 MFlops   0.000079 sec
    161 :        2.66 MFlops   0.009732 sec
    162 :        2.67 MFlops   0.009836 sec
    163 :      830.28 MFlops   0.000032 sec
    164 :        2.85 MFlops   0.009452 sec
    165 :     9075.00 MFlops   0.000003 sec
    166 :    13778.00 MFlops   0.000002 sec
    167 :    13944.50 MFlops   0.000002 sec
    168 :    14112.00 MFlops   0.000002 sec
    169 :    28561.00 MFlops   0.000001 sec
    170 :    28900.00 MFlops   0.000001 sec
    171 :    14620.50 MFlops   0.000002 sec
    172 :    14792.00 MFlops   0.000002 sec
    173 :    14964.50 MFlops   0.000002 sec
    174 :    30276.00 MFlops   0.000001 sec
    175 :    10208.33 MFlops   0.000003 sec
    176 :        4.02 MFlops   0.007710 sec
    177 :      895.11 MFlops   0.000035 sec
    178 :     7921.00 MFlops   0.000004 sec
    179 :     5340.17 MFlops   0.000006 sec
    180 :     6480.00 MFlops   0.000005 sec
    181 :     6552.20 MFlops   0.000005 sec
    182 :     6624.80 MFlops   0.000005 sec
    183 :     6697.80 MFlops   0.000005 sec
    184 :     6771.20 MFlops   0.000005 sec
    185 :     6845.00 MFlops   0.000005 sec
    186 :     6919.20 MFlops   0.000005 sec
    187 :     6993.80 MFlops   0.000005 sec
    188 :     7068.80 MFlops   0.000005 sec
    189 :     7144.20 MFlops   0.000005 sec
    190 :     7220.00 MFlops   0.000005 sec
    191 :     7296.20 MFlops   0.000005 sec
    192 :     7372.80 MFlops   0.000005 sec
    193 :     7449.80 MFlops   0.000005 sec
    194 :     7527.20 MFlops   0.000005 sec
    195 :     6337.50 MFlops   0.000006 sec
    196 :     7683.20 MFlops   0.000005 sec
    197 :     7761.80 MFlops   0.000005 sec
    198 :     6534.00 MFlops   0.000006 sec
    199 :     7920.20 MFlops   0.000005 sec
    200 :     6666.67 MFlops   0.000006 sec
