From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.40 MFlops
      2 :        3.20 MFlops
      3 :        3.86 MFlops
      4 :       64.00 MFlops
      5 :       20.83 MFlops
      6 :      216.00 MFlops
      7 :      228.67 MFlops
      8 :      341.33 MFlops
      9 :      121.50 MFlops
     10 :      666.67 MFlops
     11 :      887.33 MFlops
     12 :      864.00 MFlops
     13 :     1464.67 MFlops
     14 :     1829.33 MFlops
     15 :     1350.00 MFlops
     16 :     1638.40 MFlops
     17 :     1637.67 MFlops
     18 :     1666.29 MFlops
     19 :     2286.33 MFlops
     20 :     2285.71 MFlops
     21 :     3087.00 MFlops
     22 :     3549.33 MFlops
     23 :     4055.67 MFlops
     24 :     3949.71 MFlops
     25 :     5208.33 MFlops
     26 :     5858.67 MFlops
     27 :     6561.00 MFlops
     28 :     7317.33 MFlops
     29 :     6968.29 MFlops
     30 :     2842.11 MFlops
     31 :     9930.33 MFlops
     32 :    10922.67 MFlops
     33 :    10267.71 MFlops
     34 :    11229.71 MFlops
     35 :    12250.00 MFlops
     36 :    10368.00 MFlops
     37 :    11256.22 MFlops
     38 :    10974.40 MFlops
     39 :    13182.00 MFlops
     40 :    14222.22 MFlops
     41 :    13784.20 MFlops
     42 :    14817.60 MFlops
     43 :    15901.40 MFlops
     44 :    17036.80 MFlops
     45 :    16568.18 MFlops
     46 :    17697.45 MFlops
     47 :    18876.91 MFlops
     48 :    20107.64 MFlops
     49 :    19608.17 MFlops
     50 :    17857.14 MFlops
     51 :    18950.14 MFlops
     52 :    18747.73 MFlops
     53 :    21268.14 MFlops
     54 :    22494.86 MFlops
     55 :    20796.87 MFlops
     56 :    21952.00 MFlops
     57 :    23149.12 MFlops
     58 :    26014.93 MFlops
     59 :    27383.87 MFlops
     60 :    28800.00 MFlops
     61 :    32425.86 MFlops
     62 :    36665.85 MFlops
     63 :    41674.50 MFlops
     64 :    58254.22 MFlops
     65 :    49931.82 MFlops
     66 :    47916.00 MFlops
     67 :    46271.23 MFlops
     68 :    44918.86 MFlops
     69 :    43801.20 MFlops
     70 :    42875.00 MFlops
     71 :    44738.87 MFlops
     72 :    41472.00 MFlops
     73 :    45766.71 MFlops
     74 :    47673.41 MFlops
     75 :    49632.35 MFlops
     76 :    48775.11 MFlops
     77 :    45653.30 MFlops
     78 :    47455.20 MFlops
     79 :    46956.10 MFlops
     80 :    46545.45 MFlops
     81 :    50613.43 MFlops
     82 :    45947.33 MFlops
     83 :    45742.96 MFlops
     84 :    45592.62 MFlops
     85 :    45490.74 MFlops
     86 :    47115.26 MFlops
     87 :    47035.93 MFlops
     88 :    50479.41 MFlops
     89 :    52219.93 MFlops
     90 :    54000.00 MFlops
     91 :    55820.07 MFlops
     92 :    57680.59 MFlops
     93 :    26811.90 MFlops
     94 :    59327.43 MFlops
     95 :    61241.07 MFlops
     96 :    68056.62 MFlops
     97 :    79362.87 MFlops
     98 :    60722.06 MFlops
     99 :    62599.94 MFlops
    100 :    60606.06 MFlops
    101 :    15377.63 MFlops
    102 :    48236.73 MFlops
    103 :    60707.06 MFlops
    104 :    60803.46 MFlops
    105 :    62574.32 MFlops
    106 :    62685.05 MFlops
    107 :    62822.72 MFlops
    108 :    62985.60 MFlops
    109 :    34534.11 MFlops
    110 :      274.89 MFlops
    111 :      280.25 MFlops
    112 :     6787.09 MFlops
    113 :    54448.94 MFlops
    114 :    56982.46 MFlops
    115 :    58495.19 MFlops
    116 :    57810.96 MFlops
    117 :    59319.00 MFlops
    118 :    63193.54 MFlops
    119 :    63590.91 MFlops
    120 :    67764.71 MFlops
    121 :    69472.98 MFlops
    122 :    72633.92 MFlops
    123 :    75953.76 MFlops
    124 :    77821.39 MFlops
    125 :    83111.70 MFlops
    126 :    86972.87 MFlops
    127 :    93108.32 MFlops
    128 :   155344.59 MFlops
    129 :    12931.86 MFlops
    130 :   109850.00 MFlops
    131 :   102185.95 MFlops
    132 :   109522.29 MFlops
    133 :   102288.57 MFlops
    134 :   102387.40 MFlops
    135 :   114436.05 MFlops
    136 :   109367.65 MFlops
    137 :    17142.35 MFlops
    138 :   109503.00 MFlops
    139 :   111900.79 MFlops
    140 :   114333.33 MFlops
    141 :   107816.19 MFlops
    142 :   112285.80 MFlops
    143 :   112469.50 MFlops
    144 :   112678.64 MFlops
    145 :   112912.04 MFlops
    146 :    92899.58 MFlops
    147 :    31450.72 MFlops
    148 :    95346.82 MFlops
    149 :    20170.42 MFlops
    150 :    97826.09 MFlops
    151 :    99795.68 MFlops
    152 :     9121.58 MFlops
    153 :   100889.49 MFlops
    154 :   107419.53 MFlops
    155 :   107938.41 MFlops
    156 :   111659.29 MFlops
    157 :   112170.81 MFlops
    158 :   114327.88 MFlops
    159 :   119990.42 MFlops
    160 :    26340.84 MFlops
    161 :   134621.97 MFlops
    162 :    17938.94 MFlops
    163 :     3516.64 MFlops
    164 :    47685.88 MFlops
    165 :    92621.13 MFlops
    166 :   114357.40 MFlops
    167 :    67013.86 MFlops
    168 :   114256.19 MFlops
    169 :   113571.98 MFlops
    170 :   114255.81 MFlops
    171 :   113641.16 MFlops
    172 :     6511.13 MFlops
    173 :     7791.90 MFlops
    174 :   110905.77 MFlops
    175 :   111653.65 MFlops
    176 :   111260.73 MFlops
    177 :   113168.02 MFlops
    178 :   113934.38 MFlops
    179 :   118254.41 MFlops
    180 :    94829.27 MFlops
    181 :   101363.09 MFlops
    182 :     7783.82 MFlops
    183 :    17410.47 MFlops
    184 :   104697.55 MFlops
    185 :    35975.14 MFlops
    186 :   113891.26 MFlops
    187 :   116771.48 MFlops
    188 :   117604.81 MFlops
    189 :   121644.49 MFlops
    190 :   124709.09 MFlops
    191 :   129034.65 MFlops
    192 :    27486.94 MFlops
    193 :   149772.02 MFlops
    194 :   175936.96 MFlops
    195 :   180850.61 MFlops
    196 :   140738.99 MFlops
    197 :   144252.32 MFlops
    198 :   145091.44 MFlops
    199 :   144598.15 MFlops
    200 :   144144.14 MFlops
