From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.67 MFlops
      2x2 :         inf MFlops
      3x3 :        6.00 MFlops
      4x4 :       16.00 MFlops
      5x5 :       10.00 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :      128.00 MFlops
      9x9 :        0.10 MFlops
     10x10 :      200.00 MFlops
     11x11 :      242.00 MFlops
     12x12 :      288.00 MFlops
     13x13 :       67.60 MFlops
     14x14 :      392.00 MFlops
     15x15 :      450.00 MFlops
     16x16 :      512.00 MFlops
     17x17 :      289.00 MFlops
     18x18 :      324.00 MFlops
     19x19 :      722.00 MFlops
     20x20 :      266.67 MFlops
     21x21 :      882.00 MFlops
     22x22 :      968.00 MFlops
     23x23 :     1058.00 MFlops
     24x24 :     1152.00 MFlops
     25x25 :      312.50 MFlops
     26x26 :     1352.00 MFlops
     27x27 :     1458.00 MFlops
     28x28 :      784.00 MFlops
     29x29 :     1682.00 MFlops
     30x30 :      900.00 MFlops
     31x31 :     1922.00 MFlops
     32x32 :      409.60 MFlops
     33x33 :     2178.00 MFlops
     34x34 :     1156.00 MFlops
     35x35 :     1225.00 MFlops
     36x36 :     1296.00 MFlops
     37x37 :     1369.00 MFlops
     38x38 :     1444.00 MFlops
     39x39 :     3042.00 MFlops
     40x40 :     3200.00 MFlops
     41x41 :     3362.00 MFlops
     42x42 :     1764.00 MFlops
     43x43 :     1849.00 MFlops
     44x44 :      645.33 MFlops
     45x45 :     2025.00 MFlops
     46x46 :     2116.00 MFlops
     47x47 :     2209.00 MFlops
     48x48 :     2304.00 MFlops
     49x49 :     2401.00 MFlops
     50x50 :     2500.00 MFlops
     51x51 :     1734.00 MFlops
     52x52 :     2704.00 MFlops
     53x53 :     2809.00 MFlops
     54x54 :     2916.00 MFlops
     55x55 :     3025.00 MFlops
     56x56 :     3136.00 MFlops
     57x57 :     3249.00 MFlops
     58x58 :     3364.00 MFlops
     59x59 :     2320.67 MFlops
     60x60 :     3600.00 MFlops
     61x61 :     3721.00 MFlops
     62x62 :     3844.00 MFlops
     63x63 :     3969.00 MFlops
     64x64 :     4096.00 MFlops
     65x65 :     2816.67 MFlops
     66x66 :     2904.00 MFlops
     67x67 :     2992.67 MFlops
     68x68 :     3082.67 MFlops
     69x69 :     3174.00 MFlops
     70x70 :     3266.67 MFlops
     71x71 :     3360.67 MFlops
     72x72 :     5184.00 MFlops
     73x73 :     3552.67 MFlops
     74x74 :     3650.67 MFlops
     75x75 :     3750.00 MFlops
     76x76 :     5776.00 MFlops
     77x77 :     3952.67 MFlops
     78x78 :     6084.00 MFlops
     79x79 :     4160.67 MFlops
     80x80 :     6400.00 MFlops
     81x81 :     4374.00 MFlops
     82x82 :     4482.67 MFlops
     83x83 :     4592.67 MFlops
     84x84 :     7056.00 MFlops
     85x85 :     4816.67 MFlops
     86x86 :     4930.67 MFlops
     87x87 :     3784.50 MFlops
     88x88 :     5162.67 MFlops
     89x89 :     3960.50 MFlops
     90x90 :     5400.00 MFlops
     91x91 :     5520.67 MFlops
     92x92 :     5642.67 MFlops
     93x93 :     5766.00 MFlops
     94x94 :     5890.67 MFlops
     95x95 :     6016.67 MFlops
     96x96 :     6144.00 MFlops
     97x97 :     6272.67 MFlops
     98x98 :     6402.67 MFlops
     99x99 :     4900.50 MFlops
    100x100 :     6666.67 MFlops
    101x101 :     5100.50 MFlops
