From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.50 MFlops
      2 :         inf MFlops
      3 :        9.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :      256.00 MFlops
     17 :      289.00 MFlops
     18 :      324.00 MFlops
     19 :      361.00 MFlops
     20 :         inf MFlops
     21 :      441.00 MFlops
     22 :      484.00 MFlops
     23 :      529.00 MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :      841.00 MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :     1089.00 MFlops
     34 :     1156.00 MFlops
     35 :     1225.00 MFlops
     36 :         inf MFlops
     37 :     1369.00 MFlops
     38 :         inf MFlops
     39 :     1521.00 MFlops
     40 :     1600.00 MFlops
     41 :     1681.00 MFlops
     42 :     1764.00 MFlops
     43 :     1849.00 MFlops
     44 :     1936.00 MFlops
     45 :     2025.00 MFlops
     46 :     2116.00 MFlops
     47 :     2209.00 MFlops
     48 :     2304.00 MFlops
     49 :     1200.50 MFlops
     50 :     2500.00 MFlops
     51 :     2601.00 MFlops
     52 :     1352.00 MFlops
     53 :     2809.00 MFlops
     54 :     1458.00 MFlops
     55 :     3025.00 MFlops
     56 :     1568.00 MFlops
     57 :     3249.00 MFlops
     58 :     1682.00 MFlops
     59 :     1740.50 MFlops
     60 :     1800.00 MFlops
     61 :     1860.50 MFlops
     62 :     3844.00 MFlops
     63 :     3969.00 MFlops
     64 :     4096.00 MFlops
     65 :     2112.50 MFlops
     66 :     4356.00 MFlops
     67 :     2244.50 MFlops
     68 :     2312.00 MFlops
     69 :     2380.50 MFlops
     70 :     2450.00 MFlops
     71 :     2520.50 MFlops
     72 :     5184.00 MFlops
     73 :     5329.00 MFlops
     74 :     2738.00 MFlops
     75 :      468.75 MFlops
     76 :     2888.00 MFlops
     77 :     2964.50 MFlops
     78 :     6084.00 MFlops
     79 :     6241.00 MFlops
     80 :     6400.00 MFlops
     81 :     6561.00 MFlops
     82 :     3362.00 MFlops
     83 :     3444.50 MFlops
     84 :     3528.00 MFlops
     85 :     3612.50 MFlops
     86 :     3698.00 MFlops
     87 :     3784.50 MFlops
     88 :     3872.00 MFlops
     89 :     7921.00 MFlops
     90 :     4050.00 MFlops
     91 :     8281.00 MFlops
     92 :     4232.00 MFlops
     93 :     8649.00 MFlops
     94 :     4418.00 MFlops
     95 :     9025.00 MFlops
     96 :     4608.00 MFlops
     97 :     9409.00 MFlops
     98 :     9604.00 MFlops
     99 :     9801.00 MFlops
    100 :     5000.00 MFlops
    101 :     5100.50 MFlops
    102 :     5202.00 MFlops
    103 :     5304.50 MFlops
    104 :    10816.00 MFlops
    105 :     5512.50 MFlops
    106 :     5618.00 MFlops
    107 :    11449.00 MFlops
    108 :     5832.00 MFlops
    109 :     5940.50 MFlops
    110 :     6050.00 MFlops
    111 :     4107.00 MFlops
    112 :     6272.00 MFlops
    113 :     6384.50 MFlops
    114 :     6498.00 MFlops
    115 :     6612.50 MFlops
    116 :    13456.00 MFlops
    117 :     6844.50 MFlops
    118 :     6962.00 MFlops
    119 :    14161.00 MFlops
    120 :    14400.00 MFlops
    121 :     7320.50 MFlops
    122 :     7442.00 MFlops
    123 :     7564.50 MFlops
    124 :     7688.00 MFlops
    125 :     7812.50 MFlops
    126 :    15876.00 MFlops
    127 :     8064.50 MFlops
    128 :     8192.00 MFlops
    129 :     8320.50 MFlops
    130 :    16900.00 MFlops
    131 :     8580.50 MFlops
    132 :     8712.00 MFlops
    133 :     8844.50 MFlops
    134 :     8978.00 MFlops
    135 :     9112.50 MFlops
