From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.20 MFlops
      2 :        2.67 MFlops
      3 :         inf MFlops
      4 :       64.00 MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :      512.00 MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :     1331.00 MFlops
     12 :     1728.00 MFlops
     13 :     2197.00 MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :     4096.00 MFlops
     17 :     2456.50 MFlops
     18 :     5832.00 MFlops
     19 :         inf MFlops
     20 :     8000.00 MFlops
     21 :         inf MFlops
     22 :    10648.00 MFlops
     23 :    12167.00 MFlops
     24 :     6912.00 MFlops
     25 :    15625.00 MFlops
     26 :    17576.00 MFlops
     27 :    19683.00 MFlops
     28 :    10976.00 MFlops
     29 :    12194.50 MFlops
     30 :    13500.00 MFlops
     31 :    29791.00 MFlops
     32 :    16384.00 MFlops
     33 :    11979.00 MFlops
     34 :    39304.00 MFlops
     35 :    42875.00 MFlops
     36 :    23328.00 MFlops
     37 :    25326.50 MFlops
     38 :    27436.00 MFlops
     39 :    29659.50 MFlops
     40 :    32000.00 MFlops
     41 :    34460.50 MFlops
     42 :    37044.00 MFlops
     43 :    26502.33 MFlops
     44 :    42592.00 MFlops
     45 :    45562.50 MFlops
     46 :    32445.33 MFlops
     47 :    25955.75 MFlops
     48 :    22118.40 MFlops
     49 :    39216.33 MFlops
     50 :    41666.67 MFlops
     51 :    44217.00 MFlops
     52 :    46869.33 MFlops
     53 :    49625.67 MFlops
     54 :    52488.00 MFlops
     55 :    55458.33 MFlops
     56 :    58538.67 MFlops
     57 :    46298.25 MFlops
     58 :    48778.00 MFlops
     59 :    41075.80 MFlops
     60 :    54000.00 MFlops
     61 :    56745.25 MFlops
     62 :    47665.60 MFlops
     63 :    41674.50 MFlops
     64 :    65536.00 MFlops
     65 :    68656.25 MFlops
     66 :    71874.00 MFlops
     67 :    75190.75 MFlops
     68 :    78608.00 MFlops
     69 :    82127.25 MFlops
     70 :    68600.00 MFlops
     71 :    71582.20 MFlops
     72 :    93312.00 MFlops
     73 :    77803.40 MFlops
     74 :    81044.80 MFlops
     75 :    70312.50 MFlops
     76 :    87795.20 MFlops
     77 :    76088.83 MFlops
     78 :    67793.14 MFlops
     79 :    82173.17 MFlops
     80 :    22260.87 MFlops
     81 :    35429.40 MFlops
     82 :    42412.92 MFlops
     83 :    38119.13 MFlops
     84 :    42336.00 MFlops
     85 :    40941.67 MFlops
     86 :    39753.50 MFlops
     87 :    41156.44 MFlops
     88 :    42592.00 MFlops
     89 :    41468.76 MFlops
     90 :    40500.00 MFlops
     91 :    11593.40 MFlops
     92 :    35394.91 MFlops
     93 :    34972.04 MFlops
     94 :    69215.33 MFlops
     95 :    71447.92 MFlops
     96 :    42130.29 MFlops
     97 :    41485.14 MFlops
     98 :    42781.45 MFlops
     99 :    40429.12 MFlops
    100 :    41666.67 MFlops
    101 :    42929.21 MFlops
    102 :    42448.32 MFlops
    103 :    39025.96 MFlops
    104 :    40173.71 MFlops
    105 :    41343.75 MFlops
    106 :    41069.52 MFlops
    107 :    39517.52 MFlops
    108 :    44989.71 MFlops
    109 :    39243.30 MFlops
    110 :    40333.33 MFlops
    111 :    37989.75 MFlops
    112 :    82642.82 MFlops
    113 :    96193.13 MFlops
    114 :    92596.50 MFlops
    115 :    95054.69 MFlops
    116 :    97556.00 MFlops
    117 :   100100.81 MFlops
    118 :    91279.56 MFlops
    119 :    99127.00 MFlops
    120 :   108000.00 MFlops
    121 :    98420.06 MFlops
    122 :   106814.59 MFlops
    123 :   103381.50 MFlops
    124 :   112154.35 MFlops
    125 :    59185.61 MFlops
    126 :   105282.95 MFlops
    127 :    97542.05 MFlops
    128 :     2678.36 MFlops
    129 :    63137.91 MFlops
    130 :    73233.33 MFlops
    131 :    70252.84 MFlops
    132 :    74192.52 MFlops
    133 :    71292.03 MFlops
    134 :    70767.76 MFlops
    135 :    66496.62 MFlops
    136 :    69873.78 MFlops
    137 :    65932.13 MFlops
    138 :    67386.46 MFlops
    139 :    44760.32 MFlops
    140 :    53803.92 MFlops
    141 :    50967.65 MFlops
    142 :    52059.78 MFlops
    143 :    49562.83 MFlops
    144 :    66355.20 MFlops
    145 :    66274.46 MFlops
    146 :    66215.66 MFlops
    147 :    64827.00 MFlops
    148 :    64835.84 MFlops
    149 :    64861.75 MFlops
    150 :    64903.85 MFlops
    151 :    61481.27 MFlops
    152 :   103288.47 MFlops
    153 :    87355.54 MFlops
    154 :   121742.13 MFlops
    155 :   120125.00 MFlops
    156 :   126547.20 MFlops
    157 :   120934.16 MFlops
    158 :   127235.87 MFlops
    159 :   125614.97 MFlops
    160 :    65015.87 MFlops
    161 :    80255.40 MFlops
    162 :    83363.29 MFlops
    163 :    78740.85 MFlops
    164 :    81684.15 MFlops
    165 :    77450.43 MFlops
    166 :    74988.46 MFlops
    167 :    76351.85 MFlops
    168 :    71842.91 MFlops
    169 :    74258.60 MFlops
    170 :    75584.62 MFlops
    171 :    70425.51 MFlops
    172 :    75946.99 MFlops
    173 :    71912.74 MFlops
    174 :    73167.00 MFlops
    175 :    68709.94 MFlops
    176 :   100958.81 MFlops
    177 :    89439.24 MFlops
    178 :     7611.00 MFlops
    179 :    97209.14 MFlops
    180 :   102315.79 MFlops
    181 :   100504.08 MFlops
    182 :   102179.12 MFlops
    183 :   102141.45 MFlops
    184 :     1433.72 MFlops
    185 :   113064.73 MFlops
    186 :   136911.83 MFlops
    187 :   139131.98 MFlops
    188 :   144449.39 MFlops
    189 :    27005.08 MFlops
    190 :    65323.81 MFlops
    191 :    64517.32 MFlops
    192 :    91920.62 MFlops
    193 :    88753.79 MFlops
    194 :    87968.48 MFlops
    195 :    83313.20 MFlops
    196 :    86546.39 MFlops
    197 :    83101.88 MFlops
    198 :    85301.01 MFlops
    199 :    82089.57 MFlops
    200 :    86021.51 MFlops
