From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.14 MFlops    0.000007 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :       64.00 MFlops    0.000001 sec
      5 :         inf MFlops    0.000000 sec
      6 :      216.00 MFlops    0.000001 sec
      7 :         inf MFlops    0.000000 sec
      8 :         inf MFlops    0.000000 sec
      9 :         inf MFlops    0.000000 sec
     10 :         inf MFlops    0.000000 sec
     11 :         inf MFlops    0.000000 sec
     12 :         inf MFlops    0.000000 sec
     13 :         inf MFlops    0.000000 sec
     14 :         inf MFlops    0.000000 sec
     15 :         inf MFlops    0.000000 sec
     16 :     4096.00 MFlops    0.000001 sec
     17 :         inf MFlops    0.000000 sec
     18 :         inf MFlops    0.000000 sec
     19 :     6859.00 MFlops    0.000001 sec
     20 :     8000.00 MFlops    0.000001 sec
     21 :     9261.00 MFlops    0.000001 sec
     22 :    10648.00 MFlops    0.000001 sec
     23 :    12167.00 MFlops    0.000001 sec
     24 :    13824.00 MFlops    0.000001 sec
     25 :    15625.00 MFlops    0.000001 sec
     26 :    17576.00 MFlops    0.000001 sec
     27 :    19683.00 MFlops    0.000001 sec
     28 :    21952.00 MFlops    0.000001 sec
     29 :         inf MFlops    0.000000 sec
     30 :    27000.00 MFlops    0.000001 sec
     31 :    29791.00 MFlops    0.000001 sec
     32 :      963.76 MFlops    0.000034 sec
     33 :    17968.50 MFlops    0.000002 sec
     34 :    19652.00 MFlops    0.000002 sec
     35 :    21437.50 MFlops    0.000002 sec
     36 :    15552.00 MFlops    0.000003 sec
     37 :    16884.33 MFlops    0.000003 sec
     38 :    18290.67 MFlops    0.000003 sec
     39 :    19773.00 MFlops    0.000003 sec
     40 :    21333.33 MFlops    0.000003 sec
     41 :    34460.50 MFlops    0.000002 sec
     42 :    24696.00 MFlops    0.000003 sec
     43 :    26502.33 MFlops    0.000003 sec
     44 :    28394.67 MFlops    0.000003 sec
     45 :    22781.25 MFlops    0.000004 sec
     46 :    32445.33 MFlops    0.000003 sec
     47 :    34607.67 MFlops    0.000003 sec
     48 :    27648.00 MFlops    0.000004 sec
     49 :    29412.25 MFlops    0.000004 sec
     50 :    41666.67 MFlops    0.000003 sec
     51 :    33162.75 MFlops    0.000004 sec
     52 :    35152.00 MFlops    0.000004 sec
     53 :    29775.40 MFlops    0.000005 sec
     54 :    39366.00 MFlops    0.000004 sec
     55 :    33275.00 MFlops    0.000005 sec
     56 :    29269.33 MFlops    0.000006 sec
     57 :    30865.50 MFlops    0.000006 sec
     58 :    32518.67 MFlops    0.000006 sec
     59 :    41075.80 MFlops    0.000005 sec
     60 :    36000.00 MFlops    0.000006 sec
     61 :    37830.17 MFlops    0.000006 sec
     62 :    39721.33 MFlops    0.000006 sec
     63 :    41674.50 MFlops    0.000006 sec
     64 :    65536.00 MFlops    0.000004 sec
     65 :    24965.91 MFlops    0.000011 sec
     66 :    57499.20 MFlops    0.000005 sec
     67 :    42966.14 MFlops    0.000007 sec
     68 :    44918.86 MFlops    0.000007 sec
     69 :    46929.86 MFlops    0.000007 sec
     70 :    42875.00 MFlops    0.000008 sec
     71 :    44738.87 MFlops    0.000008 sec
     72 :    24883.20 MFlops    0.000015 sec
     73 :    48627.12 MFlops    0.000008 sec
     74 :    50653.00 MFlops    0.000008 sec
     75 :    46875.00 MFlops    0.000009 sec
     76 :    48775.11 MFlops    0.000009 sec
     77 :    50725.89 MFlops    0.000009 sec
     78 :    47455.20 MFlops    0.000010 sec
     79 :    49303.90 MFlops    0.000010 sec
     80 :    42666.67 MFlops    0.000012 sec
     81 :    53144.10 MFlops    0.000010 sec
     82 :    50124.36 MFlops    0.000011 sec
     83 :    51980.64 MFlops    0.000011 sec
     84 :    59270.40 MFlops    0.000010 sec
     85 :    51177.08 MFlops    0.000012 sec
     86 :    53004.67 MFlops    0.000012 sec
     87 :    54875.25 MFlops    0.000012 sec
     88 :    52420.92 MFlops    0.000013 sec
     89 :    58747.42 MFlops    0.000012 sec
     90 :    60750.00 MFlops    0.000012 sec
     91 :    57967.00 MFlops    0.000013 sec
     92 :    59899.08 MFlops    0.000013 sec
     93 :    61873.62 MFlops    0.000013 sec
     94 :    63891.08 MFlops    0.000013 sec
     95 :    65951.92 MFlops    0.000013 sec
     96 :    46565.05 MFlops    0.000019 sec
     97 :    65190.93 MFlops    0.000014 sec
     98 :    67228.00 MFlops    0.000014 sec
     99 :    69307.07 MFlops    0.000014 sec
    100 :    71428.57 MFlops    0.000014 sec
    101 :    68686.73 MFlops    0.000015 sec
    102 :    15160.11 MFlops    0.000070 sec
    103 :    60707.06 MFlops    0.000018 sec
    104 :    59203.37 MFlops    0.000019 sec
    105 :    57881.25 MFlops    0.000020 sec
    106 :    59550.80 MFlops    0.000020 sec
    107 :    58335.38 MFlops    0.000021 sec
    108 :    59986.29 MFlops    0.000021 sec
    109 :    61668.05 MFlops    0.000021 sec
    110 :    60500.00 MFlops    0.000022 sec
    111 :    65125.29 MFlops    0.000021 sec
    112 :    46830.93 MFlops    0.000030 sec
    113 :    62734.65 MFlops    0.000023 sec
    114 :    67342.91 MFlops    0.000022 sec
    115 :    66125.00 MFlops    0.000023 sec
    116 :    70949.82 MFlops    0.000022 sec
    117 :    66733.88 MFlops    0.000024 sec
    118 :    71436.17 MFlops    0.000023 sec
    119 :    62413.30 MFlops    0.000027 sec
    120 :    64000.00 MFlops    0.000027 sec
    121 :    68136.96 MFlops    0.000026 sec
    122 :    67253.63 MFlops    0.000027 sec
    123 :    71571.81 MFlops    0.000026 sec
    124 :    68093.71 MFlops    0.000028 sec
    125 :    72337.96 MFlops    0.000027 sec
    126 :    74088.00 MFlops    0.000027 sec
    127 :      207.10 MFlops    0.009891 sec
    128 :     1252.03 MFlops    0.001675 sec
    129 :    61333.97 MFlops    0.000035 sec
    130 :    84500.00 MFlops    0.000026 sec
    131 :    83262.63 MFlops    0.000027 sec
    132 :    79309.24 MFlops    0.000029 sec
    133 :    87134.70 MFlops    0.000027 sec
    134 :    89114.96 MFlops    0.000027 sec
    135 :    87870.54 MFlops    0.000028 sec
    136 :    83848.53 MFlops    0.000030 sec
    137 :    91834.04 MFlops    0.000028 sec
    138 :    90623.17 MFlops    0.000029 sec
    139 :    89520.63 MFlops    0.000030 sec
    140 :    85750.00 MFlops    0.000032 sec
    141 :    90426.48 MFlops    0.000031 sec
    142 :    89477.75 MFlops    0.000032 sec
    143 :    64982.38 MFlops    0.000045 sec
    144 :    76563.69 MFlops    0.000039 sec
    145 :     5773.91 MFlops    0.000528 sec
    146 :     1378.27 MFlops    0.002258 sec
    147 :   105884.10 MFlops    0.000030 sec
    148 :   111785.93 MFlops    0.000029 sec
    149 :   110264.97 MFlops    0.000030 sec
    150 :   112500.00 MFlops    0.000030 sec
    151 :   111062.94 MFlops    0.000031 sec
    152 :   113284.13 MFlops    0.000031 sec
    153 :   115534.74 MFlops    0.000031 sec
    154 :   114133.25 MFlops    0.000032 sec
    155 :   116371.09 MFlops    0.000032 sec
    156 :   115042.91 MFlops    0.000033 sec
    157 :   101839.29 MFlops    0.000038 sec
