From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.50 MFlops  0.000002000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :       81.00 MFlops  0.000001000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :      144.00 MFlops  0.000001000 sec
     13 :      169.00 MFlops  0.000001000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :         inf MFlops  0.000000000 sec
     18 :         inf MFlops  0.000000000 sec
     19 :         inf MFlops  0.000000000 sec
     20 :      400.00 MFlops  0.000001000 sec
     21 :      441.00 MFlops  0.000001000 sec
     22 :      484.00 MFlops  0.000001000 sec
     23 :         inf MFlops  0.000000000 sec
     24 :      576.00 MFlops  0.000001000 sec
     25 :      625.00 MFlops  0.000001000 sec
     26 :         inf MFlops  0.000000000 sec
     27 :      729.00 MFlops  0.000001000 sec
     28 :      784.00 MFlops  0.000001000 sec
     29 :      841.00 MFlops  0.000001000 sec
     30 :      900.00 MFlops  0.000001000 sec
     31 :      961.00 MFlops  0.000001000 sec
     32 :         inf MFlops  0.000000000 sec
     33 :     1089.00 MFlops  0.000001000 sec
     34 :         inf MFlops  0.000000000 sec
     35 :     1225.00 MFlops  0.000001000 sec
     36 :         inf MFlops  0.000000000 sec
     37 :     1369.00 MFlops  0.000001000 sec
     38 :     1444.00 MFlops  0.000001000 sec
     39 :         inf MFlops  0.000000000 sec
     40 :         inf MFlops  0.000000000 sec
     41 :     1681.00 MFlops  0.000001000 sec
     42 :     1764.00 MFlops  0.000001000 sec
     43 :         inf MFlops  0.000000000 sec
     44 :         inf MFlops  0.000000000 sec
     45 :     2025.00 MFlops  0.000001000 sec
     46 :         inf MFlops  0.000000000 sec
     47 :     2209.00 MFlops  0.000001000 sec
     48 :         inf MFlops  0.000000000 sec
     49 :     2401.00 MFlops  0.000001000 sec
     50 :     2500.00 MFlops  0.000001000 sec
     51 :     2601.00 MFlops  0.000001000 sec
     52 :     2704.00 MFlops  0.000001000 sec
     53 :     2809.00 MFlops  0.000001000 sec
     54 :     2916.00 MFlops  0.000001000 sec
     55 :     3025.00 MFlops  0.000001000 sec
     56 :     3136.00 MFlops  0.000001000 sec
     57 :         inf MFlops  0.000000000 sec
     58 :     3364.00 MFlops  0.000001000 sec
     59 :         inf MFlops  0.000000000 sec
     60 :         inf MFlops  0.000000000 sec
     61 :         inf MFlops  0.000000000 sec
     62 :     3844.00 MFlops  0.000001000 sec
     63 :         inf MFlops  0.000000000 sec
     64 :         inf MFlops  0.000000000 sec
     65 :     4225.00 MFlops  0.000001000 sec
     66 :         inf MFlops  0.000000000 sec
     67 :     4489.00 MFlops  0.000001000 sec
     68 :         inf MFlops  0.000000000 sec
     69 :     4761.00 MFlops  0.000001000 sec
     70 :         inf MFlops  0.000000000 sec
     71 :         inf MFlops  0.000000000 sec
     72 :     5184.00 MFlops  0.000001000 sec
     73 :     5329.00 MFlops  0.000001000 sec
     74 :         inf MFlops  0.000000000 sec
     75 :     5625.00 MFlops  0.000001000 sec
     76 :     5776.00 MFlops  0.000001000 sec
     77 :     5929.00 MFlops  0.000001000 sec
     78 :     6084.00 MFlops  0.000001000 sec
     79 :     6241.00 MFlops  0.000001000 sec
     80 :     6400.00 MFlops  0.000001000 sec
     81 :     3280.50 MFlops  0.000002000 sec
     82 :     6724.00 MFlops  0.000001000 sec
     83 :     6889.00 MFlops  0.000001000 sec
     84 :     7056.00 MFlops  0.000001000 sec
     85 :     3612.50 MFlops  0.000002000 sec
     86 :     3698.00 MFlops  0.000002000 sec
     87 :     7569.00 MFlops  0.000001000 sec
     88 :     3872.00 MFlops  0.000002000 sec
     89 :     3960.50 MFlops  0.000002000 sec
     90 :     4050.00 MFlops  0.000002000 sec
     91 :     4140.50 MFlops  0.000002000 sec
     92 :     2821.33 MFlops  0.000003000 sec
     93 :     4324.50 MFlops  0.000002000 sec
     94 :     2945.33 MFlops  0.000003000 sec
     95 :     4512.50 MFlops  0.000002000 sec
     96 :     4608.00 MFlops  0.000002000 sec
     97 :     3136.33 MFlops  0.000003000 sec
     98 :     3201.33 MFlops  0.000003000 sec
     99 :     3267.00 MFlops  0.000003000 sec
    100 :     3333.33 MFlops  0.000003000 sec
    101 :     3400.33 MFlops  0.000003000 sec
    102 :     3468.00 MFlops  0.000003000 sec
    103 :     3536.33 MFlops  0.000003000 sec
    104 :     3605.33 MFlops  0.000003000 sec
    105 :     3675.00 MFlops  0.000003000 sec
    106 :     3745.33 MFlops  0.000003000 sec
    107 :     3816.33 MFlops  0.000003000 sec
    108 :     3888.00 MFlops  0.000003000 sec
    109 :     3960.33 MFlops  0.000003000 sec
    110 :     4033.33 MFlops  0.000003000 sec
    111 :     4107.00 MFlops  0.000003000 sec
    112 :     6272.00 MFlops  0.000002000 sec
    113 :     4256.33 MFlops  0.000003000 sec
    114 :     4332.00 MFlops  0.000003000 sec
    115 :     4408.33 MFlops  0.000003000 sec
    116 :     4485.33 MFlops  0.000003000 sec
    117 :     3422.25 MFlops  0.000004000 sec
    118 :     3481.00 MFlops  0.000004000 sec
    119 :     4720.33 MFlops  0.000003000 sec
    120 :     4800.00 MFlops  0.000003000 sec
    121 :     4880.33 MFlops  0.000003000 sec
    122 :     4961.33 MFlops  0.000003000 sec
    123 :     5043.00 MFlops  0.000003000 sec
    124 :     5125.33 MFlops  0.000003000 sec
    125 :     5208.33 MFlops  0.000003000 sec
    126 :     5292.00 MFlops  0.000003000 sec
    127 :     5376.33 MFlops  0.000003000 sec
    128 :     5461.33 MFlops  0.000003000 sec
    129 :     5547.00 MFlops  0.000003000 sec
