From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.17 MFlops
      2 :         inf MFlops
      3 :       27.00 MFlops
      4 :         inf MFlops
      5 :      125.00 MFlops
      6 :         inf MFlops
      7 :      343.00 MFlops
      8 :      512.00 MFlops
      9 :      729.00 MFlops
     10 :     1000.00 MFlops
     11 :     1331.00 MFlops
     12 :     1728.00 MFlops
     13 :         inf MFlops
     14 :     2744.00 MFlops
     15 :     3375.00 MFlops
     16 :     1365.33 MFlops
     17 :     2456.50 MFlops
     18 :     2916.00 MFlops
     19 :     3429.50 MFlops
     20 :     4000.00 MFlops
     21 :     4630.50 MFlops
     22 :     3549.33 MFlops
     23 :     4055.67 MFlops
     24 :     4608.00 MFlops
     25 :     5208.33 MFlops
     26 :     8788.00 MFlops
     27 :     6561.00 MFlops
     28 :     7317.33 MFlops
     29 :     6097.25 MFlops
     30 :     6750.00 MFlops
     31 :     7447.75 MFlops
     32 :      963.76 MFlops
     33 :     8984.25 MFlops
     34 :    13101.33 MFlops
     35 :    10718.75 MFlops
     36 :     9331.20 MFlops
     37 :    10130.60 MFlops
     38 :    10974.40 MFlops
     39 :     9886.50 MFlops
     40 :    10666.67 MFlops
     41 :    13784.20 MFlops
     42 :    12348.00 MFlops
     43 :    15901.40 MFlops
     44 :    12169.14 MFlops
     45 :    15187.50 MFlops
     46 :    13905.14 MFlops
     47 :    12977.87 MFlops
     48 :    15798.86 MFlops
     49 :    16807.00 MFlops
     50 :    17857.14 MFlops
     51 :    18950.14 MFlops
     52 :    17576.00 MFlops
     53 :    18609.62 MFlops
     54 :    17496.00 MFlops
     55 :    16637.50 MFlops
     56 :    15965.09 MFlops
     57 :    20577.00 MFlops
     58 :    19511.20 MFlops
     59 :    20537.90 MFlops
     60 :    19636.36 MFlops
     61 :    20634.64 MFlops
     62 :    21666.18 MFlops
     63 :    25004.70 MFlops
     64 :    26214.40 MFlops
     65 :    16154.41 MFlops
     66 :    26136.00 MFlops
     67 :    25063.58 MFlops
     68 :    22459.43 MFlops
     69 :    25269.92 MFlops
     70 :    24500.00 MFlops
     71 :    23860.73 MFlops
     72 :    23328.00 MFlops
     73 :    24313.56 MFlops
     74 :    25326.50 MFlops
     75 :    26367.19 MFlops
     76 :    19085.91 MFlops
     77 :    26854.88 MFlops
     78 :    27914.82 MFlops
     79 :    29002.29 MFlops
     80 :    25600.00 MFlops
     81 :    27970.58 MFlops
     82 :    29019.37 MFlops
     83 :    28589.35 MFlops
     84 :    28224.00 MFlops
     85 :    29244.05 MFlops
     86 :    30288.38 MFlops
     87 :    29931.95 MFlops
     88 :    28394.67 MFlops
     89 :    30650.83 MFlops
     90 :    31695.65 MFlops
     91 :    26913.25 MFlops
     92 :    32445.33 MFlops
     93 :    33514.88 MFlops
     94 :    34607.67 MFlops
     95 :    35723.96 MFlops
     96 :    34028.31 MFlops
     97 :    38028.04 MFlops
     98 :    37647.68 MFlops
     99 :    37319.19 MFlops
    100 :    35714.29 MFlops
    101 :    36796.46 MFlops
    102 :    36593.38 MFlops
    103 :    37680.24 MFlops
    104 :    36285.94 MFlops
    105 :    38587.50 MFlops
    106 :    38419.87 MFlops
    107 :    39517.52 MFlops
    108 :    38173.09 MFlops
    109 :    39243.30 MFlops
    110 :    39147.06 MFlops
    111 :    36963.00 MFlops
    112 :    35123.20 MFlops
    113 :    41225.63 MFlops
    114 :    42329.83 MFlops
    115 :    42246.53 MFlops
    116 :    40022.97 MFlops
    117 :    41067.00 MFlops
    118 :    42129.03 MFlops
    119 :    42128.97 MFlops
    120 :     1834.39 MFlops
    121 :     3002.65 MFlops
    122 :      356.82 MFlops
    123 :      470.75 MFlops
    124 :      403.52 MFlops
    125 :     1457.56 MFlops
    126 :    23814.00 MFlops
    127 :     6544.35 MFlops
    128 :    35544.95 MFlops
    129 :    38333.73 MFlops
    130 :    42250.00 MFlops
    131 :    43232.52 MFlops
    132 :    44230.15 MFlops
    133 :    44389.38 MFlops
    134 :    44557.48 MFlops
    135 :    44734.09 MFlops
    136 :    44918.86 MFlops
    137 :    44333.67 MFlops
    138 :    43083.15 MFlops
    139 :    44760.32 MFlops
    140 :     9978.18 MFlops
    141 :    43800.33 MFlops
    142 :     9387.83 MFlops
    143 :    47164.63 MFlops
    144 :    45242.18 MFlops
    145 :    46901.92 MFlops
    146 :    44459.09 MFlops
    147 :    48869.58 MFlops
    148 :    47673.41 MFlops
    149 :    46590.83 MFlops
    150 :    48214.29 MFlops
    151 :    49897.84 MFlops
    152 :    49462.08 MFlops
    153 :    53456.37 MFlops
    154 :     6533.57 MFlops
    155 :     6074.84 MFlops
    156 :    61232.52 MFlops
    157 :    63440.87 MFlops
    158 :    63617.94 MFlops
    159 :    64833.53 MFlops
    160 :    65015.87 MFlops
    161 :    57962.24 MFlops
    162 :    61616.35 MFlops
    163 :    11277.99 MFlops
    164 :    62125.97 MFlops
    165 :    64173.21 MFlops
    166 :    65347.09 MFlops
    167 :    63800.86 MFlops
    168 :    64953.86 MFlops
    169 :     3940.25 MFlops
    170 :    62987.18 MFlops
    171 :    33785.21 MFlops
    172 :    43122.44 MFlops
    173 :    60914.32 MFlops
    174 :    47891.13 MFlops
    175 :    58894.23 MFlops
    176 :    53977.98 MFlops
    177 :    61613.70 MFlops
    178 :    61301.65 MFlops
    179 :    59127.21 MFlops
    180 :     4835.82 MFlops
    181 :    58710.31 MFlops
    182 :    60285.68 MFlops
    183 :    61903.91 MFlops
    184 :    59328.61 MFlops
    185 :    64608.42 MFlops
    186 :    60138.84 MFlops
    187 :    36737.10 MFlops
    188 :    63282.59 MFlops
    189 :    71065.99 MFlops
    190 :    73752.69 MFlops
