From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        8.00 MFlops   0.000001 sec
      2x2 :       32.00 MFlops   0.000001 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :         inf MFlops   0.000000 sec
      5x5 :         inf MFlops   0.000000 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :         inf MFlops   0.000000 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :     1152.00 MFlops   0.000001 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :         inf MFlops   0.000000 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :     2048.00 MFlops   0.000001 sec
     17x17 :     2312.00 MFlops   0.000001 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :     2888.00 MFlops   0.000001 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :     3528.00 MFlops   0.000001 sec
     22x22 :         inf MFlops   0.000000 sec
     23x23 :         inf MFlops   0.000000 sec
     24x24 :         inf MFlops   0.000000 sec
     25x25 :     5000.00 MFlops   0.000001 sec
     26x26 :         inf MFlops   0.000000 sec
     27x27 :     5832.00 MFlops   0.000001 sec
     28x28 :         inf MFlops   0.000000 sec
     29x29 :     6728.00 MFlops   0.000001 sec
     30x30 :     7200.00 MFlops   0.000001 sec
     31x31 :     7688.00 MFlops   0.000001 sec
     32x32 :     8192.00 MFlops   0.000001 sec
     33x33 :     8712.00 MFlops   0.000001 sec
     34x34 :     9248.00 MFlops   0.000001 sec
     35x35 :     9800.00 MFlops   0.000001 sec
     36x36 :    10368.00 MFlops   0.000001 sec
     37x37 :    10952.00 MFlops   0.000001 sec
     38x38 :    11552.00 MFlops   0.000001 sec
     39x39 :    12168.00 MFlops   0.000001 sec
     40x40 :    12800.00 MFlops   0.000001 sec
     41x41 :    13448.00 MFlops   0.000001 sec
     42x42 :     7056.00 MFlops   0.000002 sec
     43x43 :    14792.00 MFlops   0.000001 sec
     44x44 :    15488.00 MFlops   0.000001 sec
     45x45 :    16200.00 MFlops   0.000001 sec
     46x46 :    16928.00 MFlops   0.000001 sec
     47x47 :    17672.00 MFlops   0.000001 sec
     48x48 :     9216.00 MFlops   0.000002 sec
     49x49 :    19208.00 MFlops   0.000001 sec
     50x50 :    10000.00 MFlops   0.000002 sec
     51x51 :    20808.00 MFlops   0.000001 sec
     52x52 :    10816.00 MFlops   0.000002 sec
     53x53 :    11236.00 MFlops   0.000002 sec
     54x54 :    11664.00 MFlops   0.000002 sec
     55x55 :    12100.00 MFlops   0.000002 sec
     56x56 :     8362.67 MFlops   0.000003 sec
     57x57 :    12996.00 MFlops   0.000002 sec
     58x58 :     8970.67 MFlops   0.000003 sec
     59x59 :    13924.00 MFlops   0.000002 sec
     60x60 :     9600.00 MFlops   0.000003 sec
     61x61 :     7442.00 MFlops   0.000004 sec
     62x62 :    15376.00 MFlops   0.000002 sec
     63x63 :    10584.00 MFlops   0.000003 sec
     64x64 :     5461.33 MFlops   0.000006 sec
     65x65 :     5633.33 MFlops   0.000006 sec
     66x66 :     5808.00 MFlops   0.000006 sec
     67x67 :     7182.40 MFlops   0.000005 sec
     68x68 :     6165.33 MFlops   0.000006 sec
     69x69 :     6348.00 MFlops   0.000006 sec
     70x70 :     6533.33 MFlops   0.000006 sec
     71x71 :     5761.14 MFlops   0.000007 sec
     72x72 :     5924.57 MFlops   0.000007 sec
     73x73 :     7105.33 MFlops   0.000006 sec
     74x74 :     7301.33 MFlops   0.000006 sec
     75x75 :     6428.57 MFlops   0.000007 sec
     76x76 :     7701.33 MFlops   0.000006 sec
     77x77 :     6776.00 MFlops   0.000007 sec
     78x78 :     6953.14 MFlops   0.000007 sec
     79x79 :     8321.33 MFlops   0.000006 sec
     80x80 :     7314.29 MFlops   0.000007 sec
     81x81 :     7498.29 MFlops   0.000007 sec
     82x82 :     6724.00 MFlops   0.000008 sec
     83x83 :     6889.00 MFlops   0.000008 sec
     84x84 :     7056.00 MFlops   0.000008 sec
     85x85 :     7225.00 MFlops   0.000008 sec
     86x86 :     7396.00 MFlops   0.000008 sec
     87x87 :     7569.00 MFlops   0.000008 sec
     88x88 :     6883.56 MFlops   0.000009 sec
     89x89 :     7040.89 MFlops   0.000009 sec
     90x90 :     7200.00 MFlops   0.000009 sec
     91x91 :     7360.89 MFlops   0.000009 sec
     92x92 :     7523.56 MFlops   0.000009 sec
     93x93 :     7688.00 MFlops   0.000009 sec
     94x94 :     7854.22 MFlops   0.000009 sec
     95x95 :     8022.22 MFlops   0.000009 sec
     96x96 :     9216.00 MFlops   0.000008 sec
     97x97 :     7527.20 MFlops   0.000010 sec
     98x98 :     7683.20 MFlops   0.000010 sec
     99x99 :     7128.00 MFlops   0.000011 sec
    100x100 :     8888.89 MFlops   0.000009 sec
    101x101 :     7418.91 MFlops   0.000011 sec
    102x102 :     7566.55 MFlops   0.000011 sec
    103x103 :     7715.64 MFlops   0.000011 sec
    104x104 :     8652.80 MFlops   0.000010 sec
    105x105 :     8018.18 MFlops   0.000011 sec
    106x106 :     8171.64 MFlops   0.000011 sec
    107x107 :     7632.67 MFlops   0.000012 sec
    108x108 :     7776.00 MFlops   0.000012 sec
    109x109 :     8640.73 MFlops   0.000011 sec
    110x110 :     8066.67 MFlops   0.000012 sec
    111x111 :     8214.00 MFlops   0.000012 sec
    112x112 :     9122.91 MFlops   0.000011 sec
    113x113 :     7857.85 MFlops   0.000013 sec
    114x114 :     7426.29 MFlops   0.000014 sec
    115x115 :     7557.14 MFlops   0.000014 sec
    116x116 :     6728.00 MFlops   0.000016 sec
    117x117 :     7300.80 MFlops   0.000015 sec
    118x118 :     7426.13 MFlops   0.000015 sec
    119x119 :     7552.53 MFlops   0.000015 sec
    120x120 :     7680.00 MFlops   0.000015 sec
    121x121 :     8366.29 MFlops   0.000014 sec
    122x122 :     7938.13 MFlops   0.000015 sec
    123x123 :     7564.50 MFlops   0.000016 sec
    124x124 :     7688.00 MFlops   0.000016 sec
    125x125 :     8333.33 MFlops   0.000015 sec
    126x126 :     7471.06 MFlops   0.000017 sec
    127x127 :     8064.50 MFlops   0.000016 sec
    128x128 :     6898.53 MFlops   0.000019 sec
    129x129 :     7006.74 MFlops   0.000019 sec
    130x130 :     6760.00 MFlops   0.000020 sec
    131x131 :     8580.50 MFlops   0.000016 sec
    132x132 :    10722.46 MFlops   0.000013 sec
    133x133 :    10885.54 MFlops   0.000013 sec
    134x134 :     9576.53 MFlops   0.000015 sec
    135x135 :     9720.00 MFlops   0.000015 sec
    136x136 :     9864.53 MFlops   0.000015 sec
    137x137 :    10725.14 MFlops   0.000014 sec
    138x138 :    10882.29 MFlops   0.000014 sec
    139x139 :    10304.53 MFlops   0.000015 sec
    140x140 :    10453.33 MFlops   0.000015 sec
    141x141 :     9940.50 MFlops   0.000016 sec
    142x142 :    11522.29 MFlops   0.000014 sec
    143x143 :    10224.50 MFlops   0.000016 sec
    144x144 :    11059.20 MFlops   0.000015 sec
    145x145 :     9894.12 MFlops   0.000017 sec
    146x146 :    10031.06 MFlops   0.000017 sec
    147x147 :     9098.53 MFlops   0.000019 sec
    148x148 :    10952.00 MFlops   0.000016 sec
    149x149 :     9867.11 MFlops   0.000018 sec
    150x150 :     9473.68 MFlops   0.000019 sec
    151x151 :     9600.42 MFlops   0.000019 sec
    152x152 :     9728.00 MFlops   0.000019 sec
    153x153 :     9856.42 MFlops   0.000019 sec
    154x154 :    10540.44 MFlops   0.000018 sec
    155x155 :    10115.79 MFlops   0.000019 sec
    156x156 :     9270.86 MFlops   0.000021 sec
    157x157 :     8573.57 MFlops   0.000023 sec
    158x158 :     8321.33 MFlops   0.000024 sec
    159x159 :     8793.39 MFlops   0.000023 sec
    160x160 :     9309.09 MFlops   0.000022 sec
    161x161 :     7680.30 MFlops   0.000027 sec
    162x162 :     7239.72 MFlops   0.000029 sec
    163x163 :     7085.07 MFlops   0.000030 sec
    164x164 :     8965.33 MFlops   0.000024 sec
    165x165 :     8376.92 MFlops   0.000026 sec
    166x166 :     8164.74 MFlops   0.000027 sec
    167x167 :     8263.41 MFlops   0.000027 sec
    168x168 :     8684.31 MFlops   0.000026 sec
