From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        8.00 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :     2312.00 MFlops
     18x18 :         inf MFlops
     19x19 :     2888.00 MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :     3872.00 MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :     5408.00 MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :     7200.00 MFlops
     31x31 :         inf MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :    10952.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :    14792.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :     8100.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :     9216.00 MFlops
     49x49 :    19208.00 MFlops
     50x50 :    20000.00 MFlops
     51x51 :    20808.00 MFlops
     52x52 :    21632.00 MFlops
     53x53 :    22472.00 MFlops
     54x54 :    11664.00 MFlops
     55x55 :    24200.00 MFlops
     56x56 :    12544.00 MFlops
     57x57 :    12996.00 MFlops
     58x58 :    13456.00 MFlops
     59x59 :    13924.00 MFlops
     60x60 :    14400.00 MFlops
     61x61 :    14884.00 MFlops
     62x62 :    15376.00 MFlops
     63x63 :    15876.00 MFlops
     64x64 :    16384.00 MFlops
     65x65 :    16900.00 MFlops
     66x66 :    11616.00 MFlops
     67x67 :    11970.67 MFlops
     68x68 :    12330.67 MFlops
     69x69 :    12696.00 MFlops
     70x70 :    19600.00 MFlops
     71x71 :    20164.00 MFlops
     72x72 :    13824.00 MFlops
     73x73 :    14210.67 MFlops
     74x74 :    14602.67 MFlops
     75x75 :    15000.00 MFlops
     76x76 :    15402.67 MFlops
     77x77 :    15810.67 MFlops
     78x78 :    16224.00 MFlops
     79x79 :    16642.67 MFlops
     80x80 :    17066.67 MFlops
     81x81 :    17496.00 MFlops
     82x82 :    13448.00 MFlops
     83x83 :    13778.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :    14450.00 MFlops
     86x86 :    14792.00 MFlops
     87x87 :    15138.00 MFlops
     88x88 :    15488.00 MFlops
     89x89 :    15842.00 MFlops
     90x90 :    16200.00 MFlops
     91x91 :    16562.00 MFlops
     92x92 :    16928.00 MFlops
     93x93 :    13838.40 MFlops
     94x94 :    14137.60 MFlops
     95x95 :    14440.00 MFlops
     96x96 :    14745.60 MFlops
     97x97 :    18818.00 MFlops
     98x98 :    19208.00 MFlops
     99x99 :    19602.00 MFlops
    100x100 :    26666.67 MFlops
    101x101 :    20402.00 MFlops
    102x102 :    20808.00 MFlops
    103x103 :    28290.67 MFlops
    104x104 :    28842.67 MFlops
    105x105 :    22050.00 MFlops
    106x106 :     1082.99 MFlops
    107x107 :    22898.00 MFlops
    108x108 :    31104.00 MFlops
    109x109 :    23762.00 MFlops
    110x110 :    24200.00 MFlops
    111x111 :      284.06 MFlops
    112x112 :    25088.00 MFlops
    113x113 :    25538.00 MFlops
    114x114 :    25992.00 MFlops
    115x115 :    26450.00 MFlops
    116x116 :    26912.00 MFlops
    117x117 :    27378.00 MFlops
    118x118 :    27848.00 MFlops
    119x119 :    22657.60 MFlops
    120x120 :    23040.00 MFlops
    121x121 :    23425.60 MFlops
    122x122 :    29768.00 MFlops
    123x123 :    30258.00 MFlops
    124x124 :    30752.00 MFlops
    125x125 :    31250.00 MFlops
    126x126 :    31752.00 MFlops
    127x127 :    32258.00 MFlops
    128x128 :    16384.00 MFlops
    129x129 :    19018.29 MFlops
    130x130 :      246.72 MFlops
    131x131 :       15.55 MFlops
    132x132 :       14.44 MFlops
    133x133 :     1025.45 MFlops
    134x134 :      332.52 MFlops
    135x135 :       60.05 MFlops
    136x136 :     1264.68 MFlops
    137x137 :    30030.40 MFlops
    138x138 :    30470.40 MFlops
    139x139 :    30913.60 MFlops
    140x140 :    22400.00 MFlops
    141x141 :    26508.00 MFlops
    142x142 :    32262.40 MFlops
    143x143 :    23370.29 MFlops
    144x144 :    23698.29 MFlops
    145x145 :    33640.00 MFlops
    146x146 :    28421.33 MFlops
    147x147 :    34574.40 MFlops
    148x148 :    25033.14 MFlops
    149x149 :    29601.33 MFlops
    150x150 :    30000.00 MFlops
    151x151 :    22801.00 MFlops
    152x152 :    26404.57 MFlops
    153x153 :    31212.00 MFlops
    154x154 :     3579.77 MFlops
    155x155 :    32033.33 MFlops
    156x156 :      471.40 MFlops
    157x157 :    32865.33 MFlops
    158x158 :    33285.33 MFlops
    159x159 :      254.08 MFlops
    160x160 :      159.13 MFlops
    161x161 :    29624.00 MFlops
    162x162 :    29993.14 MFlops
    163x163 :    16350.15 MFlops
    164x164 :    30738.29 MFlops
    165x165 :    31114.29 MFlops
    166x166 :    31492.57 MFlops
    167x167 :    27889.00 MFlops
    168x168 :    32256.00 MFlops
    169x169 :    28561.00 MFlops
    170x170 :    28900.00 MFlops
    171x171 :    29241.00 MFlops
    172x172 :    33810.29 MFlops
    173x173 :    29929.00 MFlops
    174x174 :    30276.00 MFlops
    175x175 :      387.66 MFlops
    176x176 :      296.78 MFlops
    177x177 :    31329.00 MFlops
    178x178 :     1584.20 MFlops
    179x179 :      179.25 MFlops
    180x180 :    32400.00 MFlops
    181x181 :    32761.00 MFlops
    182x182 :    37856.00 MFlops
    183x183 :    33489.00 MFlops
    184x184 :    30094.22 MFlops
    185x185 :    34225.00 MFlops
    186x186 :    34596.00 MFlops
    187x187 :    34969.00 MFlops
    188x188 :    31416.89 MFlops
    189x189 :    31752.00 MFlops
    190x190 :    36100.00 MFlops
    191x191 :    32427.56 MFlops
    192x192 :    32768.00 MFlops
    193x193 :    27090.18 MFlops
    194x194 :    33454.22 MFlops
    195x195 :      894.71 MFlops
    196x196 :      266.55 MFlops
    197x197 :    31047.20 MFlops
    198x198 :    31363.20 MFlops
    199x199 :    35200.89 MFlops
    200x200 :    35555.56 MFlops
